module_path	file	domains_mixed	cross_layer_imports	fanout	coupling_risk
db::session	crates/icydb-core/src/db/session.rs	intent,query/plan,access,executor,index/storage	0	56	high
db::executor::executable_plan	crates/icydb-core/src/db/executor/executable_plan.rs	query/plan,access,executor,codec	15	26	high
db::executor::aggregate::terminals	crates/icydb-core/src/db/executor/aggregate/terminals.rs	query/plan,access,executor,index/storage	12	22	high
db::cursor::continuation	crates/icydb-core/src/db/cursor/continuation.rs	query/plan,access,executor,index/storage	7	19	high
db::executor::terminal::bytes	crates/icydb-core/src/db/executor/terminal/bytes.rs	query/plan,access,executor,index/storage	4	17	high
db::query::fingerprint::fingerprint	crates/icydb-core/src/db/query/fingerprint/fingerprint.rs	intent,query/plan,access,codec	4	17	high
db::query::intent::model	crates/icydb-core/src/db/query/intent/model.rs	intent,query/plan,access	25	12	high
db::executor::explain::descriptor	crates/icydb-core/src/db/executor/explain/descriptor.rs	query/plan,access,executor	18	17	high
db::executor::aggregate::projection	crates/icydb-core/src/db/executor/aggregate/projection/mod.rs	query/plan,executor,index/storage	12	18	high
db::executor	crates/icydb-core/src/db/executor/mod.rs	access,executor,index/storage	11	18	high
db::query::plan::continuation	crates/icydb-core/src/db/query/plan/continuation.rs	query/plan,access,executor	6	10	medium
db::executor::mutation::save	crates/icydb-core/src/db/executor/mutation/save.rs	executor,index/storage,codec	5	14	medium
db::query::fingerprint::hash_parts	crates/icydb-core/src/db/query/fingerprint/hash_parts.rs	query/plan,access,codec	5	14	medium
db::executor::aggregate::projection::covering	crates/icydb-core/src/db/executor/aggregate/projection/covering.rs	query/plan,access,executor	5	9	medium
db::executor::stream::access::physical	crates/icydb-core/src/db/executor/stream/access/physical.rs	access,executor,index/storage	4	19	medium
db::executor::stream::access::traversal	crates/icydb-core/src/db/executor/stream/access/traversal.rs	access,executor,index/storage	4	15	medium
db::executor::pipeline::operators::distinct	crates/icydb-core/src/db/executor/pipeline/operators/distinct.rs	query/plan,executor,index/storage	4	14	medium
db::executor::route::capability	crates/icydb-core/src/db/executor/route/capability.rs	query/plan,access,executor	4	10	medium
db::executor::preparation	crates/icydb-core/src/db/executor/preparation.rs	query/plan,executor,index/storage	4	9	medium
db::cursor	crates/icydb-core/src/db/cursor/mod.rs	query/plan,executor,codec	4	8	medium
db::executor::aggregate::numeric	crates/icydb-core/src/db/executor/aggregate/numeric.rs	query/plan,access,executor	3	23	medium
db::executor::aggregate	crates/icydb-core/src/db/executor/aggregate/mod.rs	query/plan,executor,index/storage	3	18	medium
db::executor::continuation::scalar	crates/icydb-core/src/db/executor/continuation/scalar.rs	query/plan,access,executor	3	18	medium
db::query::fluent::load::terminals	crates/icydb-core/src/db/query/fluent/load/terminals.rs	intent,query/plan,executor	3	15	medium
db::sql::lowering	crates/icydb-core/src/db/sql/lowering.rs	intent,query/plan,executor	3	15	medium
db::executor::aggregate::execution	crates/icydb-core/src/db/executor/aggregate/execution.rs	query/plan,executor,index/storage	3	13	medium
db::cursor::runtime	crates/icydb-core/src/db/cursor/runtime.rs	query/plan,executor,index/storage	3	6	medium
db::executor::route::planner	crates/icydb-core/src/db/executor/route/planner/mod.rs	query/plan,access,executor	3	6	medium
db::executor::pipeline::operators::reducer	crates/icydb-core/src/db/executor/pipeline/operators/reducer.rs	query/plan,executor,index/storage	2	19	medium
db::executor::pipeline::entrypoints::scalar	crates/icydb-core/src/db/executor/pipeline/entrypoints/scalar/mod.rs	access,executor,index/storage	2	16	medium
db::executor::aggregate::fast_path	crates/icydb-core/src/db/executor/aggregate/fast_path.rs	query/plan,executor,index/storage	2	15	medium
db::executor::scan::fast_stream_route::handlers	crates/icydb-core/src/db/executor/scan/fast_stream_route/handlers.rs	query/plan,executor,index/storage	2	14	medium
db::executor::stream::access::bindings	crates/icydb-core/src/db/executor/stream/access/bindings.rs	access,executor,index/storage	2	12	medium
db::executor::scan::fast_stream_route	crates/icydb-core/src/db/executor/scan/fast_stream_route/mod.rs	query/plan,executor,index/storage	2	11	medium
db::executor::scan::index_range_limit	crates/icydb-core/src/db/executor/scan/index_range_limit.rs	query/plan,executor,index/storage	2	10	medium
db::executor::scan::secondary_index	crates/icydb-core/src/db/executor/scan/secondary_index.rs	query/plan,executor,index/storage	2	10	medium
db::executor::kernel	crates/icydb-core/src/db/executor/kernel/mod.rs	query/plan,executor,index/storage	2	9	medium
db::executor::mutation	crates/icydb-core/src/db/executor/mutation/mod.rs	query/plan,executor,index/storage	2	9	medium
db::executor::terminal	crates/icydb-core/src/db/executor/terminal/mod.rs	query/plan,executor,codec	2	5	medium
db::cursor::range_token	crates/icydb-core/src/db/cursor/range_token.rs	access,executor,index/storage	2	4	medium
