rank	module_path	file	score	loc	branch_pressure	fanout	duplication_hits	invariant_rederivations
1	db::session	crates/icydb-core/src/db/session.rs	51.12	3367	25	56	1	1
2	db::sql::lowering	crates/icydb-core/src/db/sql/lowering.rs	30.07	1457	50	15	2	2
3	db::sql::parser	crates/icydb-core/src/db/sql/parser.rs	27.48	1683	85	7	1	1
4	db::cursor::anchor	crates/icydb-core/src/db/cursor/anchor.rs	23.87	302	13	16	4	3
5	value	crates/icydb-core/src/value/mod.rs	23.33	958	51	6	2	2
6	db::executor::continuation::scalar	crates/icydb-core/src/db/executor/continuation/scalar.rs	22.68	383	5	18	3	3
7	db::executor::mutation::save_validation	crates/icydb-core/src/db/executor/mutation/save_validation.rs	22.25	340	17	15	3	3
8	db::executor::executable_plan	crates/icydb-core/src/db/executor/executable_plan.rs	22.13	598	19	26	2	2
9	db::query::intent::query	crates/icydb-core/src/db/query/intent/query.rs	21.70	800	14	15	2	2
10	db::executor::explain::descriptor	crates/icydb-core/src/db/executor/explain/descriptor.rs	21.40	1030	54	17	1	1
11	db::predicate::normalize	crates/icydb-core/src/db/predicate/normalize.rs	21.23	628	19	10	3	2
12	db::executor::aggregate::projection	crates/icydb-core/src/db/executor/aggregate/projection/mod.rs	20.61	576	25	18	2	2
13	types::decimal	crates/icydb-core/src/types/decimal.rs	20.37	1392	77	13	0	0
14	db::cursor::envelope	crates/icydb-core/src/db/cursor/envelope.rs	20.08	443	13	15	3	2
15	db::executor::route::planner::feasibility	crates/icydb-core/src/db/executor/route/planner/feasibility/mod.rs	19.05	235	2	8	3	3
16	db::query::fingerprint::hash_parts	crates/icydb-core/src/db/query/fingerprint/hash_parts.rs	18.84	984	24	14	1	1
17	db::executor::route::capability	crates/icydb-core/src/db/executor/route/capability.rs	18.84	179	1	10	3	3
18	db::executor::aggregate::fast_path	crates/icydb-core/src/db/executor/aggregate/fast_path.rs	18.82	497	17	15	2	2
19	db::executor::aggregate::numeric	crates/icydb-core/src/db/executor/aggregate/numeric.rs	18.81	361	12	23	2	2
20	db::query::plan::access_choice	crates/icydb-core/src/db/query/plan/access_choice.rs	18.55	830	57	12	1	1
21	db::executor::pipeline::operators::post_access	crates/icydb-core/src/db/executor/pipeline/operators/post_access/mod.rs	18.05	470	11	14	2	2
22	db::query::fingerprint::fingerprint	crates/icydb-core/src/db/query/fingerprint/fingerprint.rs	17.88	948	0	17	1	1
23	db::executor::stream::access::physical	crates/icydb-core/src/db/executor/stream/access/physical.rs	17.66	336	10	19	2	2
24	db::query::plan::planner::range	crates/icydb-core/src/db/query/plan/planner/range.rs	17.62	382	28	12	2	2
25	db::access::validate	crates/icydb-core/src/db/access/validate.rs	17.46	451	23	9	2	2
26	db::query::explain::plan	crates/icydb-core/src/db/query/explain/plan.rs	17.01	821	16	15	1	1
27	db::executor::delete	crates/icydb-core/src/db/executor/delete/mod.rs	16.51	216	3	21	2	2
28	db::query::intent::model	crates/icydb-core/src/db/query/intent/model.rs	16.49	369	8	12	2	2
29	db::predicate::encoding	crates/icydb-core/src/db/predicate/encoding.rs	16.41	611	14	13	2	1
30	db::executor	crates/icydb-core/src/db/executor/mod.rs	15.89	219	2	18	2	2
31	db::cursor::boundary	crates/icydb-core/src/db/cursor/boundary.rs	15.80	295	13	11	2	2
32	db::schema::describe	crates/icydb-core/src/db/schema/describe.rs	15.60	670	6	8	2	1
33	db::executor::mutation::commit_window	crates/icydb-core/src/db/executor/mutation/commit_window.rs	15.44	459	9	27	1	1
34	db::executor::runtime_context	crates/icydb-core/src/db/executor/runtime_context/mod.rs	15.37	422	15	27	1	1
35	db::executor::aggregate::terminals	crates/icydb-core/src/db/executor/aggregate/terminals.rs	15.16	491	17	22	1	1
36	db::cursor	crates/icydb-core/src/db/cursor/mod.rs	14.47	272	3	8	2	2
37	db::executor::pipeline::entrypoints::scalar	crates/icydb-core/src/db/executor/pipeline/entrypoints/scalar/mod.rs	14.39	119	0	16	2	2
38	db::executor::kernel	crates/icydb-core/src/db/executor/kernel/mod.rs	14.10	200	6	9	2	2
39	db::executor::route::contracts::execution::plan	crates/icydb-core/src/db/executor/route/contracts/execution/plan.rs	13.89	284	5	4	2	2
40	db::relation::reverse_index	crates/icydb-core/src/db/relation/reverse_index.rs	13.74	319	11	25	1	1
