module_path	file	fanout	layers_touched	layer_count	risk
db::session	crates/icydb-core/src/db/session.rs	56	intent,query/plan,access,executor,index/storage	5	high
db::executor::runtime_context	crates/icydb-core/src/db/executor/runtime_context/mod.rs	27	executor,index/storage	2	high
db::executor::mutation::commit_window	crates/icydb-core/src/db/executor/mutation/commit_window.rs	27	index/storage	1	high
db::executor::executable_plan	crates/icydb-core/src/db/executor/executable_plan.rs	26	query/plan,access,executor,codec	4	high
db::relation::reverse_index	crates/icydb-core/src/db/relation/reverse_index.rs	25	index/storage	1	high
db::executor::aggregate::numeric	crates/icydb-core/src/db/executor/aggregate/numeric.rs	23	query/plan,access,executor	3	high
db::access::lowering	crates/icydb-core/src/db/access/lowering.rs	23	access,index/storage	2	high
db::executor::aggregate::terminals	crates/icydb-core/src/db/executor/aggregate/terminals.rs	22	query/plan,access,executor,index/storage	4	high
db::commit::prepare	crates/icydb-core/src/db/commit/prepare.rs	21	index/storage,codec	2	high
db::executor::delete	crates/icydb-core/src/db/executor/delete/mod.rs	21	executor,index/storage	2	high
db::cursor::continuation	crates/icydb-core/src/db/cursor/continuation.rs	19	query/plan,access,executor,index/storage	4	high
db::executor::pipeline::operators::reducer	crates/icydb-core/src/db/executor/pipeline/operators/reducer.rs	19	query/plan,executor,index/storage	3	high
db::executor::stream::access::physical	crates/icydb-core/src/db/executor/stream/access/physical.rs	19	access,executor,index/storage	3	high
db::cursor::spine	crates/icydb-core/src/db/cursor/spine.rs	19	query/plan,executor	2	high
db::executor::aggregate::field_extrema	crates/icydb-core/src/db/executor/aggregate/field_extrema.rs	19	executor,index/storage	2	high
db::executor	crates/icydb-core/src/db/executor/mod.rs	18	access,executor,index/storage	3	high
db::executor::aggregate	crates/icydb-core/src/db/executor/aggregate/mod.rs	18	query/plan,executor,index/storage	3	high
db::executor::aggregate::projection	crates/icydb-core/src/db/executor/aggregate/projection/mod.rs	18	query/plan,executor,index/storage	3	high
db::executor::continuation::scalar	crates/icydb-core/src/db/executor/continuation/scalar.rs	18	query/plan,access,executor	3	high
value::storage_key	crates/icydb-core/src/value/storage_key.rs	18		0	high
db::executor::terminal::bytes	crates/icydb-core/src/db/executor/terminal/bytes.rs	17	query/plan,access,executor,index/storage	4	high
db::query::fingerprint::fingerprint	crates/icydb-core/src/db/query/fingerprint/fingerprint.rs	17	intent,query/plan,access,codec	4	high
db::executor::explain::descriptor	crates/icydb-core/src/db/executor/explain/descriptor.rs	17	query/plan,access,executor	3	high
db::executor::pipeline::entrypoints::scalar	crates/icydb-core/src/db/executor/pipeline/entrypoints/scalar/mod.rs	16	access,executor,index/storage	3	high
db::cursor::anchor	crates/icydb-core/src/db/cursor/anchor.rs	16	executor,index/storage	2	high
db::predicate::runtime	crates/icydb-core/src/db/predicate/runtime.rs	16		0	high
types::timestamp	crates/icydb-core/src/types/timestamp.rs	16		0	high
db::executor::aggregate::fast_path	crates/icydb-core/src/db/executor/aggregate/fast_path.rs	15	query/plan,executor,index/storage	3	high
db::executor::stream::access::traversal	crates/icydb-core/src/db/executor/stream/access/traversal.rs	15	access,executor,index/storage	3	high
db::query::fluent::load::terminals	crates/icydb-core/src/db/query/fluent/load/terminals.rs	15	intent,query/plan,executor	3	high
db::sql::lowering	crates/icydb-core/src/db/sql/lowering.rs	15	intent,query/plan,executor	3	high
db::commit::store	crates/icydb-core/src/db/commit/store.rs	15	index/storage,codec	2	high
db::executor::mutation::save_validation	crates/icydb-core/src/db/executor/mutation/save_validation.rs	15	executor,index/storage	2	high
db::executor::terminal::page	crates/icydb-core/src/db/executor/terminal/page.rs	15	query/plan,executor	2	high
db::index::scan	crates/icydb-core/src/db/index/scan.rs	15	executor,index/storage	2	high
db::query::explain::plan	crates/icydb-core/src/db/query/explain/plan.rs	15	query/plan,access	2	high
db::query::intent::query	crates/icydb-core/src/db/query/intent/query.rs	15	intent,query/plan	2	high
db::cursor::envelope	crates/icydb-core/src/db/cursor/envelope.rs	15	index/storage	1	high
db::index::plan::unique	crates/icydb-core/src/db/index/plan/unique.rs	15	index/storage	1	high
db::executor::mutation::save	crates/icydb-core/src/db/executor/mutation/save.rs	14	executor,index/storage,codec	3	high
db::executor::pipeline::operators::distinct	crates/icydb-core/src/db/executor/pipeline/operators/distinct.rs	14	query/plan,executor,index/storage	3	high
db::executor::scan::fast_stream_route::handlers	crates/icydb-core/src/db/executor/scan/fast_stream_route/handlers.rs	14	query/plan,executor,index/storage	3	high
db::query::fingerprint::hash_parts	crates/icydb-core/src/db/query/fingerprint/hash_parts.rs	14	query/plan,access,codec	3	high
db::executor::pipeline::operators::post_access	crates/icydb-core/src/db/executor/pipeline/operators/post_access/mod.rs	14	query/plan,executor	2	high
db::executor::route::planner::entrypoints	crates/icydb-core/src/db/executor/route/planner/entrypoints.rs	14	query/plan,executor	2	high
db::index::plan	crates/icydb-core/src/db/index/plan/mod.rs	14	index/storage	1	high
db::relation::validate	crates/icydb-core/src/db/relation/validate.rs	14	index/storage	1	high
types::account	crates/icydb-core/src/types/account.rs	14		0	high
types::duration	crates/icydb-core/src/types/duration.rs	14		0	high
types::identity::id	crates/icydb-core/src/types/identity/id.rs	14		0	high
db::executor::aggregate::execution	crates/icydb-core/src/db/executor/aggregate/execution.rs	13	query/plan,executor,index/storage	3	high
db::executor::pipeline::contracts::grouped::route_stage::projection	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/route_stage/projection.rs	13	query/plan,executor	2	high
