module_path	file	loc	pub_types	pub_fns	match_count	if_count	branch_pressure	max_match_depth	fanout	module_layer	import_layers_touched	upward_imports	cross_layer_imports
db::access::canonical	crates/icydb-core/src/db/access/canonical.rs	713	1	2	9	29	38	1	7	access	query/plan,access	1	1
db::access::capabilities	crates/icydb-core/src/db/access/capabilities.rs	539	5	1	13	2	15	1	7	access	access	0	0
db::access::dispatch	crates/icydb-core/src/db/access/dispatch.rs	173	4	2	4	0	4	1	7	access	access	0	0
db::access::execution_contract::executable	crates/icydb-core/src/db/access/execution_contract/executable.rs	234	3	2	5	0	5	1	4	access	access	0	0
db::access::execution_contract	crates/icydb-core/src/db/access/execution_contract/mod.rs	23	0	0	0	0	0	0	0	access		0	0
db::access::execution_contract::pushdown	crates/icydb-core/src/db/access/execution_contract/pushdown.rs	93	0	1	0	4	4	0	3	access	query/plan,access	1	1
db::access::execution_contract::route	crates/icydb-core/src/db/access/execution_contract/route.rs	283	1	3	1	10	11	1	5	access	query/plan,access	1	1
db::access::execution_contract::strategy	crates/icydb-core/src/db/access/execution_contract/strategy.rs	116	1	4	0	3	3	0	3	access	access	0	0
db::access::execution_contract::summary	crates/icydb-core/src/db/access/execution_contract/summary.rs	148	0	1	5	8	13	1	3	access	access	0	0
db::access::execution_contract::types	crates/icydb-core/src/db/access/execution_contract/types.rs	94	5	0	0	0	0	0	3	access		0	0
db::access::lowering	crates/icydb-core/src/db/access/lowering.rs	396	3	3	7	1	8	2	23	access	access,index/storage	0	5
db::access	crates/icydb-core/src/db/access/mod.rs	42	0	0	0	0	0	0	0	access		0	0
db::access::path	crates/icydb-core/src/db/access/path.rs	264	3	4	4	0	4	1	2	access		0	0
db::access::plan	crates/icydb-core/src/db/access/plan.rs	416	5	15	5	9	14	1	7	access	access	0	0
db::access::validate	crates/icydb-core/src/db/access/validate.rs	451	1	2	5	18	23	1	9	access	access	0	0
db::codec::cursor	crates/icydb-core/src/db/codec/cursor.rs	164	1	3	1	3	4	1	1	codec	executor	1	1
db::codec::hash_stream	crates/icydb-core/src/db/codec/hash_stream.rs	55	0	8	0	0	0	0	0	codec		0	0
db::codec	crates/icydb-core/src/db/codec/mod.rs	103	0	3	1	0	1	1	4	codec	codec	0	0
db::commit::apply	crates/icydb-core/src/db/commit/apply.rs	46	0	2	0	3	3	0	1	index/storage	index/storage	0	0
db::commit::guard	crates/icydb-core/src/db/commit/guard.rs	163	2	4	0	5	5	0	3	index/storage	index/storage	0	0
db::commit::hooks	crates/icydb-core/src/db/commit/hooks.rs	136	1	2	0	4	4	0	12	index/storage	index/storage	0	0
db::commit::marker	crates/icydb-core/src/db/commit/marker.rs	235	4	6	0	7	7	0	11	index/storage	index/storage,codec	0	1
db::commit::memory	crates/icydb-core/src/db/commit/memory.rs	153	0	2	2	4	6	2	4	index/storage	index/storage	0	0
db::commit	crates/icydb-core/src/db/commit/mod.rs	129	0	6	1	1	2	1	4	index/storage		0	0
db::commit::prepare	crates/icydb-core/src/db/commit/prepare.rs	212	0	2	1	6	7	1	21	index/storage	index/storage,codec	0	1
db::commit::prepared_op	crates/icydb-core/src/db/commit/prepared_op.rs	56	3	0	0	0	0	0	6	index/storage	index/storage	0	0
db::commit::rebuild	crates/icydb-core/src/db/commit/rebuild.rs	148	0	1	0	4	4	0	12	index/storage	index/storage	0	0
db::commit::recovery	crates/icydb-core/src/db/commit/recovery.rs	92	0	1	0	5	5	0	6	index/storage	index/storage	0	0
db::commit::replay	crates/icydb-core/src/db/commit/replay.rs	48	0	1	1	0	1	1	7	index/storage	index/storage	0	0
db::commit::rollback	crates/icydb-core/src/db/commit/rollback.rs	62	0	3	0	0	0	0	3	index/storage	index/storage	0	0
db::commit::store	crates/icydb-core/src/db/commit/store.rs	429	1	8	1	6	7	1	15	index/storage	index/storage,codec	0	5
db::contracts	crates/icydb-core/src/db/contracts/mod.rs	12	0	0	0	0	0	0	0	support		0	0
db::contracts::rules	crates/icydb-core/src/db/contracts/rules.rs	19	0	1	0	1	1	0	0	support		0	0
db::contracts::semantics	crates/icydb-core/src/db/contracts/semantics.rs	74	2	1	0	1	1	0	3	support		0	0
db::cursor::anchor	crates/icydb-core/src/db/cursor/anchor.rs	302	1	4	2	11	13	1	16	executor	executor,index/storage	0	9
db::cursor::boundary	crates/icydb-core/src/db/cursor/boundary.rs	295	2	8	6	7	13	1	11	executor	query/plan,executor	2	2
db::cursor::continuation	crates/icydb-core/src/db/cursor/continuation.rs	193	1	3	1	4	5	1	19	executor	query/plan,access,executor,index/storage	5	7
db::cursor::envelope	crates/icydb-core/src/db/cursor/envelope.rs	443	0	5	11	2	13	2	15	executor	index/storage	0	7
db::cursor::error	crates/icydb-core/src/db/cursor/error.rs	206	1	8	5	0	5	1	4	executor	executor,codec	0	1
db::cursor	crates/icydb-core/src/db/cursor/mod.rs	272	0	8	2	1	3	1	8	executor	query/plan,executor,codec	3	4
db::cursor::order	crates/icydb-core/src/db/cursor/order.rs	193	0	3	1	4	5	1	8	executor	query/plan,executor	2	2
db::cursor::planned	crates/icydb-core/src/db/cursor/planned.rs	121	2	1	0	0	0	0	3	executor	executor	0	0
