concept	module	file	mention_lines	branch_site_hits
AccessPath	db::access::dispatch	crates/icydb-core/src/db/access/dispatch.rs	33	15
AccessPath	db::access::lowering	crates/icydb-core/src/db/access/lowering.rs	31	8
AccessPath	db::access::execution_contract::executable	crates/icydb-core/src/db/access/execution_contract/executable.rs	15	5
AccessPath	db::diagnostics::execution_trace	crates/icydb-core/src/db/diagnostics/execution_trace.rs	11	4
AccessPath	db::access::canonical	crates/icydb-core/src/db/access/canonical.rs	26	2
AccessPath	db::access::plan	crates/icydb-core/src/db/access/plan.rs	13	2
AccessPath	db::access::capabilities	crates/icydb-core/src/db/access/capabilities.rs	22	1
AccessPath	db::access::path	crates/icydb-core/src/db/access/path.rs	11	1
AccessPath	db::executor::aggregate::numeric	crates/icydb-core/src/db/executor/aggregate/numeric.rs	3	1
AccessPath	db::query::plan::covering	crates/icydb-core/src/db/query/plan/covering.rs	12	0
AccessPath	db::query::plan::semantics::access_projection	crates/icydb-core/src/db/query/plan/semantics/access_projection.rs	11	0
AccessPath	db::cursor::spine	crates/icydb-core/src/db/cursor/spine.rs	6	0
AccessPath	db::executor::stream::access::traversal	crates/icydb-core/src/db/executor/stream/access/traversal.rs	6	0
AccessPath	db::query::fingerprint::fingerprint	crates/icydb-core/src/db/query/fingerprint/fingerprint.rs	5	0
AccessPath	db::access	crates/icydb-core/src/db/access/mod.rs	3	0
AccessPath	db::cursor	crates/icydb-core/src/db/cursor/mod.rs	3	0
AccessPath	db::cursor::anchor	crates/icydb-core/src/db/cursor/anchor.rs	3	0
AccessPath	db::access::execution_contract	crates/icydb-core/src/db/access/execution_contract/mod.rs	2	0
AccessPath	db::access::execution_contract::strategy	crates/icydb-core/src/db/access/execution_contract/strategy.rs	2	0
AccessPath	db::access::execution_contract::summary	crates/icydb-core/src/db/access/execution_contract/summary.rs	2	0
AccessPath	db::access::validate	crates/icydb-core/src/db/access/validate.rs	2	0
AccessPath	db::cursor::validation	crates/icydb-core/src/db/cursor/validation.rs	2	0
AccessPath	db::executor::stream::access::physical	crates/icydb-core/src/db/executor/stream/access/physical.rs	2	0
