module	file	domain_families	has_other_internal_prefix	domain_count	fanout	loc	branch_sites_total	super_node
db::query::fingerprint::fingerprint	crates/icydb-core/src/db/query/fingerprint/fingerprint.rs	access/index,predicate/filter,query/plan	no	3	3	831	0	yes
db::executor::aggregate::numeric	crates/icydb-core/src/db/executor/aggregate/numeric.rs	access/index,query/plan	yes	3	0	319	12	yes
db::executor::pipeline::contracts::grouped::route_stage::projection	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/route_stage/projection.rs	access/index,query/plan	yes	3	0	134	0	yes
db::executor::pipeline::contracts::grouped::route_stage::payload	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/route_stage/payload.rs	access/index,query/plan	yes	3	0	65	0	yes
db::query::fingerprint::projection_hash	crates/icydb-core/src/db/query/fingerprint/projection_hash.rs	query/plan	yes	2	3	412	8	no
db::executor::route::planner::intent	crates/icydb-core/src/db/executor/route/planner/intent.rs	query/plan	yes	2	2	98	3	no
db::executor::projection::eval	crates/icydb-core/src/db/executor/projection/eval/mod.rs	query/plan	yes	2	2	145	2	no
db::index::key::ordered	crates/icydb-core/src/db/index/key/ordered/mod.rs	access/index	yes	2	2	144	2	no
db::sql::parser	crates/icydb-core/src/db/sql/parser/mod.rs	predicate/filter	yes	2	1	1146	90	no
db::executor::executable_plan	crates/icydb-core/src/db/executor/executable_plan.rs	access/index	yes	2	1	529	19	no
db::query::intent::query	crates/icydb-core/src/db/query/intent/query.rs	predicate/filter,query/plan	no	2	1	709	14	no
db::executor::stream::access::traversal	crates/icydb-core/src/db/executor/stream/access/traversal.rs	access/index	yes	2	1	328	9	no
db::access::lowering	crates/icydb-core/src/db/access/lowering.rs	access/index	yes	2	1	360	8	no
db::commit::guard	crates/icydb-core/src/db/commit/guard.rs	storage/commit	yes	2	1	166	6	no
db::query::plan::group	crates/icydb-core/src/db/query/plan/group.rs	query/plan	yes	2	1	318	5	no
db::index::predicate	crates/icydb-core/src/db/index/predicate/mod.rs	access/index	yes	2	1	159	5	no
db::query::plan::grouped_layout	crates/icydb-core/src/db/query/plan/grouped_layout.rs	query/plan	yes	2	1	61	5	no
db::executor::route::planner::entrypoints	crates/icydb-core/src/db/executor/route/planner/entrypoints.rs	query/plan	yes	2	1	203	4	no
db::query::plan::semantics::group_having	crates/icydb-core/src/db/query/plan/semantics/group_having.rs	predicate/filter,query/plan	no	2	1	108	4	no
db::error::planner	crates/icydb-core/src/db/error/planner.rs	query/plan	yes	2	1	64	4	no
db::executor::diagnostics::node	crates/icydb-core/src/db/executor/diagnostics/node.rs	query/plan	yes	2	1	318	3	no
