module	file	function	start_line	end_line	logical_lines	branch_layers	match_count	match_arms_total	avg_match_arms	if_count	if_chain_count	max_branch_depth
db::access::canonical	crates/icydb-core/src/db/access/canonical.rs	canonical_cmp	256	424	154	13	1	7	7.00	12	12	7
db::query::explain::render	crates/icydb-core/src/db/query/explain/render.rs	render_text_tree_verbose_into	117	206	88	12	0	0	0.00	12	12	12
db::query::explain::render	crates/icydb-core/src/db/query/explain/render.rs	render_text_tree_into	39	115	74	12	0	0	0.00	12	12	12
db::query::explain::json	crates/icydb-core/src/db/query/explain/json.rs	write_execution_node_json	27	110	82	12	11	22	2.00	1	1	11
db::query::plan::planner::compare	crates/icydb-core/src/db/query/plan/planner/compare.rs	plan_compare	22	103	77	11	2	10	5.00	9	9	6
db::relation::reverse_index	crates/icydb-core/src/db/relation/reverse_index.rs	prepare_reverse_relation_index_mutations_for_source	199	319	107	10	2	4	2.00	9	8	9
db::index::key::build	crates/icydb-core/src/db/index/key/build.rs	bounds_for_prefix_component_range_with_kind	225	337	105	10	4	8	2.00	6	6	6
db::executor::aggregate::runtime::grouped_distinct::aggregate	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_distinct/aggregate.rs	execute_global_distinct_field_aggregate	46	149	97	10	3	8	2.67	7	7	6
types::decimal	crates/icydb-core/src/types/decimal.rs	cmp_decimal	482	539	50	10	0	0	0.00	10	10	6
db::executor::aggregate::capability	crates/icydb-core/src/db/executor/aggregate/capability.rs	assess_field_extrema_fast_path_eligibility	225	334	108	9	0	0	0.00	9	9	9
db::query::plan::access_choice	crates/icydb-core/src/db/query/plan/access_choice.rs	evaluate_range_compare_candidate	560	605	45	8	0	0	0.00	8	8	8
db::commit::prepare	crates/icydb-core/src/db/commit/prepare.rs	prepare_row_commit_for_entity_impl	50	223	163	8	1	0	0.00	7	7	7
db::executor::mutation::save_validation	crates/icydb-core/src/db/executor/mutation/save_validation.rs	validate_entity_invariants	75	171	86	8	1	0	0.00	7	7	7
db::query::intent::query	crates/icydb-core/src/db/query/intent/query.rs	plan_predicate_pushdown_label	389	426	36	8	1	10	10.00	7	7	7
db::index::plan	crates/icydb-core/src/db/index/plan/mod.rs	plan_index_mutation_for_entity	136	249	101	8	2	4	2.00	6	6	6
db::executor::aggregate::runtime::grouped_fold::candidate_rows	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/candidate_rows/mod.rs	collect_grouped_candidate_rows	39	134	92	8	0	0	0.00	8	8	6
db::query::plan::planner::index_select	crates/icydb-core/src/db/query/plan/planner/index_select.rs	query_clause_implies_required	252	305	52	7	5	18	3.60	2	2	7
value	crates/icydb-core/src/value/mod.rs	to_f64_lossless	514	539	25	7	1	11	11.00	6	6	7
db::query::plan::access_choice	crates/icydb-core/src/db/query/plan/access_choice.rs	project_access_choice_explain_snapshot	184	293	101	7	2	4	2.00	5	5	5
db::access::execution_contract::route	crates/icydb-core/src/db/access/execution_contract/route.rs	secondary_order_pushdown_applicability	109	199	85	7	1	2	2.00	6	6	5
db::index::predicate::compile	crates/icydb-core/src/db/index/predicate/compile.rs	compile_compare_index_node	129	204	73	7	5	14	2.80	2	2	5
db::executor::aggregate::projection	crates/icydb-core/src/db/executor/aggregate/projection/mod.rs	covering_index_projection_pairs_if_eligible	414	483	63	7	5	12	2.40	2	2	5
db::executor::aggregate::contracts::state	crates/icydb-core/src/db/executor/aggregate/contracts/state.rs	update_with_optional_id	82	160	77	7	3	12	4.00	4	4	4
