enum	file	line	variants
MissingRowPolicy	crates/icydb-core/src/db/predicate/row_policy.rs	16	2
RelationTargetMismatchPolicy	crates/icydb-core/src/db/relation/mod.rs	56	2
PlanPolicyError	crates/icydb-core/src/db/query/plan/validate/errors.rs	81	2
PolicyPlanError	crates/icydb-core/src/db/query/plan/validate/errors.rs	121	7
CursorPagingPolicyError	crates/icydb-core/src/db/query/plan/validate/errors.rs	160	2
IntentKeyAccessPolicyViolation	crates/icydb-core/src/db/query/plan/validate/errors.rs	355	3
FluentLoadPolicyViolation	crates/icydb-core/src/db/query/plan/validate/errors.rs	368	4
GroupedCursorPolicyViolation	crates/icydb-core/src/db/query/plan/semantics/group_having.rs	22	2
GroupDistinctPolicyReason	crates/icydb-core/src/db/query/plan/semantics/group_distinct.rs	22	7
IndexCompilePolicy	crates/icydb-core/src/db/index/predicate/compile.rs	26	2
