concept	module	file	mention_lines	branch_site_hits
AccessPath	db::query::access::access_visitor	crates/icydb-core/src/db/query/access/access_visitor.rs	0	10
AccessPath	db::query::plan::access_choice	crates/icydb-core/src/db/query/plan/access_choice.rs	0	2
AccessPath	db::access::path	crates/icydb-core/src/db/access/path.rs	11	1
AccessPath	db::diagnostics::execution_trace	crates/icydb-core/src/db/diagnostics/execution_trace.rs	8	1
AccessPath	db::query::explain::plan	crates/icydb-core/src/db/query/explain/plan.rs	0	1
AccessPath	db::query::intent::query	crates/icydb-core/src/db/query/intent/query.rs	0	1
AccessPath	db::access::canonical	crates/icydb-core/src/db/access/canonical.rs	26	0
AccessPath	db::access::dispatch	crates/icydb-core/src/db/access/dispatch.rs	21	0
AccessPath	db::access::capabilities	crates/icydb-core/src/db/access/capabilities.rs	19	0
AccessPath	db::access::plan	crates/icydb-core/src/db/access/plan.rs	13	0
AccessPath	db::query::plan::covering	crates/icydb-core/src/db/query/plan/covering.rs	12	0
AccessPath	db::query::plan::semantics::access_projection	crates/icydb-core/src/db/query/plan/semantics/access_projection.rs	11	0
AccessPath	db::access::execution_contract::executable	crates/icydb-core/src/db/access/execution_contract/executable.rs	9	0
AccessPath	db::query::fingerprint::fingerprint	crates/icydb-core/src/db/query/fingerprint/fingerprint.rs	5	0
AccessPath	db::access::lowering	crates/icydb-core/src/db/access/lowering.rs	3	0
AccessPath	db::executor::aggregate::numeric	crates/icydb-core/src/db/executor/aggregate/numeric.rs	3	0
AccessPath	db::access	crates/icydb-core/src/db/access/mod.rs	2	0
AccessPath	db::access::validate	crates/icydb-core/src/db/access/validate.rs	2	0
AccessPath	db::executor::stream::access::traversal	crates/icydb-core/src/db/executor/stream/access/traversal.rs	2	0
AccessPath	db::query::plan::access_plan	crates/icydb-core/src/db/query/plan/access_plan.rs	2	0
AccessPath	db::access::execution_contract	crates/icydb-core/src/db/access/execution_contract/mod.rs	1	0
AccessPath	db::query::plan::semantics::grouped_strategy	crates/icydb-core/src/db/query/plan/semantics/grouped_strategy.rs	1	0
Continuation	db::query::plan::continuation	crates/icydb-core/src/db/query/plan/continuation.rs	50	5
Continuation	db::cursor::anchor	crates/icydb-core/src/db/cursor/anchor.rs	57	4
Continuation	db::cursor::envelope	crates/icydb-core/src/db/cursor/envelope.rs	55	4
Continuation	db::cursor::error	crates/icydb-core/src/db/cursor/error.rs	39	4
Continuation	db::commit::store	crates/icydb-core/src/db/commit/store.rs	23	4
Continuation	db::cursor::spine	crates/icydb-core/src/db/cursor/spine.rs	43	2
Continuation	db::executor::executable_plan	crates/icydb-core/src/db/executor/executable_plan.rs	39	2
Continuation	db::index::scan	crates/icydb-core/src/db/index/scan.rs	18	2
Continuation	db::codec	crates/icydb-core/src/db/codec/mod.rs	10	2
Continuation	db::executor::pipeline::operators::reducer	crates/icydb-core/src/db/executor/pipeline/operators/reducer.rs	5	2
Continuation	db::executor::aggregate::numeric	crates/icydb-core/src/db/executor/aggregate/numeric.rs	4	2
Continuation	db::query::explain::render	crates/icydb-core/src/db/query/explain/render.rs	4	2
Continuation	db::executor::continuation::engine	crates/icydb-core/src/db/executor/continuation/engine.rs	40	1
Continuation	db::cursor	crates/icydb-core/src/db/cursor/mod.rs	39	1
Continuation	db::cursor::continuation	crates/icydb-core/src/db/cursor/continuation.rs	26	1
