 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼─────────────────────────────────────────────────────────────────────────────────────────────────────────────
         419737 ┊     29.90% ┊ export "canister_query query"
         419713 ┊     29.90% ┊   ⤷ code[3491]
         419704 ┊     29.90% ┊       ⤷ code[78]
         416243 ┊     29.66% ┊           ⤷ code[1]
         152126 ┊     10.84% ┊               ⤷ code[167]
         143521 ┊     10.23% ┊                   ⤷ code[0]
          49551 ┊      3.53% ┊                       ⤷ code[2]
           6185 ┊      0.44% ┊                           ⤷ code[370]
           5621 ┊      0.40% ┊                               ⤷ code[150]
           3533 ┊      0.25% ┊                                   ⤷ code[1297]
           3399 ┊      0.24% ┊                                       ⤷ code[161]
           2002 ┊      0.14% ┊                                           ⤷ code[130]
            284 ┊      0.02% ┊                                               ⤷ code[726]
            155 ┊      0.01% ┊                                               ⤷ code[1139]
             64 ┊      0.00% ┊                                           ⤷ code[2122]
             29 ┊      0.00% ┊                                           ⤷ code[2765]
            370 ┊      0.03% ┊                                   ⤷ code[587]
            152 ┊      0.01% ┊                                   ⤷ code[1264]
             32 ┊      0.00% ┊                                   ⤷ code[2705]
           5579 ┊      0.40% ┊                           ⤷ code[128]
           3734 ┊      0.27% ┊                               ⤷ code[1285]
           3600 ┊      0.26% ┊                                   ⤷ code[153]
           2158 ┊      0.15% ┊                                       ⤷ code[116]
            314 ┊      0.02% ┊                                           ⤷ code[665]
            174 ┊      0.01% ┊                                           ⤷ code[1047]
             65 ┊      0.00% ┊                                       ⤷ code[2105]
             29 ┊      0.00% ┊                                       ⤷ code[2732]
            199 ┊      0.01% ┊                               ⤷ code[1015]
           3584 ┊      0.26% ┊                           ⤷ code[1218]
           3436 ┊      0.24% ┊                               ⤷ code[159]
           2021 ┊      0.14% ┊                                   ⤷ code[131]
            286 ┊      0.02% ┊                                       ⤷ code[727]
            156 ┊      0.01% ┊                                       ⤷ code[1144]
             65 ┊      0.00% ┊                                   ⤷ code[2131]
             29 ┊      0.00% ┊                                   ⤷ code[2771]
           3256 ┊      0.23% ┊                           ⤷ code[154]
           1783 ┊      0.13% ┊                               ⤷ code[117]
           2341 ┊      0.17% ┊                           ⤷ code[112]
            210 ┊      0.01% ┊                               ⤷ code[889]
            137 ┊      0.01% ┊                               ⤷ code[1332]
             83 ┊      0.01% ┊                               ⤷ code[1860]
