Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
"export ""canister_query query""",24,0.0017098973847831957,419737,29.904466608197676
code[3491],9,0.0006412115192936984,419713,29.902756710812895
code[78],2711,0.19314715875613514,419704,29.902115499293597
code[1],21560,1.5360578173302375,416243,29.65553404726299
code[46],4108,0.2926774356953903,181981,12.965368165842946
data[0],176338,12.563328543245799,176338,12.563328543245799
code[167],1432,0.10202387729206401,152126,10.838327064897017
code[3],17057,1.2152383205102903,150552,10.726186294744986
code[0],25129,1.790333807592372,143521,10.225257606727876
table[0],6,0.0004274743461957989,138248,9.849578902146135
elem[0],1262,0.08991210414984971,138242,9.849151427799939
code[341],672,0.047877126773929475,74357,5.29761832668017
code[12],9535,0.6793279818294904,73685,5.24974119990624
code[6],10757,0.7663902570047015,55889,3.981852289089501
code[2],18807,1.3399183381507318,49551,3.5302968880580057
code[708],304,0.02165870020725381,48888,3.4830609728033695
code[345],668,0.04759214387646561,48584,3.461402272596116
code[11],10073,0.7176581815383805,47916,3.41381012871965
code[18],7842,0.5587089704779091,35963,2.562209985373253
code[147],1583,0.11278198167132494,31177,2.221227948557737
code[4],15890,1.1320945601752075,30309,2.1593866598080784
code[16],8129,0.5791564933709417,28180,2.0077045126329356
code[368],585,0.041678748754090396,26971,1.9215684318744823
code[20],7232,0.5152490786146696,26386,1.8798896831203917
code[5],11893,0.8473253998844394,26254,1.870485247504084
code[7],10878,0.7750109896529834,25866,1.8428419064500892
"export ""canister_query icydb_snapshot""",33,0.0023511089040768943,21404,1.5249434843291467
code[214],1177,0.08385621757874256,21402,1.5248009928804147
code[3490],9,0.0006412115192936984,21371,1.5225923754250696
code[22],7174,0.5111168266014435,21362,1.5219511639057761
code[17],8253,0.5879909631923215,20190,1.4384511749488633
code[310],731,0.0520806245115215,19671,1.4014746440029269
code[41],4522,0.3221731655829005,19608,1.3969861633678708
code[9],9695,0.6907272977280451,19135,1.3632869357427686
code[14],9034,0.6436338739221412,18940,1.3493940194914054
code[10],9772,0.6962132185042245,17883,1.2740872888365788
code[110],1918,0.13664929933392372,17569,1.251716131385665
code[50],3967,0.28263178855978904,15856,1.1296722055467647
code[8],10492,0.7475101400477204,15270,1.0879222110683084
code[13],9457,0.6737708153289451,13941,0.9932366433859388
