 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼─────────────────────────────────────────────────
         702047 ┊     45.15% ┊ table[0]
         702041 ┊     45.15% ┊   ⤷ elem[0]
         210733 ┊     13.55% ┊       ⤷ code[1]
          51905 ┊      3.34% ┊           ⤷ code[10]
          17685 ┊      1.14% ┊               ⤷ code[14]
           6238 ┊      0.40% ┊                   ⤷ code[634]
           4064 ┊      0.26% ┊                       ⤷ code[1389]
           3920 ┊      0.25% ┊                           ⤷ code[166]
           2551 ┊      0.16% ┊                               ⤷ code[114]
            303 ┊      0.02% ┊                                   ⤷ code[701]
            267 ┊      0.02% ┊                                   ⤷ code[849]
            173 ┊      0.01% ┊                                   ⤷ code[1192]
             33 ┊      0.00% ┊                                   ⤷ code[3053]
             16 ┊      0.00% ┊                                   ⤷ code[3554]
             29 ┊      0.00% ┊                               ⤷ code[3052]
           1677 ┊      0.11% ┊                       ⤷ code[220]
            200 ┊      0.01% ┊                           ⤷ code[1158]
            174 ┊      0.01% ┊                           ⤷ code[1299]
             55 ┊      0.00% ┊                           ⤷ code[2655]
             25 ┊      0.00% ┊                           ⤷ code[3432]
            107 ┊      0.01% ┊                       ⤷ code[1720]
             29 ┊      0.00% ┊                       ⤷ code[3146]
            397 ┊      0.03% ┊                   ⤷ code[620]
             22 ┊      0.00% ┊                       ⤷ code[3431]
            255 ┊      0.02% ┊                   ⤷ code[897]
            215 ┊      0.01% ┊                   ⤷ code[1097]
            149 ┊      0.01% ┊                   ⤷ code[1347]
            147 ┊      0.01% ┊                   ⤷ code[1361]
            130 ┊      0.01% ┊                   ⤷ code[2409]
             65 ┊      0.00% ┊                       ⤷ code[2205]
            115 ┊      0.01% ┊                   ⤷ code[1629]
             96 ┊      0.01% ┊                   ⤷ code[1798]
             92 ┊      0.01% ┊                   ⤷ code[1861]
             70 ┊      0.00% ┊                   ⤷ code[2298]
             69 ┊      0.00% ┊                   ⤷ code[2217]
             67 ┊      0.00% ┊                   ⤷ code[2266]
             62 ┊      0.00% ┊                   ⤷ code[2451]
