 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼─────────────────────────────────────────────────
        2519015 ┊     74.51% ┊ table[0]
        2519009 ┊     74.51% ┊   ⤷ elem[0]
         228416 ┊      6.76% ┊       ⤷ code[329]
         226413 ┊      6.70% ┊           ⤷ code[570]
         225254 ┊      6.66% ┊               ⤷ code[0]
          26708 ┊      0.79% ┊                   ⤷ code[1577]
          26446 ┊      0.78% ┊                       ⤷ code[2]
           9112 ┊      0.27% ┊                           ⤷ code[58]
            382 ┊      0.01% ┊                           ⤷ code[1241]
            208 ┊      0.01% ┊                           ⤷ code[1976]
            127 ┊      0.00% ┊                           ⤷ code[2625]
             80 ┊      0.00% ┊                           ⤷ code[3235]
             73 ┊      0.00% ┊                           ⤷ code[3233]
             73 ┊      0.00% ┊                           ⤷ code[3234]
             66 ┊      0.00% ┊                           ⤷ code[3519]
             66 ┊      0.00% ┊                           ⤷ code[3520]
             66 ┊      0.00% ┊                           ⤷ code[3521]
             66 ┊      0.00% ┊                           ⤷ code[3522]
             59 ┊      0.00% ┊                           ⤷ code[3798]
             16 ┊      0.00% ┊                           ⤷ code[5226]
             12 ┊      0.00% ┊                           ⤷ code[5499]
          23022 ┊      0.68% ┊                   ⤷ code[33]
           8630 ┊      0.26% ┊                       ⤷ code[111]
            367 ┊      0.01% ┊                           ⤷ code[1302]
            247 ┊      0.01% ┊                           ⤷ code[1883]
            247 ┊      0.01% ┊                           ⤷ code[1884]
            231 ┊      0.01% ┊                           ⤷ code[1864]
            120 ┊      0.00% ┊                           ⤷ code[2717]
             74 ┊      0.00% ┊                           ⤷ code[3543]
             68 ┊      0.00% ┊                           ⤷ code[4031]
             56 ┊      0.00% ┊                           ⤷ code[4032]
             56 ┊      0.00% ┊                           ⤷ code[4033]
             56 ┊      0.00% ┊                           ⤷ code[4034]
             49 ┊      0.00% ┊                           ⤷ code[4264]
             12 ┊      0.00% ┊                           ⤷ code[5507]
           1817 ┊      0.05% ┊                       ⤷ code[302]
           1205 ┊      0.04% ┊                       ⤷ code[557]
            382 ┊      0.01% ┊                       ⤷ code[1244]
            239 ┊      0.01% ┊                       ⤷ code[1698]
            127 ┊      0.00% ┊                       ⤷ code[2628]
             80 ┊      0.00% ┊                       ⤷ code[3242]
             73 ┊      0.00% ┊                       ⤷ code[3240]
             73 ┊      0.00% ┊                       ⤷ code[3241]
             66 ┊      0.00% ┊                       ⤷ code[3538]
             66 ┊      0.00% ┊                       ⤷ code[3539]
             66 ┊      0.00% ┊                       ⤷ code[3540]
             66 ┊      0.00% ┊                       ⤷ code[3541]
             59 ┊      0.00% ┊                       ⤷ code[3801]
             26 ┊      0.00% ┊                       ⤷ code[4918]
             16 ┊      0.00% ┊                       ⤷ code[5230]
             12 ┊      0.00% ┊                       ⤷ code[5506]
          19469 ┊      0.58% ┊                   ⤷ code[296]
          11813 ┊      0.35% ┊                       ⤷ code[28]
            640 ┊      0.02% ┊                           ⤷ code[754]
             15 ┊      0.00% ┊                               ⤷ code[5382]
            221 ┊      0.01% ┊                           ⤷ code[1928]
            183 ┊      0.01% ┊                           ⤷ code[2158]
            148 ┊      0.00% ┊                           ⤷ code[2378]
            127 ┊      0.00% ┊                           ⤷ code[2349]
            120 ┊      0.00% ┊                           ⤷ code[2657]
            119 ┊      0.00% ┊                           ⤷ code[2537]
            110 ┊      0.00% ┊                           ⤷ code[2764]
             76 ┊      0.00% ┊                           ⤷ code[3150]
             76 ┊      0.00% ┊                           ⤷ code[3151]
             37 ┊      0.00% ┊                           ⤷ code[4581]
             24 ┊      0.00% ┊                           ⤷ code[4818]
           3737 ┊      0.11% ┊                       ⤷ code[390]
