concept	module	branch_site_hits	mention_hits
AccessPath	db::access::canonical	38	35
AccessPath	db::access::capabilities	15	27
AccessPath	db::access::dispatch	4	45
AccessPath	db::access::execution_contract::executable	5	15
AccessPath	db::access::execution_contract	0	2
AccessPath	db::access::execution_contract::route	11	2
AccessPath	db::access::execution_contract::strategy	3	2
AccessPath	db::access::execution_contract::summary	12	2
AccessPath	db::access::lowering	6	26
AccessPath	db::access	0	5
AccessPath	db::access::path	4	12
AccessPath	db::access::plan	13	15
AccessPath	db::access::validate	23	2
AccessPath	db::cursor::anchor	11	3
AccessPath	db::cursor	1	3
AccessPath	db::cursor::spine	4	6
AccessPath	db::cursor::validation	2	2
AccessPath	db::diagnostics::execution_trace	6	22
AccessPath	db::diagnostics	15	1
AccessPath	db::executor::aggregate::numeric	16	3
AccessPath	db::executor::explain::descriptor	52	5
RouteShape	db::executor::explain::descriptor	52	2
AccessPath	db::executor	3	1
RouteShape	db::executor::route::contracts::execution	1	5
RouteShape	db::executor::route::contracts::execution::plan	5	11
RouteShape	db::executor::route::contracts	0	2
RouteShape	db::executor::route::contracts::shape	0	2
RouteShape	db::executor::route::planner::execution	2	8
RouteShape	db::executor::route::planner::execution::shape_aggregate_count	2	2
RouteShape	db::executor::route::planner::execution::shape_aggregate_grouped	1	2
RouteShape	db::executor::route::planner::execution::shape_aggregate_non_count	1	2
RouteShape	db::executor::route::planner::execution::shape_load	1	2
RouteShape	db::executor::route::planner::intent	3	6
RouteShape	db::executor::route::planner	1	3
AccessPath	db::executor::stream::access::physical	11	11
AccessPath	db::executor::stream::access::traversal	9	5
AccessPath	db::executor::terminal::bytes	32	3
AccessPath	db::executor::traversal	3	2
AccessPath	db	1	1
AccessPath	db::query::access::access_visitor	1	17
AccessPath	db::query::access	0	1
AccessPath	db::query::explain::access_projection	2	22
AccessPath	db::query::explain::execution	6	5
AccessPath	db::query::explain::plan	16	5
AccessPath	db::query::fingerprint::hash_parts	24	2
AccessPath	db::query::intent::model	7	1
AccessPath	db::query::intent::query	14	13
AccessPath	db::query::plan::access_choice	70	12
AccessPath	db::query::plan::access_plan	1	2
AccessPath	db::query::plan::semantics::access_projection	2	27
AccessPath	db::query::plan::semantics::grouped_strategy	8	1
