enum	variants	definition_file	definition_line	switch_sites	switch_site_examples
PlanError	3	crates/icydb-core/src/db/query/plan/validate/errors.rs	19	20	crates/icydb-core/src/db/access/validate.rs;crates/icydb-core/src/db/cursor/anchor.rs;crates/icydb-core/src/db/cursor/boundary.rs;crates/icydb-core/src/db/cursor/error.rs;crates/icydb-core/src/db/cursor/validation.rs;crates/icydb-core/src/db/executor/executable_plan.rs;crates/icydb-core/src/db/executor/mod.rs;crates/icydb-core/src/db/query/intent/errors/mod.rs
QueryError	5	crates/icydb-core/src/db/query/intent/errors/mod.rs	38	9	crates/icydb-core/src/db/query/fluent/load/validation.rs;crates/icydb-core/src/db/query/intent/errors/mod.rs;crates/icydb-core/src/db/query/intent/model.rs;crates/icydb-core/src/db/query/intent/query.rs;crates/icydb-core/src/db/session/mod.rs;crates/icydb-core/src/db/session/query.rs;crates/icydb-core/src/db/session/sql.rs;crates/icydb-core/src/db/sql/lowering/mod.rs
ErrorClass	7	crates/icydb-core/src/error/mod.rs	1769	13	crates/icydb-core/src/db/commit/memory.rs;crates/icydb-core/src/db/commit/prepare.rs;crates/icydb-core/src/db/data/key.rs;crates/icydb-core/src/db/diagnostics/mod.rs;crates/icydb-core/src/db/executor/mod.rs;crates/icydb-core/src/db/executor/mutation/save_validation.rs;crates/icydb-core/src/db/executor/terminal/row_decode.rs;crates/icydb-core/src/db/index/entry.rs
CursorPlanError	9	crates/icydb-core/src/db/cursor/error.rs	23	12	crates/icydb-core/src/db/cursor/anchor.rs;crates/icydb-core/src/db/cursor/boundary.rs;crates/icydb-core/src/db/cursor/error.rs;crates/icydb-core/src/db/cursor/validation.rs;crates/icydb-core/src/db/executor/executable_plan.rs;crates/icydb-core/src/db/executor/mod.rs;crates/icydb-core/src/db/query/intent/errors/mod.rs;crates/icydb-core/src/db/query/plan/continuation.rs
CursorDecodeError	4	crates/icydb-core/src/db/codec/cursor.rs	16	2	crates/icydb-core/src/db/codec/cursor.rs;crates/icydb-core/src/db/cursor/error.rs
CursorPagingPolicyError	2	crates/icydb-core/src/db/query/plan/validate/errors.rs	227	3	crates/icydb-core/src/db/query/intent/errors/mod.rs;crates/icydb-core/src/db/query/plan/validate/cursor_policy.rs;crates/icydb-core/src/db/query/plan/validate/errors.rs
CursorOrderPlanShapeError	2	crates/icydb-core/src/db/query/plan/validate/errors.rs	602	2	crates/icydb-core/src/db/query/plan/validate/cursor_policy.rs;crates/icydb-core/src/db/query/plan/validate/errors.rs
AccessPath	7	crates/icydb-core/src/db/access/path.rs	118	30	crates/icydb-core/src/db/access/canonical.rs;crates/icydb-core/src/db/access/capabilities.rs;crates/icydb-core/src/db/access/dispatch.rs;crates/icydb-core/src/db/access/execution_contract/executable.rs;crates/icydb-core/src/db/access/execution_contract/route.rs;crates/icydb-core/src/db/access/execution_contract/summary.rs;crates/icydb-core/src/db/access/lowering.rs;crates/icydb-core/src/db/access/path.rs
AccessPathKind	7	crates/icydb-core/src/db/access/dispatch.rs	50	5	crates/icydb-core/src/db/access/capabilities.rs;crates/icydb-core/src/db/access/dispatch.rs;crates/icydb-core/src/db/access/execution_contract/executable.rs;crates/icydb-core/src/db/diagnostics/execution_trace.rs;crates/icydb-core/src/db/executor/aggregate/numeric/mod.rs
RouteShapeKind	5	crates/icydb-core/src/db/executor/route/contracts/shape.rs	75	6	crates/icydb-core/src/db/executor/route/contracts/execution/mod.rs;crates/icydb-core/src/db/executor/route/contracts/execution/plan.rs;crates/icydb-core/src/db/executor/route/planner/execution/mod.rs;crates/icydb-core/src/db/executor/route/planner/execution/shape_aggregate_count.rs;crates/icydb-core/src/db/executor/route/planner/execution/shape_aggregate_non_count.rs;crates/icydb-core/src/db/executor/route/planner/intent.rs
PlanPolicyError	2	crates/icydb-core/src/db/query/plan/validate/errors.rs	81	1	crates/icydb-core/src/db/query/plan/validate/errors.rs
PolicyPlanError	7	crates/icydb-core/src/db/query/plan/validate/errors.rs	151	3	crates/icydb-core/src/db/query/intent/errors/mod.rs;crates/icydb-core/src/db/query/plan/validate/errors.rs;crates/icydb-core/src/db/query/plan/validate/plan_shape.rs
Predicate	13	crates/icydb-core/src/db/predicate/model.rs	18	52	crates/icydb-core/src/db/executor/aggregate/execution.rs;crates/icydb-core/src/db/executor/aggregate/fast_path.rs;crates/icydb-core/src/db/executor/aggregate/numeric/mod.rs;crates/icydb-core/src/db/executor/aggregate/runtime/grouped_distinct/aggregate.rs;crates/icydb-core/src/db/executor/aggregate/terminals.rs;crates/icydb-core/src/db/executor/explain/descriptor.rs;crates/icydb-core/src/db/executor/pipeline/contracts/execution/inputs.rs;crates/icydb-core/src/db/executor/pipeline/contracts/grouped/stages.rs
PreparedIndexDeltaKind	5	crates/icydb-core/src/db/commit/prepared_op.rs	35	5	crates/icydb-core/src/db/commit/mod.rs;crates/icydb-core/src/db/commit/prepare.rs;crates/icydb-core/src/db/commit/prepared_op.rs;crates/icydb-core/src/db/executor/mutation/commit_window.rs;crates/icydb-core/src/db/relation/reverse_index.rs
StoreError	3	crates/icydb-core/src/error/mod.rs	1739	1	crates/icydb-core/src/error/mod.rs
StoreRegistryError	3	crates/icydb-core/src/db/registry.rs	19	1	crates/icydb-core/src/db/registry.rs
