function	module	branch_layers	match_count	match_arms_total	avg_match_arms	if_chain_count	max_branch_depth	axis_count
plan_compare	db::query::plan::planner::compare	14	2	10	5.00	12	6	3
apply_post_access_to_kernel_rows_dyn	db::executor::terminal::page	14	0	0	0.00	14	5	3
canonical_cmp	db::access::canonical	13	1	7	7.00	12	4	3
write_execution_node_json	db::query::explain::json	12	11	22	2.00	1	4	3
render_text_tree_into	db::query::explain::render	12	0	0	0.00	12	2	2
render_text_tree_verbose_into	db::query::explain::render	12	0	0	0.00	12	2	2
evaluate_range_compare_candidate	db::query::plan::access_choice	11	0	0	0.00	11	4	2
bounds_for_prefix_component_range_with_kind	db::index::key::build	10	4	8	2.00	6	3	3
eval_text_scalar_compare	db::predicate::runtime	10	2	14	7.00	8	3	4
eval_text_scalar_literal_compare	db::predicate::runtime	10	2	14	7.00	8	3	4
cmp_decimal	types::decimal	10	0	0	0.00	10	3	2
execute_covering_scalar_projection_boundary	db::executor::aggregate::projection	9	4	14	3.50	5	5	4
