Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
"export ""canister_query query""",24,0.001717085790614266,263947,18.88415179896932
code[3528],10,0.0007154524127559441,263923,18.882434713178707
code[496],484,0.0346278967773877,263913,18.88171926076595
code[1],25496,1.824117471562555,263429,18.84709136398856
table[0],6,0.0004292714476535665,254307,18.19445567307259
elem[0],1380,0.09873243296032029,254301,18.194026401624935
data[0],191334,13.689037194224582,191334,13.689037194224582
code[0],43955,3.1447710802687525,68747,4.918520701973289
code[2],22364,1.6000377758873936,54662,3.9108059786065423
code[8],10370,0.7419241520279141,49041,3.508650177396426
"export ""canister_query icydb_snapshot""",33,0.002360992962094616,35276,2.5238299312378687
code[3527],10,0.0007154524127559441,35243,2.521468938275774
code[495],484,0.0346278967773877,35233,2.5207534858630183
code[7],12277,0.8783609271404726,34749,2.4861255890856304
code[3],17848,1.2769394662868092,33346,2.3857476155759714
code[37],3928,0.2810297077305349,32526,2.327080517729984
code[11],8135,0.5820205377769606,28186,2.016574170593904
code[6],12180,0.87142103873674,24155,1.728175303011983
code[5],12393,0.8866601751284416,23756,1.6996287517430209
code[27],4984,0.35658148251756255,21208,1.5173314769728063
code[29],4521,0.32345603580696236,19607,1.4027875456905796
"export ""get_candid_pointer""",22,0.0015739953080630771,19152,1.3702344609101842
code[3530],9,0.0006439071714803498,19130,1.368660465602121
code[43],3729,0.26679220471669157,19121,1.3680165584306407
code[391],584,0.04178242090494714,17777,1.271859754156242
code[108],1918,0.1372237727665901,17569,1.2569783439709183
code[76],2555,0.18279809145914375,17193,1.2300773332512949
code[777],309,0.022107479554158673,16224,1.1607499944552437
code[4],13965,0.999129294413676,15915,1.138642514901085
code[9],8984,0.6427624476199403,15267,1.0922811985545
code[19],5225,0.3738238856649808,14799,1.0587980256375218
code[10],9457,0.6766033467432964,13941,0.9974122086230618
code[52],3192,0.22837241015169737,13872,0.9924755869750458
"export ""canister_query icydb_metrics""",32,0.0022894477208190212,13828,0.9893275963589196
code[3526],9,0.0006439071714803498,13796,0.9870381486381006
code[15],6616,0.4733433162793326,13787,0.9863942414666202
code[525],425,0.030406727542127625,13586,0.9720136479702258
code[128],1653,0.11826428382855758,12666,0.9061920259966789
code[158],1399,0.1000917925445566,11323,0.8101067669635555
code[12],7933,0.5675683990392905,9307,0.6658715605519572
