 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
         613300 ┊     22.55% ┊ export "canister_query query"
         613276 ┊     22.55% ┊   ⤷ code[4417]
         613266 ┊     22.55% ┊       ⤷ code[4424]
         613259 ┊     22.55% ┊           ⤷ code[432]
         594193 ┊     21.85% ┊               ⤷ code[119]
         195457 ┊      7.19% ┊                   ⤷ code[363]
         186298 ┊      6.85% ┊                       ⤷ code[7]
          77102 ┊      2.84% ┊                           ⤷ code[602]
          49644 ┊      1.83% ┊                               ⤷ code[23]
          25293 ┊      0.93% ┊                                   ⤷ code[163]
          20662 ┊      0.76% ┊                                       ⤷ code[2227]
          20340 ┊      0.75% ┊                                           ⤷ code[1288]
          19798 ┊      0.73% ┊                                               ⤷ code[446]
          18347 ┊      0.67% ┊                                                   ⤷ code[1426]
          17560 ┊      0.65% ┊                                                       ⤷ code[81]
           5503 ┊      0.20% ┊                                                           ⤷ code[27]
           5270 ┊      0.19% ┊                                                           ⤷ code[37]
            246 ┊      0.01% ┊                                                               ⤷ code[2447]
             61 ┊      0.00% ┊                                                               ⤷ code[3533]
           3184 ┊      0.12% ┊                                                           ⤷ code[1278]
           2641 ┊      0.10% ┊                                                               ⤷ code[130]
            194 ┊      0.01% ┊                                                           ⤷ code[2695]
             11 ┊      0.00% ┊                                                           ⤷ type[32]: (i32, i32, i32, i32, i32, i64, i32, i32) -> nil
            199 ┊      0.01% ┊                                                       ⤷ code[2672]
             11 ┊      0.00% ┊                                                       ⤷ type[40]: (i32, i32, i32, i64, i32, i32, i32, i32) -> nil
            316 ┊      0.01% ┊                                                   ⤷ code[2209]
             11 ┊      0.00% ┊                                                   ⤷ type[49]: (i32, i32, i64, i32, i32, i32, i32, i32) -> nil
            945 ┊      0.03% ┊                                       ⤷ code[1965]
            581 ┊      0.02% ┊                                           ⤷ code[1198]
            502 ┊      0.02% ┊                                       ⤷ code[1485]
            403 ┊      0.01% ┊                                       ⤷ code[1754]
            278 ┊      0.01% ┊                                       ⤷ code[2345]
            176 ┊      0.01% ┊                                       ⤷ code[2814]
             74 ┊      0.00% ┊                                       ⤷ code[3328]
             33 ┊      0.00% ┊                                       ⤷ code[3771]
          17266 ┊      0.63% ┊                                   ⤷ code[322]
          14051 ┊      0.52% ┊                                       ⤷ code[26]
           6580 ┊      0.24% ┊                                           ⤷ code[219]
           4573 ┊      0.17% ┊                                               ⤷ code[783]
           3761 ┊      0.14% ┊                                                   ⤷ code[110]
            771 ┊      0.03% ┊                                                       ⤷ code[922]
             73 ┊      0.00% ┊                                                           ⤷ code[3401]
            152 ┊      0.01% ┊                                               ⤷ code[2938]
           1140 ┊      0.04% ┊                                           ⤷ code[465]
            513 ┊      0.02% ┊                                           ⤷ code[1329]
            336 ┊      0.01% ┊                                           ⤷ code[2102]
           1106 ┊      0.04% ┊                                       ⤷ code[1089]
            222 ┊      0.01% ┊                                           ⤷ code[2638]
            211 ┊      0.01% ┊                                           ⤷ code[2724]
             10 ┊      0.00% ┊                                           ⤷ type[29]: (i32, i32, i32, i32, i32, i32, i64) -> nil
            595 ┊      0.02% ┊                                       ⤷ code[1107]
            283 ┊      0.01% ┊                                   ⤷ code[2356]
            256 ┊      0.01% ┊                                   ⤷ code[3651]
            205 ┊      0.01% ┊                                       ⤷ code[2654]
            194 ┊      0.01% ┊                                   ⤷ code[2694]
            157 ┊      0.01% ┊                                   ⤷ code[2979]
            157 ┊      0.01% ┊                                   ⤷ code[2980]
            138 ┊      0.01% ┊                                   ⤷ code[3025]
             88 ┊      0.00% ┊                                   ⤷ code[3277]
             49 ┊      0.00% ┊                                   ⤷ code[3650]
             31 ┊      0.00% ┊                                   ⤷ code[3777]
             31 ┊      0.00% ┊                                   ⤷ code[4061]
             30 ┊      0.00% ┊                                   ⤷ code[3772]
             20 ┊      0.00% ┊                                   ⤷ code[3988]
              6 ┊      0.00% ┊                                   ⤷ code[4430]
          14543 ┊      0.53% ┊                               ⤷ code[29]
           5999 ┊      0.22% ┊                                   ⤷ code[121]
           2974 ┊      0.11% ┊                                       ⤷ code[122]
            114 ┊      0.00% ┊                                           ⤷ code[3079]
            154 ┊      0.01% ┊                                       ⤷ code[2918]
           3240 ┊      0.12% ┊                                   ⤷ code[96]
             73 ┊      0.00% ┊                                   ⤷ code[3384]
           8976 ┊      0.33% ┊                               ⤷ code[3562]
           8918 ┊      0.33% ┊                                   ⤷ code[589]
           7946 ┊      0.29% ┊                                       ⤷ code[429]
           6575 ┊      0.24% ┊                                           ⤷ code[137]
           2797 ┊      0.10% ┊                                               ⤷ code[816]
            567 ┊      0.02% ┊                                                   ⤷ code[1425]
            126 ┊      0.00% ┊                                                       ⤷ code[3048]
            427 ┊      0.02% ┊                                                   ⤷ code[1465]
            377 ┊      0.01% ┊                                                   ⤷ code[1685]
            252 ┊      0.01% ┊                                                   ⤷ code[2404]
