Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
"export ""canister_query query""",24,0.0008825963041279765,613300,22.55401305507033
code[4417],10,0.0003677484600533235,613276,22.553130458766205
code[4424],7,0.0002574239220373265,613266,22.55276271030615
code[432],1210,0.04449756366645215,613259,22.552505286384115
code[119],3088,0.11356072446446631,594193,21.851356072446446
table[0],6,0.00022064907603199413,382232,14.056522938310195
elem[0],1786,0.06567987496552358,382226,14.056302289234162
data[0],359182,13.208862737887287,359182,13.208862737887287
code[363],1366,0.050234439643283994,195457,7.187901075664245
code[7],8880,0.3265606325273513,186298,6.851080261101407
code[103],3207,0.11793693113910085,108963,4.007097545279029
code[987],670,0.024639146823572676,103667,3.8123379608347894
code[66],3951,0.14529741656706813,102997,3.7876988140112164
"export ""canister_query icydb_snapshot""",33,0.0012135699181759676,96992,3.5668658637491952
code[4416],10,0.0003677484600533235,96959,3.5656522938310196
code[4423],7,0.0002574239220373265,96949,3.5652845453709663
code[312],1504,0.055309368392019866,96942,3.5650271214489293
code[1007],714,0.0262572400478073,91003,3.3466213110232603
code[602],919,0.03379608347890043,77102,2.835414176703135
code[202],1942,0.07141675094235543,70033,2.5754527902914406
code[895],700,0.025742392203732648,69728,2.5642364622598146
code[229],1893,0.06961478348809415,65154,2.3960283166314245
code[131],2767,0.10175599889675463,55647,2.0464098556587293
"export ""get_candid_pointer""",22,0.0008090466121173118,55219,2.0306702215684473
code[4419],9,0.00033097361404799114,55197,2.02986117495633
code[33],5425,0.19950353957892802,55188,2.029530201342282
code[815],767,0.02820630688608991,52880,1.9446538567619749
code[569],948,0.034862554013055075,52113,1.916447549875885
code[606],957,0.035193527627103066,51707,1.9015169623977197
code[108],3086,0.11348717477245565,51351,1.8884251172198214
code[2],11824,0.4348257791670498,51165,1.8815849958628297
code[1555],470,0.017284177622506204,50750,1.866323434770617
code[23],5645,0.20759400570010111,49644,1.8256504550887194
code[488],1149,0.04225429806012687,49546,1.822046520180197
code[149],2462,0.09053967086512825,43276,1.5914682357267629
code[2112],319,0.01173117587570102,43004,1.5814654776133124
code[1243],561,0.020630688608991452,42977,1.5804725567711686
code[8],7819,0.28754252091569366,42685,1.5697343017376113
code[1382],521,0.019159694768778157,42416,1.559841868162177
code[71],3900,0.14342189942079617,42189,1.5514939781189667
