Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
"export ""canister_query query""",24,0.0008326342674795953,579389,20.1007973166973
code[4605],10,0.0003469309447831647,579365,20.09996468242982
code[4612],7,0.0002428516613482153,579355,20.099617751485038
code[467],1216,0.042186802885632826,579348,20.09937489982369
code[131],3088,0.10713227574904126,560183,19.434481744146755
table[0],6,0.00020815856686989882,533851,18.520943180343725
elem[0],1831,0.06352305598979745,533845,18.520735021776854
data[0],370750,12.86246477783583,370750,12.86246477783583
code[392],1366,0.047390767057380295,165229,5.732305307557752
code[46],4791,0.1662146156456142,156068,5.414481869041895
code[83],4012,0.13918869504700568,112097,3.888991811735841
code[118],3208,0.11129544708643924,108966,3.780367732924232
code[1049],670,0.023244373300472035,103675,3.5968065700394596
code[77],3951,0.13707241628382838,103005,3.5735621967389877
"export ""canister_query icydb_snapshot""",33,0.0011448721177844436,96586,3.3508672232826746
code[4604],10,0.0003469309447831647,96553,3.3497223511648904
code[4611],7,0.0002428516613482153,96543,3.349375420220107
code[337],1507,0.052282493378822924,96536,3.3491325685587587
code[1071],714,0.024770869457517955,91013,3.1575226077550167
code[645],919,0.03188295382557284,71106,2.4668871759751707
code[225],1942,0.06737398947689058,69587,2.4141883654626084
code[949],700,0.02428516613482153,68860,2.388966485776872
code[252],1893,0.06567402784745308,65157,2.260497956923666
code[13],7241,0.25121269711748956,56881,1.973377907021119
code[145],2767,0.09599579242150166,55650,1.9306707077183114
"export ""get_candid_pointer""",22,0.0007632480785229622,55209,1.9153710530533739
code[4607],9,0.0003122378503048482,55187,1.9146078049748512
code[38],5425,0.18821003754486684,55178,1.914295567124546
code[867],767,0.02660960346486873,52883,1.8346749152968098
code[611],948,0.03288905356544401,52116,1.8080653118319412
code[646],958,0.033235984510227176,51708,1.793910529284788
code[2],11824,0.41021114911161394,51168,1.775176258266497
code[1638],470,0.01630575440480874,50750,1.7606745447745609
code[167],2319,0.08045328609521589,50483,1.7514114885488503
code[24],5645,0.1958425183300965,49644,1.722303982281543
code[526],1149,0.03986236555558562,49546,1.7189040590226679
code[166],2462,0.08541439860561514,43276,1.5013783566436236
code[2218],319,0.011067097138582954,43004,1.4919418349455216
code[1319],561,0.019462826002335537,42977,1.491005121394607
code[8],7819,0.2712653057259565,42685,1.4808747378069385
