 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
         579353 ┊     20.12% ┊ export "canister_query query"
         579329 ┊     20.12% ┊   ⤷ code[4605]
         579319 ┊     20.12% ┊       ⤷ code[4614]
         579312 ┊     20.12% ┊           ⤷ code[467]
         560153 ┊     19.46% ┊               ⤷ code[131]
         165214 ┊      5.74% ┊                   ⤷ code[392]
         156055 ┊      5.42% ┊                       ⤷ code[46]
          71107 ┊      2.47% ┊                           ⤷ code[645]
          49644 ┊      1.72% ┊                               ⤷ code[24]
          25293 ┊      0.88% ┊                                   ⤷ code[185]
          20662 ┊      0.72% ┊                                       ⤷ code[2337]
          20340 ┊      0.71% ┊                                           ⤷ code[1364]
          19798 ┊      0.69% ┊                                               ⤷ code[482]
          18347 ┊      0.64% ┊                                                   ⤷ code[1510]
          17560 ┊      0.61% ┊                                                       ⤷ code[94]
           5503 ┊      0.19% ┊                                                           ⤷ code[28]
           5270 ┊      0.18% ┊                                                           ⤷ code[42]
            246 ┊      0.01% ┊                                                               ⤷ code[2556]
             61 ┊      0.00% ┊                                                               ⤷ code[3685]
           3184 ┊      0.11% ┊                                                           ⤷ code[1355]
           2641 ┊      0.09% ┊                                                               ⤷ code[144]
            194 ┊      0.01% ┊                                                           ⤷ code[2811]
             11 ┊      0.00% ┊                                                           ⤷ type[32]: (i32, i32, i32, i32, i32, i64, i32, i32) -> nil
            199 ┊      0.01% ┊                                                       ⤷ code[2788]
             11 ┊      0.00% ┊                                                       ⤷ type[41]: (i32, i32, i32, i64, i32, i32, i32, i32) -> nil
            316 ┊      0.01% ┊                                                   ⤷ code[2318]
             11 ┊      0.00% ┊                                                   ⤷ type[51]: (i32, i32, i64, i32, i32, i32, i32, i32) -> nil
            945 ┊      0.03% ┊                                       ⤷ code[2068]
            581 ┊      0.02% ┊                                           ⤷ code[1272]
            502 ┊      0.02% ┊                                       ⤷ code[1568]
            403 ┊      0.01% ┊                                       ⤷ code[1848]
            278 ┊      0.01% ┊                                       ⤷ code[2453]
            176 ┊      0.01% ┊                                       ⤷ code[2935]
             74 ┊      0.00% ┊                                       ⤷ code[3474]
             33 ┊      0.00% ┊                                       ⤷ code[3932]
          17266 ┊      0.60% ┊                                   ⤷ code[348]
          14051 ┊      0.49% ┊                                       ⤷ code[27]
           6580 ┊      0.23% ┊                                           ⤷ code[243]
           4573 ┊      0.16% ┊                                               ⤷ code[832]
           3761 ┊      0.13% ┊                                                   ⤷ code[123]
            771 ┊      0.03% ┊                                                       ⤷ code[975]
             73 ┊      0.00% ┊                                                           ⤷ code[3549]
            152 ┊      0.01% ┊                                               ⤷ code[3065]
           1140 ┊      0.04% ┊                                           ⤷ code[501]
