Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
"export ""canister_query query""",24,0.0008336051233370881,579353,20.122984542529665
code[4605],10,0.00034733546805712,579329,20.122150937406328
code[4614],7,0.000243134827639984,579319,20.12180360193827
code[467],1216,0.04223599291574579,579312,20.12156046711063
code[131],3088,0.10725719253603866,560153,19.456100443859995
table[0],6,0.00020840128083427203,533770,18.539725278484894
elem[0],1831,0.06359712420125868,533764,18.53951687720406
data[0],367678,12.770761022430577,367678,12.770761022430577
code[392],1366,0.04744602493660259,165214,5.738468201958902
code[46],4791,0.1664084227461662,156055,5.420343646765386
code[83],4012,0.13935098978451654,112080,3.8929359259842014
code[118],3208,0.1114252181527241,108966,3.784775661231214
code[1049],670,0.023271476359827042,103666,3.6006878631609402
code[77],3951,0.1372322434293681,102996,3.5774163868011133
"export ""canister_query icydb_snapshot""",33,0.001146207044588496,96585,3.3547396182296936
code[4604],10,0.00034733546805712,96552,3.353593411185105
code[4613],7,0.000243134827639984,96542,3.353246075717048
code[331],1507,0.052343455036207985,96535,3.353002940889408
code[1071],714,0.02479975241927837,91004,3.160891693507015
code[645],919,0.03192012951444933,71107,2.4697983127137633
code[225],1942,0.06745254789669271,69586,2.416968588022275
code[948],700,0.024313482763998404,68854,2.391543631760494
code[252],1893,0.06575060410321282,65154,2.2630295085793595
code[13],7241,0.2515056124201606,56876,1.9755052081216757
code[145],2767,0.0961077240114051,55646,1.9327829455506502
"export ""get_candid_pointer""",22,0.0007641380297256641,55209,1.9176043855965539
code[4607],9,0.000312601921251408,55187,1.9168402475668285
code[38],5425,0.1884294914209876,55178,1.9165276456455766
code[867],767,0.026640630399981106,52879,1.836675221539245
code[611],948,0.032927402371814976,52112,1.810034591139264
code[649],957,0.03324000429306639,51707,1.7959675046829504
code[2],11824,0.4106894574307387,51164,1.7771071887674488
code[1637],470,0.01632476699868464,50750,1.7627275003898841
code[167],2319,0.08054709504244613,50477,1.7532452421119247
code[24],5645,0.19607087171824425,49644,1.7243121976227664
code[526],1149,0.03990884527976309,49546,1.720908310035807
code[166],2462,0.08551399223566294,43276,1.5031289715639926
code[2218],319,0.011080001431022128,43004,1.493681446832839
code[1319],561,0.019485519758004433,42977,1.4927436410690846
code[8],7819,0.27158160247386215,42685,1.4826014454018166
