Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
"export ""canister_query query""",24,0.0008176397601862583,578105,19.695068065103204
code[4725],10,0.000340683233410941,578081,19.694250425343014
code[4734],7,0.0002384782633876587,578071,19.693909742109604
code[507],1158,0.039451118428986964,578064,19.69367126384622
table[0],6,0.00020440994004656458,578020,19.692172257619212
elem[0],1996,0.06800037338882381,578014,19.691967847679166
code[2651],240,0.008176397601862583,560800,19.10551572968557
code[131],3088,0.10520298247729858,560560,19.097339332083706
data[0],382782,13.04074094515068,382782,13.04074094515068
code[402],1366,0.046537329683934536,165619,5.642361643428663
code[43],4791,0.16322133712718181,156459,5.330295801624241
code[82],4012,0.13668211324446952,111988,3.8152433943224455
code[116],3208,0.10929118127822987,108966,3.7122889211856593
code[1079],670,0.022825776638533045,103668,3.531794944124543
code[76],3951,0.1346039455206628,102998,3.50896916748601
"export ""canister_query icydb_snapshot""",33,0.001124254670256105,96610,3.291340717983101
code[4724],10,0.000340683233410941,96577,3.290216463312844
code[4733],7,0.0002384782633876587,96567,3.2898757800794334
code[281],1667,0.056791895009603854,96560,3.289637301816046
code[1099],714,0.024324782865541184,91005,3.100387765656268
code[655],919,0.03130878915046548,71106,2.4224621994918367
code[224],1942,0.06616068392840474,69587,2.370712416336715
code[968],700,0.02384782633876587,68857,2.3458425402977165
code[252],1893,0.06449133608469113,65154,2.2196875389656445
code[64],4292,0.14622124377997586,57281,1.951467629301211
code[145],2767,0.09426705068480737,55646,1.8957659206385222
"export ""get_candid_pointer""",22,0.0007495031135040702,55210,1.8809121316618054
code[4727],9,0.0003066149100698469,55188,1.880162628548301
code[35],5426,0.18485472244877657,55179,1.879856013638231
code[885],767,0.026130404002619175,52879,1.8014988699537147
code[621],948,0.0322967705273572,52112,1.7753684659510955
code[656],957,0.03260338543742705,51707,1.7615707949979524
code[2],11824,0.4028238551850966,51164,1.7430716954237382
code[1686],470,0.016012111970314224,50750,1.7289674095605254
code[168],2319,0.07900444182799721,50480,1.7197689622584298
code[23],5645,0.19231568526047618,49644,1.6912878439452754
code[536],1149,0.039144503518917115,49546,1.6879491482578481
code[166],2462,0.08387621206577367,43276,1.474340760909188
code[2266],319,0.010867795145809017,43004,1.4650741769604105
code[1357],561,0.019112329394353787,42977,1.4641543322302009
