Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
"export ""canister_query query""",24,0.000819369065335465,578108,19.736825484289795
table[0],6,0.00020484226633386626,578087,19.736108536357623
code[4725],10,0.00034140377722311047,578084,19.73600611522446
elem[0],1996,0.06814419393373285,578081,19.73590369409129
code[4734],7,0.0002389826440561773,578074,19.735664711447235
code[507],1158,0.03953455740243619,578067,19.735425728803175
code[2651],240,0.008193690653354652,560803,19.1460262478052
code[131],3088,0.10542548640649652,560563,19.137832557151846
data[0],376510,12.854193616227331,376510,12.854193616227331
code[402],1366,0.04663575596867689,165621,5.654363498746878
code[43],4791,0.1635665496675922,156461,5.341637638810508
code[82],4012,0.1369711954219119,112006,3.823927147165171
code[116],3208,0.10952233173317383,108966,3.7201403988893453
code[1079],670,0.0228740530739484,103669,3.5392988180942635
code[76],3951,0.13488863238085094,102999,3.5164247650203153
"export ""canister_query icydb_snapshot""",33,0.0011266324648362646,96610,3.2983018917524696
code[4724],10,0.00034140377722311047,96577,3.2971752592876338
code[4733],7,0.0002389826440561773,96567,3.296833855510411
code[281],1667,0.05691200966309252,96560,3.296594872866354
code[1099],714,0.024376229693730087,91005,3.1069450746189164
code[659],919,0.03137500712680385,71107,2.4276198387003713
code[224],1942,0.06630061353672805,69587,2.3757264645624585
code[968],700,0.02389826440561773,68857,2.3508039888251715
code[252],1893,0.0646277350283348,65154,2.2243821701194535
code[64],4292,0.146530501184159,57282,1.9556291166894213
code[145],2767,0.09446642515763466,55647,1.8998095991134427
"export ""get_candid_pointer""",22,0.000751088309890843,55210,1.8848902540487926
code[4727],9,0.0003072633995007994,55188,1.8841391657389022
code[35],5426,0.18524568952125975,55179,1.8838319023394012
code[885],767,0.026185669713012567,52880,1.805343173955808
code[621],948,0.03236507808075087,52113,1.7791575042427954
code[655],957,0.032672341480251665,51707,1.765296510887537
code[2],11824,0.40367582618860576,51165,1.7467924261620447
code[1683],470,0.01604597752948619,50750,1.7326241694072855
code[168],2319,0.07917153593803931,50480,1.7234062674222617
code[23],5645,0.19272243224244584,49644,1.6948649116464094
code[536],1149,0.03922729400293539,49546,1.691519154629623
code[166],2462,0.0840536099523298,43276,1.4774589863107328
code[2266],319,0.010890780493417223,43004,1.4681728035702641
code[1357],561,0.019152751902216495,42977,1.4672510133717616
