Concept	Module	Role
AccessPath	db::access::canonical	branch
AccessPath	db::access::dispatch	branch
AccessPath	db::access::lowering	branch
AccessPath	db::access::path	branch
AccessPath	db::access::plan	branch
AccessPath	db::query::explain::access_projection	branch
AccessPath	db::query::explain::plan	branch
AccessPath	db::query::intent::query	branch
AccessPath	db::query::plan::access_choice	branch
AccessPath	db::query::plan::semantics::access_projection	branch
Continuation	db::access::canonical	plumbing
Continuation	db::access::execution_contract::strategy	plumbing
Continuation	db::codec	plumbing
Continuation	db::codec::cursor	plumbing
Continuation	db::contracts::semantics	plumbing
Continuation	db::cursor	consumer
Continuation	db::cursor::anchor	plumbing
Continuation	db::cursor::boundary	consumer
Continuation	db::cursor::continuation	consumer
Continuation	db::cursor::error	consumer
Continuation	db::cursor::planned	consumer
Continuation	db::cursor::range_token	plumbing
Continuation	db::cursor::runtime	consumer
Continuation	db::cursor::signature	plumbing
Continuation	db::cursor::spine	consumer
Continuation	db::cursor::token	plumbing
Continuation	db::cursor::token::grouped	plumbing
Continuation	db::cursor::token::scalar	consumer
Continuation	db::cursor::token::wire	consumer
Continuation	db::cursor::validation	plumbing
Continuation	db::diagnostics::execution_trace	plumbing
Continuation	db::executor	consumer
Continuation	db::executor::aggregate	plumbing
Continuation	db::executor::aggregate::distinct	plumbing
Continuation	db::executor::aggregate::fast_path	plumbing
Continuation	db::executor::aggregate::field_extrema	plumbing
Continuation	db::executor::aggregate::numeric	plumbing
Continuation	db::executor::aggregate::projection	plumbing
Continuation	db::executor::aggregate::runtime::grouped_fold	plumbing
Continuation	db::executor::aggregate::runtime::grouped_fold::candidate_rows	consumer
Continuation	db::executor::aggregate::runtime::grouped_fold::page_finalize	plumbing
Continuation	db::executor::continuation	consumer
Continuation	db::executor::continuation::capabilities	consumer
Continuation	db::executor::continuation::engine	plumbing
Continuation	db::executor::continuation::grouped	consumer
Continuation	db::executor::continuation::grouped::capabilities	consumer
Continuation	db::executor::continuation::grouped::context	consumer
Continuation	db::executor::continuation::grouped::window	plumbing
Continuation	db::executor::continuation::route	consumer
