generated.dispatch.projection.user_name_eq_limit	592238	594722	595008	594388	2484	0.42	2770	0.47	2150	0.36	-620	-0.1
typed.dispatch.projection.user_name_eq_limit	616671	616417	616703	615819	-254	-0.04	32	0.01	-852	-0.14	-884	-0.14
typed.query_from_sql.execute.scalar_limit	549921	549580	549915	547133	-341	-0.06	-6	-0	-2788	-0.51	-2782	-0.51
typed.execute_sql.scalar_limit	549496	549155	549490	546708	-341	-0.06	-6	-0	-2788	-0.51	-2782	-0.51
generated.dispatch.describe.user	26158	26373	26373	26363	215	0.82	215	0.82	205	0.78	-10	-0.04
generated.dispatch.explain.user_name_eq_limit	189703	184909	184938	185365	-4794	-2.53	-4765	-2.51	-4338	-2.29	427	0.23
generated.dispatch.explain.grouped.user_age_count	181807	177892	177994	179102	-3915	-2.15	-3813	-2.1	-2705	-1.49	1108	0.62
generated.dispatch.explain.aggregate.user_count	92134	91534	91566	91561	-600	-0.65	-568	-0.62	-573	-0.62	-5	-0.01
typed.execute_sql_grouped.user_age_count	686532	703355	703105	697810	16823	2.45	16573	2.41	11278	1.64	-5295	-0.75
typed.execute_sql_grouped.user_age_count.having_empty	716441	716076	715825	715185	-365	-0.05	-616	-0.09	-1256	-0.18	-640	-0.09
typed.execute_sql_grouped.user_age_count.limit2.first_page	719721	731102	729874	727451	11381	1.58	10153	1.41	7730	1.07	-2423	-0.33
typed.execute_sql_grouped.user_age_count.limit2.second_page	724523	730427	729188	724713	5904	0.81	4665	0.64	190	0.03	-4475	-0.61
typed.execute_sql_grouped.user_age_count.invalid_cursor	186354	185922	186089	187038	-432	-0.23	-265	-0.14	684	0.37	949	0.51
typed.execute_sql_aggregate.user_count	188276	187912	188331	187313	-364	-0.19	55	0.03	-963	-0.51	-1018	-0.54
generated.dispatch.show_indexes.user	21319	21534	21534	21512	215	1.01	215	1.01	193	0.91	-22	-0.1
generated.dispatch.show_columns.user	34666	34873	34873	34872	207	0.6	207	0.6	206	0.59	-1	-0
generated.dispatch.show_entities	12244	12450	12450	12434	206	1.68	206	1.68	190	1.55	-16	-0.13
typed.dispatch.computed_projection.lower_name_limit2	590898	590533	590850	591349	-365	-0.06	-48	-0.01	451	0.08	499	0.08
fluent.load.user_order_id_limit2	497082	497099	497434	493979	17	0	352	0.07	-3103	-0.62	-3455	-0.69
fluent.load.user_name_eq_limit1	478501	478633	478939	478463	132	0.03	438	0.09	-38	-0.01	-476	-0.1
fluent.paged.user_order_id_limit2.first_page	653022	654621	653841	650688	1599	0.24	819	0.13	-2334	-0.36	-3153	-0.48
fluent.paged.user_order_id_limit2.second_page	693435	691235	691225	690325	-2200	-0.32	-2210	-0.32	-3110	-0.45	-900	-0.13
fluent.paged.user_order_id_limit2.invalid_cursor	91289	91250	91330	91344	-39	-0.04	41	0.04	55	0.06	14	0.02
