module	file	loc	match_count	match_arms_total	avg_match_arms	if_count	if_chain_count	max_branch_depth	fanout	branch_sites_total
db::access::canonical	crates/icydb-core/src/db/access/canonical.rs	380	9	37	4.11	30	30	2	3	39
db::access::capabilities	crates/icydb-core/src/db/access/capabilities.rs	394	12	31	2.58	2	2	2	3	14
db::access::dispatch	crates/icydb-core/src/db/access/dispatch.rs	161	4	24	6.00	0	0	1	3	4
db::access::execution_contract::executable	crates/icydb-core/src/db/access/execution_contract/executable.rs	176	5	15	3.00	0	0	1	3	5
db::access::execution_contract	crates/icydb-core/src/db/access/execution_contract/mod.rs	17	0	0	0.00	0	0	0	0	0
db::access::execution_contract::pushdown	crates/icydb-core/src/db/access/execution_contract/pushdown.rs	29	0	0	0.00	1	1	1	1	1
db::access::execution_contract::route	crates/icydb-core/src/db/access/execution_contract/route.rs	224	1	2	2.00	8	8	2	2	9
db::access::execution_contract::strategy	crates/icydb-core/src/db/access/execution_contract/strategy.rs	81	0	0	0.00	3	3	1	1	3
db::access::execution_contract::summary	crates/icydb-core/src/db/access/execution_contract/summary.rs	134	5	18	3.60	9	8	3	3	13
db::access::execution_contract::types	crates/icydb-core/src/db/access/execution_contract/types.rs	53	0	0	0.00	0	0	0	3	0
db::access::lowering	crates/icydb-core/src/db/access/lowering.rs	306	5	17	3.40	1	1	2	5	6
db::access	crates/icydb-core/src/db/access/mod.rs	33	0	0	0.00	0	0	0	1	0
db::access::path	crates/icydb-core/src/db/access/path.rs	223	7	20	2.86	0	0	1	3	7
db::access::plan	crates/icydb-core/src/db/access/plan.rs	269	5	11	2.20	9	9	1	4	14
db::access::validate	crates/icydb-core/src/db/access/validate.rs	304	3	11	3.67	18	18	2	4	21
db::codec::cursor	crates/icydb-core/src/db/codec/cursor.rs	68	1	4	4.00	3	3	1	1	4
db::codec::hash_stream	crates/icydb-core/src/db/codec/hash_stream.rs	32	0	0	0.00	0	0	0	0	0
db::codec	crates/icydb-core/src/db/codec/mod.rs	82	1	3	3.00	1	1	1	2	2
db::commit::apply	crates/icydb-core/src/db/commit/apply.rs	35	0	0	0.00	3	3	1	1	3
db::commit::guard	crates/icydb-core/src/db/commit/guard.rs	140	1	3	3.00	7	7	1	2	8
db::commit::hooks	crates/icydb-core/src/db/commit/hooks.rs	124	0	0	0.00	5	5	1	5	5
db::commit::marker	crates/icydb-core/src/db/commit/marker.rs	370	0	0	0.00	17	17	1	3	17
db::commit::memory	crates/icydb-core/src/db/commit/memory.rs	80	1	4	4.00	4	4	2	2	5
db::commit	crates/icydb-core/src/db/commit/mod.rs	71	0	0	0.00	0	0	0	2	0
db::commit::prepare	crates/icydb-core/src/db/commit/prepare.rs	323	0	0	0.00	5	5	1	5	5
db::commit::prepared_op	crates/icydb-core/src/db/commit/prepared_op.rs	62	2	8	4.00	0	0	1	1	2
db::commit::rebuild	crates/icydb-core/src/db/commit/rebuild.rs	112	1	3	3.00	2	2	1	3	3
db::commit::recovery	crates/icydb-core/src/db/commit/recovery.rs	66	0	0	0.00	6	6	1	3	6
db::commit::replay	crates/icydb-core/src/db/commit/replay.rs	26	1	2	2.00	0	0	1	3	1
db::commit::rollback	crates/icydb-core/src/db/commit/rollback.rs	47	0	0	0.00	0	0	0	1	0
db::commit::store	crates/icydb-core/src/db/commit/store.rs	528	0	0	0.00	27	27	1	2	27
db::contracts	crates/icydb-core/src/db/contracts/mod.rs	16	0	0	0.00	1	1	1	0	1
db::contracts::semantics	crates/icydb-core/src/db/contracts/semantics.rs	19	0	0	0.00	1	1	1	2	1
db::cursor::anchor	crates/icydb-core/src/db/cursor/anchor.rs	203	1	2	2.00	11	10	2	3	11
db::cursor::boundary	crates/icydb-core/src/db/cursor/boundary.rs	222	4	8	2.00	8	8	3	4	12
db::cursor::continuation	crates/icydb-core/src/db/cursor/continuation.rs	191	1	2	2.00	4	4	2	2	5
db::cursor::error	crates/icydb-core/src/db/cursor/error.rs	294	3	12	4.00	0	0	1	3	3
db::cursor	crates/icydb-core/src/db/cursor/mod.rs	176	0	0	0.00	1	1	1	3	1
db::cursor::planned	crates/icydb-core/src/db/cursor/planned.rs	90	0	0	0.00	0	0	0	2	0
db::cursor::range_token	crates/icydb-core/src/db/cursor/range_token.rs	49	0	0	0.00	0	0	0	1	0
db::cursor::runtime	crates/icydb-core/src/db/cursor/runtime.rs	142	0	0	0.00	6	6	2	2	6
db::cursor::signature	crates/icydb-core/src/db/cursor/signature.rs	10	0	0	0.00	0	0	0	0	0
db::cursor::spine	crates/icydb-core/src/db/cursor/spine.rs	259	0	0	0.00	4	4	1	4	4
db::cursor::token::error	crates/icydb-core/src/db/cursor/token/error.rs	16	0	0	0.00	0	0	0	0	0
db::cursor::token::grouped	crates/icydb-core/src/db/cursor/token/grouped.rs	87	0	0	0.00	0	0	0	3	0
db::cursor::token	crates/icydb-core/src/db/cursor/token/mod.rs	24	0	0	0.00	0	0	0	0	0
db::cursor::token::scalar	crates/icydb-core/src/db/cursor/token/scalar.rs	107	1	2	2.00	0	0	1	2	1
db::cursor::token::wire	crates/icydb-core/src/db/cursor/token/wire.rs	77	0	0	0.00	0	0	0	2	0
db::data::entity_decode	crates/icydb-core/src/db/data/entity_decode.rs	72	0	0	0.00	1	1	1	4	1
db::data::key	crates/icydb-core/src/db/data/key.rs	274	0	0	0.00	4	4	1	5	4
db::data	crates/icydb-core/src/db/data/mod.rs	60	0	0	0.00	0	0	0	0	0
db::data::persisted_row::codec	crates/icydb-core/src/db/data/persisted_row/codec.rs	800	8	55	6.88	7	7	2	6	15
db::data::persisted_row::contract	crates/icydb-core/src/db/data/persisted_row/contract.rs	560	12	62	5.17	14	14	2	5	26
