 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼──────────────────────────────────────────────────────────────────────────────────
         160263 ┊     24.29% ┊ export "canister_query icydb_snapshot"
         160230 ┊     24.28% ┊   ⤷ code[1872]
         160221 ┊     24.28% ┊       ⤷ code[12]
         154298 ┊     23.38% ┊           ⤷ code[0]
          56669 ┊      8.59% ┊               ⤷ code[5]
          15823 ┊      2.40% ┊                   ⤷ code[973]
          15743 ┊      2.39% ┊                       ⤷ code[88]
           9997 ┊      1.51% ┊                           ⤷ code[11]
           3729 ┊      0.57% ┊                               ⤷ code[640]
           3587 ┊      0.54% ┊                                   ⤷ code[74]
           2285 ┊      0.35% ┊                                       ⤷ code[52]
            271 ┊      0.04% ┊                                           ⤷ code[356]
            203 ┊      0.03% ┊                                           ⤷ code[484]
            148 ┊      0.02% ┊                                           ⤷ code[603]
             33 ┊      0.01% ┊                                           ⤷ code[1455]
             14 ┊      0.00% ┊                                           ⤷ code[1777]
             28 ┊      0.00% ┊                                       ⤷ code[1454]
           1016 ┊      0.15% ┊                               ⤷ code[102]
            312 ┊      0.05% ┊                               ⤷ code[343]
            217 ┊      0.03% ┊                               ⤷ code[872]
            128 ┊      0.02% ┊                                   ⤷ code[692]
            162 ┊      0.02% ┊                               ⤷ code[578]
            106 ┊      0.02% ┊                               ⤷ code[760]
             89 ┊      0.01% ┊                               ⤷ code[921]
             78 ┊      0.01% ┊                               ⤷ code[984]
             66 ┊      0.01% ┊                               ⤷ code[1142]
             56 ┊      0.01% ┊                               ⤷ code[1278]
             31 ┊      0.00% ┊                               ⤷ code[1465]
             15 ┊      0.00% ┊                               ⤷ code[1774]
           3517 ┊      0.53% ┊                           ⤷ code[575]
           3354 ┊      0.51% ┊                               ⤷ code[73]
           1968 ┊      0.30% ┊                                   ⤷ code[57]
            279 ┊      0.04% ┊                                       ⤷ code[374]
            152 ┊      0.02% ┊                                       ⤷ code[568]
             64 ┊      0.01% ┊                                   ⤷ code[1130]
             28 ┊      0.00% ┊                                   ⤷ code[1457]
            203 ┊      0.03% ┊                           ⤷ code[527]
            166 ┊      0.03% ┊                           ⤷ code[590]
            148 ┊      0.02% ┊                           ⤷ code[641]
            141 ┊      0.02% ┊                           ⤷ code[642]
             88 ┊      0.01% ┊                           ⤷ code[877]
             69 ┊      0.01% ┊                           ⤷ code[1087]
             69 ┊      0.01% ┊                           ⤷ code[1089]
