Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
table[0],6,0.0006716209908424477,306465,34.304721159755125
elem[0],922,0.10320575892612283,306459,34.30404953876429
data[0],136034,15.227214978043591,136034,15.227214978043591
"export ""canister_query icydb_snapshot""",33,0.003693915449633463,99433,11.130214997072851
code[2278],9,0.0010074314862636717,99400,11.126521081623219
code[17],4348,0.4867013446971605,99391,11.125513650136956
code[0],26812,3.001250334411285,93492,10.465198279307021
"export ""canister_query icydb_metrics""",32,0.0035819786178263886,89298,9.99573520670815
code[2277],9,0.0010074314862636717,89266,9.992153228090324
code[3],14882,1.6658439309528847,89257,9.99114579660406
code[1],23074,2.58283045711644,75428,8.443171349544025
code[8],5473,0.6126302804801195,37258,4.170542479467986
code[2],16910,1.8928518258576321,36435,4.0784184668907635
"export ""get_candid_pointer""",22,0.002462610299755642,17512,1.9602377986054909
code[70],1905,0.2132396645924772,17502,1.9591184302874203
code[2280],9,0.0010074314862636717,17490,1.9577751883057353
code[43],2894,0.323945191249674,17481,1.9567677568194715
code[110],1302,0.14574175501281117,16940,1.8962099308118443
code[4],12633,1.4140979962187739,16689,1.8681137860282686
code[1245],81,0.009066883376373045,15833,1.7722958580014128
code[115],1259,0.14092847124510696,15752,1.7632289746250398
code[20],3899,0.436441707215784,15299,1.7125215898164348
code[5],9457,1.0585866183995047,13855,1.550884804687019
code[69],1855,0.20764282300212342,12929,1.447231298433668
code[88],1548,0.17327821563735152,11203,1.254028326734657
code[16],4124,0.4616274943723758,10001,1.1194802549025533
code[916],137,0.015335345957569224,9255,1.0359753783744758
code[37],3172,0.3550636304920407,9108,1.019520664098836
code[899],129,0.014439851303112627,8758,0.9803427729663596
code[25],3811,0.42659126601676145,8629,0.965902921663247
code[363],443,0.04958801649053406,8353,0.9350083560844944
code[6],6775,0.7583720354929306,7959,0.890905244352507
code[11],4928,0.5516247071452638,7910,0.8854203395939604
code[7],5490,0.6145332066208398,7419,0.8304593551766868
code[338],462,0.051714816294868474,6734,0.7537826253888406
code[75],1825,0.2042847180479112,6730,0.7533348780616123
code[22],4070,0.45558290545479374,6553,0.73352205883176
code[13],4553,0.5096483952176107,6409,0.7174031550515413
code[811],163,0.018245703584553165,6281,0.7030752405802357
code[33],3227,0.36122015624142984,6272,0.702067809093972
