scenario	before	after	delta	delta_pct	compile_before	compile_after	execute_before	execute_after	shared_hits_before	shared_hits_after
account.active.handle_prefix.limit3	1203248	950778	-252470	-20.98	275056	277248	928192	673530	0	0
account.active.ilike_br.limit3	1316205	1067043	-249162	-18.93	308265	306988	1007940	760055	0	0
account.active.lower.covering_key_only.asc.limit3	620186	569741	-50445	-8.13	122332	123277	497854	446464	0	0
account.active.lower.handle_prefix.limit3	1451605	1177400	-274205	-18.89	349921	349301	1101684	828099	0	0
account.active.lower.materialized_score.asc.limit3	752949	699288	-53661	-7.13	127568	128364	625381	570924	0	0
account.active.lower.order_handle.asc.limit2.offset1	757090	702071	-55019	-7.27	130831	131158	626259	570913	0	0
account.active.lower.order_handle.asc.limit3	756263	703116	-53147	-7.03	127823	128621	628440	574495	0	0
account.active.lower.order_handle.asc.limit3.cold_query	756263	703116	-53147	-7.03	127823	128621	628440	574495	0	0
account.active.lower.order_handle.asc.limit3.warm_after_update	405262	341158	-64104	-15.82	14256	14193	391006	326965	1	1
account.active.lower.order_handle.desc.limit3	754006	700182	-53824	-7.14	127909	128707	626097	571475	0	0
account.active.not_ilike_br.limit3	1223501	1025691	-197810	-16.17	319560	318938	903941	706753	0	0
account.active.order_handle.asc.limit2.offset1	595420	540277	-55143	-9.26	121692	122016	473728	418261	0	0
account.active.order_handle.asc.limit3	592081	541010	-51071	-8.63	118438	119288	473643	421722	0	0
account.active.order_handle.desc.limit3	594841	541082	-53759	-9.04	118796	119718	476045	421364	0	0
account.count.active_true	882540	794011	-88529	-10.03	152811	154016	729729	639995	0	0
account.describe	41491	41436	-55	-0.13	26306	26251	15185	15185	0	0
account.show_indexes	39963	40204	241	0.6	27456	27697	12507	12507	0	0
account.tier.in.limit3	2347066	1879644	-467422	-19.92	672333	674067	1674733	1205577	0	0
account.tier.not_in.limit3	1481349	1261705	-219644	-14.83	496064	498933	985285	762772	0	0
account.tier_gold.handle_prefix.limit3	1610197	1293312	-316885	-19.68	494374	495003	1115823	798309	0	0
account.tier_gold.lower.handle_prefix.limit3	1878674	1537663	-341011	-18.15	583496	578859	1295178	958804	0	0
account.tier_gold.lower.order_handle.limit3	1107998	1035581	-72417	-6.54	285073	287185	822925	748396	0	0
account.tier_gold.order_handle.limit3	943795	875547	-68248	-7.23	275629	277977	668166	597570	0	0
repeat.account.active.lower.order_handle.asc.limit3.runs10	442670	379759	-62911	-14.21	25586	25672	417083	354087	9	9
repeat.user.age.order_only.asc.limit3.runs10	590887	460258	-130629	-22.11	19712	19798	571175	440460	9	9
repeat.user.age_plus_rank.direct_order.asc.limit3.runs10	658961	509855	-149106	-22.63	20888	20815	638073	489039	9	9
repeat.user.case_where.order_id.limit3.runs10	729445	473501	-255944	-35.09	85497	85043	643948	388458	9	9
repeat.user.distinct.age.order_only.asc.limit3.runs10	593137	551341	-41796	-7.05	18839	18880	574298	532461	9	9
repeat.user.grouped.age_count.limit10.runs10	542445	505926	-36519	-6.73	21948	22147	520496	483779	9	9
repeat.user.grouped.age_count.limit10.runs100	521290	484546	-36744	-7.05	13772	13910	507517	470636	99	99
repeat.user.grouped.age_count.no_order.runs10	509337	477932	-31405	-6.17	19604	19621	489733	458311	9	9
repeat.user.grouped.case_sum.having_alias.order.limit5.runs10	879501	813926	-65575	-7.46	58993	59044	820507	754882	9	9
repeat.user.name.lower.order_only.asc.limit3.runs10	407792	347446	-60346	-14.8	21116	21145	386675	326300	9	9
repeat.user.name.lower.order_only.asc.limit3.runs100	380739	319243	-61496	-16.15	13720	13661	367019	305581	99	99
repeat.user.pk.order_only.asc.limit1.runs10	336412	212830	-123582	-36.74	18827	18841	317585	193989	9	9
repeat.user.pk.order_only.asc.limit2.runs10	380691	257044	-123647	-32.48	18745	18772	361945	238272	9	9
repeat.user.pk.order_only.asc.limit2.runs100	364581	240446	-124135	-34.05	12724	12707	351856	227738	99	99
user.active.is_not_true.order_id.limit4	784108	651239	-132869	-16.95	120774	121444	663334	529795	0	0
user.active.is_true.order_id.limit4	754452	625860	-128592	-17.04	110466	111016	643986	514844	0	0
user.age.between.limit3	1212049	1014008	-198041	-16.34	290164	293743	921885	720265	0	0
user.age.in.limit3	1293530	1081191	-212339	-16.42	389358	390716	904172	690475	0	0
user.age.not_between.limit3	1127145	947685	-179460	-15.92	277137	280045	850008	667640	0	0
user.age.not_in.limit3	1251246	1048087	-203159	-16.24	391078	392219	860168	655868	0	0
user.age.order_only.asc.limit2.cold_query	756143	631105	-125038	-16.54	85403	85588	670740	545517	0	0
user.age.order_only.asc.limit2.warm_after_update	565007	433048	-131959	-23.36	12393	12350	552614	420698	1	1
user.age.order_only.asc.limit3	764090	638834	-125256	-16.39	85403	85588	678687	553246	0	0
user.age.order_only.desc.limit3	769404	645295	-124109	-16.13	85436	85627	683968	559668	0	0
user.age.plus_one.alias_order.asc.limit3	941411	774421	-166990	-17.74	120719	121121	820692	653300	0	0
user.age.range.order.limit3	1222142	1024241	-197901	-16.19	297234	300248	924908	723993	0	0
user.age_div3_round.direct_order.desc.limit3	1004621	846565	-158056	-15.73	106824	106964	897797	739601	0	0
user.age_plus_rank.alias_order.asc.limit3	948555	780448	-168107	-17.72	119690	120111	828865	660337	0	0
user.age_plus_rank.direct_order.asc.limit3	948559	785174	-163385	-17.22	124210	125091	824349	660083	0	0
user.count.active_true	873242	783994	-89248	-10.22	152371	153647	720871	630347	0	0
user.describe	40204	40149	-55	-0.14	25658	25603	14546	14546	0	0
user.explain.lower.order.limit1	565507	565604	97	0.02	100298	100918	465209	464686	0	0
user.explain_execution.lower.order.limit1	794752	793543	-1209	-0.15	101551	102256	693201	691287	0	0
user.explain_json.lower.order.limit1	614392	615761	1369	0.22	101396	101998	512996	513763	0	0
user.field_between.rank_age_age.limit3	1147010	971794	-175216	-15.28	289314	290383	857696	681411	0	0
