scenario_key	family	runs	baseline	current	delta	delta_pct	compile_delta	execute_delta	sql
user.pk.key_only.asc.limit1	scalar_projection	1	249518	249662	144	0.05771126732339951	107	37	SELECT id FROM PerfAuditUser ORDER BY id ASC LIMIT 1
user.pk.order_only.asc.limit1	scalar_projection	1	378820	378510	-310	-0.08183306055646482	102	-412	SELECT id, name FROM PerfAuditUser ORDER BY id ASC LIMIT 1
user.pk.order_only.asc.limit2	scalar_projection	1	423424	422821	-603	-0.14241044437726724	102	-705	SELECT id, name FROM PerfAuditUser ORDER BY id ASC LIMIT 2
user.pk.order_only.desc.limit2	scalar_projection	1	418734	418131	-603	-0.14400550229978937	102	-705	SELECT id, name FROM PerfAuditUser ORDER BY id DESC LIMIT 2
user.pk.range.asc.limit2	primary_range	1	573190	573062	-128	-0.022331164186395438	134	-262	SELECT id, name FROM PerfAuditUser WHERE id >= 2 ORDER BY id ASC LIMIT 2
user.name.eq.order_id.limit1	scalar_projection	1	471477	471861	384	0.08144617871073244	93	291	SELECT id, name FROM PerfAuditUser WHERE name = 'Alice' ORDER BY id ASC LIMIT 1
user.age.order_only.asc.limit3	scalar_projection	1	638834	637968	-866	-0.1355594724138039	115	-981	SELECT id, age FROM PerfAuditUser ORDER BY age ASC, id ASC LIMIT 3
user.age.order_only.asc.limit2.cold_query	parity_cold_query	1	631105	630784	-321	-0.05086316856941396	93	-414	SELECT id, age FROM PerfAuditUser ORDER BY age ASC, id ASC LIMIT 2
user.age.order_only.asc.limit2.warm_after_update	parity_warm_after_update	1	433048	432431	-617	-0.14247843195211618	23	-640	SELECT id, age FROM PerfAuditUser ORDER BY age ASC, id ASC LIMIT 2
user.age.order_only.desc.limit3	scalar_projection	1	645295	640958	-4337	-0.6720957081644829	115	-4452	SELECT id, age FROM PerfAuditUser ORDER BY age DESC, id DESC LIMIT 3
user.age.range.order.limit3	bounded_range	1	1024241	1024289	48	0.004686397049131991	91	-43	SELECT id, age FROM PerfAuditUser WHERE age >= 24 AND age < 32 ORDER BY age ASC, id ASC LIMIT 3
user.age.between.limit3	between_literal	1	1014008	1014092	84	0.008283958311965982	103	-19	SELECT id, age FROM PerfAuditUser WHERE age BETWEEN 24 AND 31 ORDER BY age ASC, id ASC LIMIT 3
user.age.not_between.limit3	not_between_literal	1	947685	948123	438	0.04621788885547413	127	311	SELECT id, age FROM PerfAuditUser WHERE age NOT BETWEEN 24 AND 31 ORDER BY id ASC LIMIT 3
user.scalar_arithmetic.age_minus_one.limit3	scalar_arithmetic	1	676018	677537	1519	0.2246981589247624	94	1425	SELECT age - 1 FROM PerfAuditUser ORDER BY age ASC, id ASC LIMIT 3
user.scalar_round.age_div3.limit3	scalar_round	1	754992	749752	-5240	-0.6940470892406807	171	-5411	SELECT ROUND(age / 3, 2) FROM PerfAuditUser ORDER BY age ASC, id ASC LIMIT 3
user.name.order_only.asc.limit3	order_only	1	459615	459962	347	0.07549797112800931	105	242	SELECT id, name FROM PerfAuditUser ORDER BY name ASC, id ASC LIMIT 3
user.name.covering_key_only.asc.limit3	covering_order_only	1	427686	428100	414	0.0967999887768129	110	304	SELECT id FROM PerfAuditUser ORDER BY name ASC, id ASC LIMIT 3
user.name.materialized_rank.asc.limit3	materialized_order_only	1	546964	547264	300	0.05484821670164764	105	195	SELECT id, rank FROM PerfAuditUser ORDER BY name ASC, id ASC LIMIT 3
user.name.order_only.desc.limit3	order_only	1	458564	458911	347	0.07567100775464276	105	242	SELECT id, name FROM PerfAuditUser ORDER BY name DESC, id DESC LIMIT 3
user.name.range.limit3	ordered_range	1	1632384	1634119	1735	0.10628626597663296	95	1640	SELECT id, name FROM PerfAuditUser WHERE name >= 'A' AND name < 'd' ORDER BY name ASC, id ASC LIMIT 3
user.name.like_prefix.limit3	prefix_like	1	681909	682356	447	0.06555126857102633	40	407	SELECT id, name FROM PerfAuditUser WHERE name LIKE 'A%' ORDER BY name ASC, id ASC LIMIT 3
