module	function	loc	branch_layers	match_count	match_arms_total	avg_match_arms	if_count	axis_count	domains_mixed	risk
db::data::persisted_row::reader::structural_slot_reader	scalar_slot_value_ref_into_value	440	35	6	18	3.00	29	0	local	medium
model::field_kind_semantics	canonicalize_lossless_field_literal_for_kind	106	17	16	66	4.12	1	0	local	low
db::data::store	visit_journaled_entries_in_bounds	89	14	3	6	2.00	11	0	local	low
db::query::explain::json	write_execution_node_json	88	14	13	26	2.00	1	0	local	low
db::sql::parser::projection	parse_sql_expr_prefix	87	14	0	0	0.00	14	0	local	low
db::query::explain::render	render_text_tree_into	75	14	0	0	0.00	14	0	local	low
db::sql::parser::projection::postfix	try_parse_where_postfix_expr	74	14	0	0	0.00	14	0	local	low
db::query::plan::planner::compare	plan_compare	77	13	1	5	5.00	12	3	access,predicate,plan	low
db::schema::integrity	schema_snapshot_integrity_detail	76	12	0	0	0.00	12	0	local	low
db::query::explain::render	render_text_tree_verbose_node_fields	64	12	0	0	0.00	12	0	local	low
db::executor::projection::covering::pure	try_execute_covering_projection_rows_with_plan_for_canister	284	11	0	0	0.00	11	1	index	low
db::query::plan::covering	covering_index_projection_facts	191	11	1	3	3.00	10	3	access,plan,index	low
db::sql::parser::statement	parse_statement	38	11	0	0	0.00	11	0	local	low
db::index::key::build	bounds_for_prefix_component_range_with_kind	90	10	4	8	2.00	6	0	local	low
types::decimal::compare	cmp_decimal	49	10	0	0	0.00	10	0	local	low
db::executor::aggregate::capability	derive_aggregate_execution_policy	69	9	0	0	0.00	9	1	index	low
db::identity	try_from_entity_fields_with_prefix	68	9	0	0	0.00	9	1	index	low
db::scalar_expr	eval_canonical_scalar_expression_op	58	9	9	28	3.11	0	1	index	low
db::executor::terminal::page::direct_path	execute_direct_data_row_path	177	8	4	12	3.00	4	1	cursor	low
db::query::plan::planner::range::extract	key_item_constraint_for_index_slot	87	8	4	12	3.00	4	2	predicate,index	low
db::query::plan::expr::ast	render_supported_order_function	83	8	7	21	3.00	1	0	local	low
db::query::plan::planner::compare	plan_ordered_compare	80	8	3	10	3.33	5	4	access,predicate,plan,index	medium
db::query::explain::plan	write_logical_explain_json	78	8	8	17	2.12	0	0	local	low
db::data::structural_field::primary_key_component::scalar::encode	encode_scalar_primary_key_component_field_binary_into	76	8	2	19	9.50	6	0	local	low
db::data::structural_field::scalar	decode_scalar_fast_path_binary_numeric_kind	75	8	2	9	4.50	6	0	local	low
db::query::plan::planner::order_select	index_range_from_order_with_accepted_indexes	66	8	0	0	0.00	8	0	local	low
db::data::structural_field::scalar	encode_scalar_fast_path_binary_bytes	59	8	1	18	18.00	7	0	local	low
db::index::scan::raw	visit_raw_entries_in_range	45	8	3	8	2.67	5	1	index	low
db::query::plan::access_choice::evaluator::range	evaluate_ordered_range_compare_candidate	45	8	1	2	2.00	7	2	predicate,index	low
db::query::plan::planner::range::extract	primary_key_range_from_and	34	8	1	3	3.00	7	3	access,predicate,plan	low
db::data::structural_row	name	128	7	2	3	1.50	5	0	local	low
db::diagnostics::integrity	scan_store_forward_integrity	77	7	5	11	2.20	2	0	local	low
db::session::query::execution	execute_prepared	76	7	2	4	2.00	5	0	local	low
db::data::persisted_row::reader::structural_slot_reader	required_cached_value	71	7	1	2	2.00	6	0	local	low
db::query::plan::semantics::grouped_strategy	grouped_plan_strategy	63	7	1	3	3.00	6	1	plan	low
db::data::persisted_row::reader::primary_key	materialize_primary_key_value_from_persisted_kind	61	7	1	18	18.00	6	0	local	low
db::data::persisted_row::reader::primary_key	materialize_primary_key_value_from_kind	43	7	1	18	18.00	6	0	local	low
db::sql::parser::statement	parse_alter_table_alter_column_statement	40	7	0	0	0.00	7	0	local	low
db::executor::pipeline::runtime::retained_slots	compile_retained_slot_layout	36	7	0	0	0.00	7	0	local	low
value::ops::numeric	to_f64_lossless	26	7	1	11	11.00	6	0	local	low
db::query::plan::planner::predicate	plan_predicate	112	6	1	5	5.00	5	4	access,predicate,plan,index	medium
db::executor::mutation::commit_window	read_index_entry_structural	96	6	1	3	3.00	5	1	index	low
db::query::explain::plan	write_access_decision_json	76	6	3	6	2.00	3	0	local	low
db::executor::aggregate::projection	prepare_scalar_projection_strategy	71	6	1	5	5.00	5	0	local	low
db::access::validate	validate_index_range	66	6	0	0	0.00	6	3	access,plan,index	low
db::schema::format	show_indexes_for_schema_info_with_runtime_state	65	6	1	2	2.00	5	1	index	low
db::schema::integrity	schema_snapshot_relation_integrity_detail	61	6	0	0	0.00	6	0	local	low
db::ordered_overlay	visit_ordered_overlay	59	6	3	11	3.67	3	0	local	low
db::data::structural_row	decode_row_field_spans	57	6	1	2	2.00	5	0	local	low
db::sql::parser::statement::select	parse_select_statement	57	6	0	0	0.00	6	0	local	low
db::journal::codec	decode_journal_batch	53	6	0	0	0.00	6	0	local	low
db::executor::explain::descriptor::load	load_modifier_execution_nodes	43	6	0	0	0.00	6	0	local	low
db::executor::pipeline::operators::reducer::runner	run_aggregate_key_fold	40	6	3	8	2.67	3	1	cursor	low
db::schema::integrity	schema_snapshot_index_integrity_detail	38	6	0	0	0.00	6	0	local	low
db::executor::pipeline::runtime::grouped	compile_grouped_row_slot_layout_from_inputs	37	6	0	0	0.00	6	0	local	low
db::access::path	key_items	34	6	3	7	2.33	3	1	index	low
db::query::plan::expr::preview	eval_compare_binary_expr	32	6	1	7	7.00	5	0	local	low
db::executor::pipeline::entrypoints::scalar::hints	resolve	29	6	0	0	0.00	6	0	local	low
db::sql::parser::order_expr	parse_primary_expr	25	6	0	0	0.00	6	0	local	low
db::sql::lowering::select	apply_lowered_base_query_shape_with_schema	23	6	0	0	0.00	6	0	local	low
db::predicate::capability	compare_is_indexable	22	6	0	0	0.00	6	1	predicate	low
db::executor::explain	plan_predicate_pushdown_label	21	6	0	0	0.00	6	1	predicate	low
types::duration	split_duration_digits_and_unit	20	6	0	0	0.00	6	0	local	low
db::sql::lowering::select	lower_select_shape_for_model_only	77	5	1	2	2.00	4	0	local	low
db::commit::marker	decode_commit_marker_payload	72	5	0	0	0.00	5	0	local	low
db::query::builder::scalar_projection	render_scalar_projection_expr_plan_label_with_parent	67	5	2	10	5.00	3	0	local	low
db::query::plan::planner::prefix	index_prefix_from_and	55	5	1	3	3.00	4	4	access,predicate,plan,index	medium
db::query::plan::access_choice::evaluator::ranking	ranked_preference_reason	52	5	0	0	0.00	5	1	predicate	low
db::query::plan::logical_builder	build_logical_plan	51	5	2	4	2.00	3	1	plan	low
db::session::sql::execute::explain	explain_lowered_sql_for_authority	51	5	2	15	7.50	3	1	index	low
db::query::plan::expr::canonicalize::case	maybe_collapse_truth_wrapper_in_bool_context	49	5	1	5	5.00	4	0	local	low
db::ordered_overlay	visit_overlay	48	5	3	4	1.33	2	0	local	low
db::executor::aggregate::runtime::grouped_fold::page_finalize	compare_grouped_page_candidate_order	47	5	2	5	2.50	3	0	local	low
db::query::plan::access_choice::evaluator::prefix	evaluate_prefix_len_for_key_items	47	5	5	16	3.20	0	1	index	low
db::data::structural_field::primary_key_component::scalar::account	decode_account_primary_key_component_binary_bytes	46	5	1	2	2.00	4	0	local	low
db::schema::store	visit_journaled_raw_snapshot_range	45	5	3	6	2.00	2	0	local	low
db::sql::parser::statement	parse_alter_statement	43	5	0	0	0.00	5	0	local	low
db::data::persisted_row::reader::structural_slot_reader	decode_scalar_slot_value_for_slot	41	5	1	5	5.00	4	0	local	low
db::data::persisted_row::reader::structural_slot_reader	try_value_storage_non_null_accepted_scalar_slot_value	41	5	1	5	5.00	4	0	local	low
db::data::structural_field::primary_key_component::encode	encode_primary_key_component_binary_value_bytes	41	5	2	6	3.00	3	0	local	low
