enum	variants	switch_sites	modules_using_enum	switch_density	subsystems	shock_radius	file	risk
PersistedFieldKind	32	670	30	22.33	4	2858.7	crates/icydb-core/src/db/schema/snapshot.rs	Medium
FieldKind	32	792	62	12.77	5	2043.9	crates/icydb-core/src/model/field.rs	Medium
Keyword	59	246	25	9.84	2	1161.1	crates/icydb-core/src/db/sql_shared/types.rs	Medium
ExplainExecutionNodeType	33	84	8	10.50	3	1039.5	crates/icydb-core/src/db/query/explain/execution.rs	Medium
ScalarType	21	68	3	22.67	2	952.0	crates/icydb-core/src/db/schema/types.rs	Medium
Value	24	2163	398	5.43	7	913.0	crates/icydb-core/src/value/mod.rs	Medium
ExecutablePredicate	13	135	5	27.00	2	702.0	crates/icydb-core/src/db/predicate/resolved.rs	Medium
SqlScalarFunction	37	112	7	16.00	1	592.0	crates/icydb-core/src/db/sql/parser/model.rs	Medium
ScalarCodec	14	102	8	12.75	3	535.5	crates/icydb-core/src/model/field.rs	Medium
PrimaryKeyKind	11	48	1	48.00	1	528.0	crates/icydb-core/src/db/key_taxonomy.rs	Medium
ExplainHashField	11	39	1	39.00	1	429.0	crates/icydb-core/src/db/query/fingerprint/hash_sections/profile.rs	Medium
ValueTag	24	35	4	8.75	2	420.0	crates/icydb-core/src/value/tag.rs	Medium
TokenKind	21	203	21	9.67	2	406.0	crates/icydb-core/src/db/sql_shared/types.rs	Medium
ScalarIndexExpressionOp	8	48	3	16.00	3	384.0	crates/icydb-core/src/db/scalar_expr.rs	Medium
CompareOp	11	421	49	8.59	4	378.0	crates/icydb-core/src/db/predicate/model.rs	Medium
SqlDdlBindError	30	49	4	12.25	1	367.5	crates/icydb-core/src/db/sql/ddl/mod.rs	Medium
AccessChoiceSelectedReason	21	42	5	8.40	2	352.8	crates/icydb-core/src/db/query/plan/access_choice/model.rs	Medium
ExplainPredicate	15	70	6	11.67	2	350.0	crates/icydb-core/src/db/query/explain/plan.rs	Medium
PrimaryKeyComponent	10	190	23	8.26	4	330.4	crates/icydb-core/src/db/key_taxonomy.rs	Medium
Function	38	151	53	2.85	3	324.8	crates/icydb-core/src/db/query/plan/expr/ast.rs	Medium
