module	file	loc	fanout	branch_sites_total	domains	risk
db::executor::mutation::save_validation	crates/icydb-core/src/db/executor/mutation/save_validation.rs	706	7	38	1	Low
db::session::sql::execute::write::insert	crates/icydb-core/src/db/session/sql/execute/write/insert.rs	393	7	24	1	Low
db::executor::authority::entity	crates/icydb-core/src/db/executor/authority/entity.rs	316	7	3	1	Low
db::schema::reconcile	crates/icydb-core/src/db/schema/reconcile.rs	480	6	24	1	Low
traits	crates/icydb-core/src/traits/mod.rs	966	6	18	1	Medium
db::commit::prepare	crates/icydb-core/src/db/commit/prepare.rs	579	6	16	1	Low
db::data::persisted_row::codec::by_kind	crates/icydb-core/src/db/data/persisted_row/codec/by_kind.rs	560	6	10	1	Low
db::executor::mutation::save::structural	crates/icydb-core/src/db/executor/mutation/save/structural.rs	450	6	10	1	Low
db::session	crates/icydb-core/src/db/session/mod.rs	670	6	7	1	Low
db::executor::mutation::save	crates/icydb-core/src/db/executor/mutation/save/mod.rs	174	6	6	1	Low
db::session::sql::execute::write::update	crates/icydb-core/src/db/session/sql/execute/write/update.rs	176	6	4	1	Low
db::executor::mutation::save::typed	crates/icydb-core/src/db/executor/mutation/save/typed.rs	183	6	1	1	Low
db::data::persisted_row::contract	crates/icydb-core/src/db/data/persisted_row/contract.rs	871	5	47	1	Low
db::index::key::build	crates/icydb-core/src/db/index/key/build.rs	1142	5	46	1	Medium
db::data::structural_field::scalar	crates/icydb-core/src/db/data/structural_field/scalar.rs	529	5	41	1	Low
