Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
"export ""canister_query query_one_fluent""",35,0.0014840966324999353,640600,27.163208650841675
code[5629],9,0.00038162484835712625,640565,27.161724554209172
code[7],15917,0.674924745700042,639122,27.100537370189247
code[12],12943,0.5488189346984761,368119,15.609261950264106
code[5],17202,0.729412293493254,257940,10.937368153915237
code[388],1143,0.04846635574135503,213550,9.055109596296033
code[25],8944,0.37925029374512637,212407,9.006643240554679
code[24],8892,0.3770453501768407,192058,8.143789458419217
data[0],181586,7.699747745975236,181586,7.699747745975236
table[0],6,0.0002544165655714175,176720,7.493415911296816
elem[0],1423,0.06033912880135451,176714,7.493161494731244
code[74],4971,0.21078412457591938,170674,7.237048818722684
code[9],14255,0.6044513570367593,164872,6.991027999815123
code[39],7182,0.3045366289889867,124165,5.264938810695842
code[303],1448,0.06139919782456875,119901,5.084133438096421
code[17],10390,0.44056468604783794,115026,4.877419978569645
code[10],13140,0.5571722786014043,108137,4.585307358532729
code[440],1000,0.04240276092856958,93640,3.970594533351256
code[1],32386,1.3732558154326546,92618,3.927258911682258
code[1154],378,0.016028243630999302,88924,3.7706231128121215
code[27],8765,0.3716601995389124,88546,3.754594869181122
code[0],33635,1.4262168638324377,73360,3.1106665417198647
code[28],8765,0.3716601995389124,69256,2.936645610869015
code[154],2534,0.10744859619299532,61574,2.6109076014157435
code[450],876,0.037144818573426955,59040,2.5034590052227483
code[3],20379,0.8641258649633196,57277,2.42870293770568
code[2084],157,0.006657233465785424,53366,2.2628657397140444
code[4],17855,0.7571012963796099,53209,2.256208506248259
code[26],8981,0.3808191958994834,49933,2.117297061446265
code[1236],311,0.013187258648785139,45118,1.9131277675752023
code[528],773,0.03277733419778429,44807,1.8999405089264172
code[14],13025,0.5522959610946188,44499,1.886880458560418
code[2],27593,1.1700193823020206,44034,1.8671631747286328
code[41],6701,0.2841409009823448,43816,1.857919372846205
code[113],3347,0.1419220408279224,42349,1.7957145225639932
code[404],1039,0.044056468604783794,38712,1.6414956810667858
code[70],5409,0.22935653386263288,37673,1.597439212462002
code[114],3175,0.1346287659482084,36870,1.5633897954363603
code[31],8003,0.3393492957113423,35390,1.5006337092620776
code[6],15294,0.6485078256415432,34436,1.4601814753362221
