Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
"export ""canister_query query_one_simple_fluent""",42,0.0017533496283524983,635890,26.54613083745405
code[5734],9,0.0003757177775041068,635848,26.5443774878257
code[13],12331,0.514775101600349,635839,26.544001770048197
code[10],12943,0.5403239104706282,368119,15.3676502818927
code[398],1143,0.04771615774302156,213550,8.914947931778002
code[25],8944,0.3733799779996368,212407,8.86723177403498
code[24],8892,0.3712091641740575,192058,8.017733879098193
data[0],181722,7.586242884844588,181722,7.586242884844588
code[31],8043,0.3357664538295035,180117,7.519239881189689
code[76],4972,0.20756319886115768,169006,7.055395411651008
code[7],14258,0.5952204524059505,164923,6.884944779923312
table[0],6,0.0002504785183360712,150927,6.300661889484703
elem[0],1444,0.0602818300795478,150921,6.300411410966367
code[40],7182,0.2998227864482772,124165,5.1834442048663805
code[313],1448,0.060448815758438516,119902,5.005479217588602
code[16],10390,0.43374530091863,115026,4.801923675020821
code[8],13140,0.548547955155996,108137,4.514332589551288
code[452],1000,0.041746419722678535,93640,3.909134742831618
code[1],32386,1.351999549138667,92618,3.866469901875041
code[1187],378,0.015780146655172484,88924,3.712258627419466
code[27],8765,0.3659073688692773,88546,3.696478480764293
code[0],33635,1.4041408273722924,73360,3.062517350855697
code[28],8765,0.3659073688692773,69256,2.8911900443138245
code[158],2534,0.1057854275772674,61572,2.570410555164763
code[463],876,0.0365698636770664,59038,2.464625127587495
code[3],20378,0.850708541108743,57275,2.3910261896164133
code[2130],157,0.0065541878964605295,53466,2.232014076892731
code[4],17859,0.7455493098273159,53309,2.2254598889962702
code[26],8981,0.3749245955293759,49933,2.084523976012507
code[1268],311,0.012983136533753024,44600,1.8618903196314627
code[12],13026,0.5437888633076106,44500,1.8577156776591948
code[544],773,0.03226998244563051,44289,1.8489071830977095
code[42],6701,0.27974275856166886,43816,1.8291611265688827
code[2],27593,1.1519089594078686,43516,1.816637200652079
code[115],3347,0.13972526681180505,42349,1.7679191288357134
code[416],1039,0.04337453009186299,38712,1.6160874003043315
code[72],5409,0.2258063842799682,37673,1.5727128702124684
code[116],3175,0.13254488261950434,36870,1.5391904951751574
code[30],8003,0.3340965970405963,35390,1.4774057939855934
code[5],15294,0.6384697432386455,33509,1.398880778487235
