 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼────────────────────────────────────────────────────────────────────────────────────────────
        1106998 ┊     37.74% ┊ export "canister_query query_one_sql"
        1106966 ┊     37.74% ┊   ⤷ code[6873]
        1106956 ┊     37.74% ┊       ⤷ code[164]
        1103175 ┊     37.61% ┊           ⤷ code[5]
         195563 ┊      6.67% ┊               ⤷ code[4]
          45583 ┊      1.55% ┊                   ⤷ code[2]
           3051 ┊      0.10% ┊                       ⤷ code[638]
           1750 ┊      0.06% ┊                           ⤷ code[321]
            234 ┊      0.01% ┊                           ⤷ code[1802]
            170 ┊      0.01% ┊                           ⤷ code[2386]
            154 ┊      0.01% ┊                           ⤷ code[2666]
           1879 ┊      0.06% ┊                       ⤷ code[335]
            287 ┊      0.01% ┊                           ⤷ code[1696]
           1803 ┊      0.06% ┊                       ⤷ code[291]
           1487 ┊      0.05% ┊                       ⤷ code[544]
            343 ┊      0.01% ┊                           ⤷ code[1442]
             18 ┊      0.00% ┊                               ⤷ code[6322]
             81 ┊      0.00% ┊                           ⤷ code[3623]
             81 ┊      0.00% ┊                           ⤷ code[3624]
            885 ┊      0.03% ┊                       ⤷ code[1532]
            566 ┊      0.02% ┊                           ⤷ code[891]
            834 ┊      0.03% ┊                       ⤷ code[1055]
            366 ┊      0.01% ┊                           ⤷ code[1261]
            600 ┊      0.02% ┊                       ⤷ code[845]
            510 ┊      0.02% ┊                       ⤷ code[988]
            402 ┊      0.01% ┊                       ⤷ code[1202]
            307 ┊      0.01% ┊                       ⤷ code[1608]
            267 ┊      0.01% ┊                       ⤷ code[1860]
            253 ┊      0.01% ┊                       ⤷ code[1788]
            236 ┊      0.01% ┊                       ⤷ code[2142]
            196 ┊      0.01% ┊                       ⤷ code[2270]
            194 ┊      0.01% ┊                       ⤷ code[2269]
            185 ┊      0.01% ┊                       ⤷ code[2230]
            143 ┊      0.00% ┊                       ⤷ code[2616]
            143 ┊      0.00% ┊                       ⤷ code[2663]
            132 ┊      0.00% ┊                       ⤷ code[2791]
            131 ┊      0.00% ┊                       ⤷ code[2790]
            118 ┊      0.00% ┊                       ⤷ code[2935]
            116 ┊      0.00% ┊                       ⤷ code[2967]
            106 ┊      0.00% ┊                       ⤷ code[3106]
             99 ┊      0.00% ┊                       ⤷ code[3525]
             85 ┊      0.00% ┊                       ⤷ code[3524]
             81 ┊      0.00% ┊                       ⤷ code[3760]
