Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
"export ""canister_query query_one_sql""",32,0.0010853771210643207,1115258,37.82735991512351
code[6876],10,0.00033918035033260024,1115226,37.826274538002444
code[168],2741,0.09296933402616572,1115216,37.825935357652114
code[5],22655,0.7684130836785059,1111435,37.69769126719136
code[15],12943,0.43900112743548453,368111,12.485601794128382
code[8],17653,0.5987550724421392,256238,8.691089460852483
data[0],240986,8.1737715905252,240986,8.1737715905252
code[490],1143,0.03876831404301621,213550,7.2431963813526785
code[33],8944,0.3033629053374777,212407,7.204428067309662
code[4],25498,0.8648420572780641,202054,6.853274650610321
code[32],8892,0.30159916751574817,192058,6.514229972417854
code[88],4974,0.16870830625543537,170825,5.794048334556644
table[0],6,0.00020350821019956015,158255,5.3676986341885655
elem[0],1691,0.0573553972412427,158249,5.367495125978365
code[48],7182,0.2435993276088735,124165,4.211432819904731
code[301],1844,0.0625448566013315,122172,4.143834176083444
code[21],10390,0.3524083839955716,115026,3.901455897735768
code[151],3158,0.10711315463503515,99749,3.3832900765326546
code[20],10859,0.3683159424261706,93318,3.165163193233759
code[1435],378,0.01282101724257229,88924,3.0161273472976142
code[36],8765,0.29729157706652415,88546,3.003306330055042
code[535],1049,0.035580018749889766,81256,2.7560438546625763
code[2],31012,1.05186610245146,80185,2.719717639141955
code[0],34152,1.1583687324558964,73814,2.5036258379450556
code[37],8765,0.29729157706652415,69256,2.3490274342634563
code[18],11669,0.39578955080311123,69211,2.3475011226869595
code[19],11541,0.39144804231885394,66971,2.271524724212457
code[35],8981,0.3046178726337083,49933,1.6936292433157727
code[16],12874,0.4366607830181895,48455,1.6434983875366145
code[1],32375,1.0980963842017932,47777,1.6205019597840642
code[6],18189,0.6169351392199666,47540,1.6124633854811814
code[12],13379,0.4537893907099859,45920,1.5575161687273003
code[1524],311,0.010548508895343867,45200,1.533095183503353
code[661],773,0.026218641080710002,44889,1.5225466746080094
code[3],27594,0.9359342587077771,44116,1.4963280335272993
code[52],6701,0.22728475275787544,43816,1.4861526230173212
code[137],3347,0.1135236632563213,42428,1.4390743903911563
code[2214],193,0.006546180761419185,42312,1.4351398983272983
code[7],18713,0.6347081895773948,42109,1.4282545372155464
code[515],1039,0.03524083839955717,38791,1.3157144969751895
