 Shallow Bytes │ Shallow % │ Item
───────────────┼───────────┼─────────────────────
        185802 ┊     7.67% ┊ data[0]
         33635 ┊     1.39% ┊ code[0]
         32386 ┊     1.34% ┊ code[1]
         27593 ┊     1.14% ┊ code[2]
         20378 ┊     0.84% ┊ code[3]
         17787 ┊     0.73% ┊ code[4]
         15294 ┊     0.63% ┊ code[5]
         14256 ┊     0.59% ┊ code[7]
         14213 ┊     0.59% ┊ code[6]
         13140 ┊     0.54% ┊ code[8]
         13055 ┊     0.54% ┊ code[9]
         13026 ┊     0.54% ┊ code[12]
         12943 ┊     0.53% ┊ code[10]
         12827 ┊     0.53% ┊ code[13]
         12495 ┊     0.52% ┊ code[11]
         11074 ┊     0.46% ┊ code[14]
         10390 ┊     0.43% ┊ code[16]
         10356 ┊     0.43% ┊ code[15]
         10095 ┊     0.42% ┊ code[17]
          9894 ┊     0.41% ┊ code[18]
          9587 ┊     0.40% ┊ code[19]
          9209 ┊     0.38% ┊ code[20]
          9062 ┊     0.37% ┊ code[23]
          8981 ┊     0.37% ┊ code[26]
          8944 ┊     0.37% ┊ code[25]
          8892 ┊     0.37% ┊ code[24]
          8765 ┊     0.36% ┊ code[27]
          8765 ┊     0.36% ┊ code[28]
          8739 ┊     0.36% ┊ code[22]
          8690 ┊     0.36% ┊ code[21]
          8626 ┊     0.36% ┊ code[29]
          8043 ┊     0.33% ┊ code[32]
          8003 ┊     0.33% ┊ code[31]
          7950 ┊     0.33% ┊ code[33]
          7841 ┊     0.32% ┊ code[30]
          7746 ┊     0.32% ┊ code[34]
          7668 ┊     0.32% ┊ code[35]
          7182 ┊     0.30% ┊ code[41]
          7143 ┊     0.29% ┊ code[42]
          7054 ┊     0.29% ┊ code[39]
       1763886 ┊    72.85% ┊ ... and 5851 more.
       2421415 ┊   100.00% ┊ Σ [5891 Total Rows]
