Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
"export ""canister_query __icydb_metrics""",34,0.011832383842531852,129942,45.22128297841982
code[954],9,0.0031321016053760787,129908,45.20945059457729
code[0],22629,7.875147469783919,125346,43.6218230919411
table[0],6,0.0020880677369173855,91222,31.746285849512958
elem[0],578,0.20115052532304148,91216,31.74419778177604
code[1],16077,5.594977501070135,38586,13.428363616115707
data[0],35538,12.367625205761675,35538,12.367625205761675
code[14],1851,0.6441688968390135,17267,6.009110935558749
code[2],8587,2.988372942818265,12643,4.399906732974418
code[28],1432,0.4983521665442827,11925,4.150034627123303
code[118],424,0.1475567867421619,9628,3.350652695173431
code[4],4793,1.668018110507505,9204,3.203095908431269
code[3],5390,1.8757808503307847,7263,2.527605995538495
code[18],1788,0.6222441856013808,6541,2.2763418445294366
code[6],4446,1.5472581930557827,6233,2.1691543673676774
code[17],1771,0.6163279936801149,6018,2.094331940128138
code[27],1308,0.45519876664799,5212,1.8138348408022358
code[7],4044,1.4073576546823179,5153,1.793302174722548
code[5],4582,1.5945877284259102,4582,1.5945877284259102
code[862],18,0.006264203210752157,4424,1.5396019446870857
code[13],2141,0.7450921707900204,3727,1.2970380759151827
code[9],3147,1.0951915280131688,3638,1.266065071150908
code[290],147,0.051157659554475945,3566,1.2410082583078996
code[21],1299,0.45206666504261395,3419,1.1898505987534236
code[61],683,0.23769171071909573,3304,1.149829300462507
code[8],3303,1.1494812891730206,3303,1.1494812891730206
code[11],2495,0.8682881672681463,3193,1.1112000473295354
code[46],866,0.301377776695076,3085,1.0736148280650224
code[22],1583,0.5509018712567035,2731,0.9504188315868967
code[12],2243,0.780589322317616,2674,0.9305821880861814
code[29],1241,0.4318820102524126,2621,0.9121375897434112
code[10],2533,0.881512596268623,2533,0.881512596268623
code[20],1543,0.5369814196772543,2226,0.7746731303963501
code[16],1602,0.557514085756942,2028,0.7057668950780763
code[44],948,0.3299147024329469,1936,0.6737498564453431
code[25],1299,0.45206666504261395,1848,0.6431248629705548
code[33],1233,0.4290979199365228,1846,0.6424288403915823
code[15],1773,0.6170240162590874,1773,0.6170240162590874
code[19],1526,0.5310652277559884,1730,0.6020595308111795
code[138],361,0.12563207550452937,1688,0.5874430566527579
