 Shallow Bytes │ Shallow % │ Item
───────────────┼───────────┼─────────────────────
        150322 ┊     6.56% ┊ data[0]
         32905 ┊     1.44% ┊ code[0]
         32353 ┊     1.41% ┊ code[1]
         27593 ┊     1.20% ┊ code[2]
         20231 ┊     0.88% ┊ code[3]
         17758 ┊     0.77% ┊ code[4]
         17202 ┊     0.75% ┊ code[5]
         15363 ┊     0.67% ┊ code[8]
         15294 ┊     0.67% ┊ code[6]
         14247 ┊     0.62% ┊ code[9]
         14213 ┊     0.62% ┊ code[7]
         12999 ┊     0.57% ┊ code[11]
         12943 ┊     0.56% ┊ code[10]
         12725 ┊     0.56% ┊ code[13]
         12649 ┊     0.55% ┊ code[14]
         12354 ┊     0.54% ┊ code[12]
         11074 ┊     0.48% ┊ code[15]
         10390 ┊     0.45% ┊ code[17]
         10347 ┊     0.45% ┊ code[16]
         10095 ┊     0.44% ┊ code[18]
          9587 ┊     0.42% ┊ code[19]
          9209 ┊     0.40% ┊ code[20]
          9062 ┊     0.40% ┊ code[23]
          9037 ┊     0.39% ┊ code[21]
          8981 ┊     0.39% ┊ code[26]
          8944 ┊     0.39% ┊ code[25]
          8892 ┊     0.39% ┊ code[24]
          8765 ┊     0.38% ┊ code[27]
          8765 ┊     0.38% ┊ code[28]
          8734 ┊     0.38% ┊ code[22]
          8600 ┊     0.38% ┊ code[29]
          8003 ┊     0.35% ┊ code[31]
          7875 ┊     0.34% ┊ code[30]
          7625 ┊     0.33% ┊ code[32]
          7221 ┊     0.31% ┊ code[34]
          7182 ┊     0.31% ┊ code[38]
          7143 ┊     0.31% ┊ code[39]
          7003 ┊     0.31% ┊ code[36]
          6860 ┊     0.30% ┊ code[37]
          6783 ┊     0.30% ┊ code[35]
       1665144 ┊    72.64% ┊ ... and 5689 more.
       2292472 ┊   100.00% ┊ Σ [5729 Total Rows]
