 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼──────────────────────────────────────────────────────────────────────────────────────────────
         637715 ┊     27.60% ┊ export "canister_query query_one_fluent"
         637680 ┊     27.60% ┊   ⤷ code[5590]
         636237 ┊     27.53% ┊       ⤷ code[8]
         164872 ┊      7.13% ┊           ⤷ code[9]
          26657 ┊      1.15% ┊               ⤷ code[84]
           8952 ┊      0.39% ┊                   ⤷ code[3804]
           8894 ┊      0.38% ┊                       ⤷ code[270]
           4728 ┊      0.20% ┊                           ⤷ code[476]
           3301 ┊      0.14% ┊                               ⤷ code[1911]
           3136 ┊      0.14% ┊                                   ⤷ code[278]
           1829 ┊      0.08% ┊                                       ⤷ code[245]
            250 ┊      0.01% ┊                                           ⤷ code[1352]
            155 ┊      0.01% ┊                                           ⤷ code[1881]
             29 ┊      0.00% ┊                                       ⤷ code[4474]
            306 ┊      0.01% ┊                               ⤷ code[3879]
            249 ┊      0.01% ┊                                   ⤷ code[1563]
             17 ┊      0.00% ┊                                       ⤷ code[5187]
            179 ┊      0.01% ┊                               ⤷ code[1880]
            123 ┊      0.01% ┊                               ⤷ code[2330]
           1100 ┊      0.05% ┊                           ⤷ code[449]
            201 ┊      0.01% ┊                               ⤷ code[1671]
            951 ┊      0.04% ┊                           ⤷ code[454]
            114 ┊      0.00% ┊                               ⤷ code[2415]
            293 ┊      0.01% ┊                           ⤷ code[1184]
            237 ┊      0.01% ┊                           ⤷ code[1552]
             22 ┊      0.00% ┊                           ⤷ code[4824]
             15 ┊      0.00% ┊                           ⤷ code[5492]
           4601 ┊      0.20% ┊                   ⤷ code[141]
            701 ┊      0.03% ┊                       ⤷ code[2615]
            604 ┊      0.03% ┊                           ⤷ code[902]
            185 ┊      0.01% ┊                               ⤷ code[1715]
            575 ┊      0.02% ┊                       ⤷ code[768]
            527 ┊      0.02% ┊                       ⤷ code[640]
            163 ┊      0.01% ┊                       ⤷ code[1913]
             80 ┊      0.00% ┊                       ⤷ code[2992]
           3542 ┊      0.15% ┊                   ⤷ code[213]
           1583 ┊      0.07% ┊                       ⤷ code[350]
            301 ┊      0.01% ┊                           ⤷ code[1279]
             98 ┊      0.00% ┊                           ⤷ code[2702]
             44 ┊      0.00% ┊                       ⤷ code[4315]
           1256 ┊      0.05% ┊                   ⤷ code[703]
            369 ┊      0.02% ┊                       ⤷ code[1351]
             70 ┊      0.00% ┊                           ⤷ code[3308]
            309 ┊      0.01% ┊                       ⤷ code[1493]
             70 ┊      0.00% ┊                           ⤷ code[3309]
           1026 ┊      0.04% ┊                   ⤷ code[491]
            226 ┊      0.01% ┊                       ⤷ code[1492]
            864 ┊      0.04% ┊                   ⤷ code[678]
            226 ┊      0.01% ┊                       ⤷ code[1506]
            752 ┊      0.03% ┊                   ⤷ code[498]
            469 ┊      0.02% ┊                   ⤷ code[1370]
            187 ┊      0.01% ┊                       ⤷ code[1716]
            181 ┊      0.01% ┊                   ⤷ code[1785]
            111 ┊      0.00% ┊                   ⤷ code[2570]
            111 ┊      0.00% ┊                   ⤷ code[2571]
            110 ┊      0.00% ┊                   ⤷ code[2567]
            110 ┊      0.00% ┊                   ⤷ code[2568]
            110 ┊      0.00% ┊                   ⤷ code[2569]
             47 ┊      0.00% ┊                   ⤷ code[4035]
             39 ┊      0.00% ┊                   ⤷ code[4558]
             37 ┊      0.00% ┊                   ⤷ code[4540]
