 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼──────────────────────────────────────────────────────────────────────────────────────────────
         635843 ┊     27.71% ┊ export "canister_query query_one_simple_fluent"
         635801 ┊     27.70% ┊   ⤷ code[5574]
         634358 ┊     27.64% ┊       ⤷ code[8]
         164684 ┊      7.18% ┊           ⤷ code[9]
          26657 ┊      1.16% ┊               ⤷ code[84]
           8952 ┊      0.39% ┊                   ⤷ code[3787]
           8894 ┊      0.39% ┊                       ⤷ code[270]
           4728 ┊      0.21% ┊                           ⤷ code[474]
           3301 ┊      0.14% ┊                               ⤷ code[1903]
           3136 ┊      0.14% ┊                                   ⤷ code[277]
           1829 ┊      0.08% ┊                                       ⤷ code[245]
            250 ┊      0.01% ┊                                           ⤷ code[1346]
            155 ┊      0.01% ┊                                           ⤷ code[1875]
             29 ┊      0.00% ┊                                       ⤷ code[4451]
            306 ┊      0.01% ┊                               ⤷ code[3860]
            249 ┊      0.01% ┊                                   ⤷ code[1558]
             17 ┊      0.00% ┊                                       ⤷ code[5172]
            179 ┊      0.01% ┊                               ⤷ code[1874]
            123 ┊      0.01% ┊                               ⤷ code[2322]
           1100 ┊      0.05% ┊                           ⤷ code[448]
            201 ┊      0.01% ┊                               ⤷ code[1665]
            951 ┊      0.04% ┊                           ⤷ code[453]
            114 ┊      0.00% ┊                               ⤷ code[2408]
            293 ┊      0.01% ┊                           ⤷ code[1180]
            237 ┊      0.01% ┊                           ⤷ code[1547]
             22 ┊      0.00% ┊                           ⤷ code[4800]
             15 ┊      0.00% ┊                           ⤷ code[5473]
           4601 ┊      0.20% ┊                   ⤷ code[141]
            701 ┊      0.03% ┊                       ⤷ code[2606]
            604 ┊      0.03% ┊                           ⤷ code[899]
            185 ┊      0.01% ┊                               ⤷ code[1709]
            575 ┊      0.03% ┊                       ⤷ code[763]
            527 ┊      0.02% ┊                       ⤷ code[638]
            163 ┊      0.01% ┊                       ⤷ code[1906]
             80 ┊      0.00% ┊                       ⤷ code[2983]
           3542 ┊      0.15% ┊                   ⤷ code[212]
           1583 ┊      0.07% ┊                       ⤷ code[349]
            301 ┊      0.01% ┊                           ⤷ code[1274]
             98 ┊      0.00% ┊                           ⤷ code[2694]
             44 ┊      0.00% ┊                       ⤷ code[4293]
           1256 ┊      0.05% ┊                   ⤷ code[700]
            369 ┊      0.02% ┊                       ⤷ code[1345]
             70 ┊      0.00% ┊                           ⤷ code[3295]
            309 ┊      0.01% ┊                       ⤷ code[1487]
             70 ┊      0.00% ┊                           ⤷ code[3296]
           1026 ┊      0.04% ┊                   ⤷ code[489]
            226 ┊      0.01% ┊                       ⤷ code[1488]
            864 ┊      0.04% ┊                   ⤷ code[675]
            226 ┊      0.01% ┊                       ⤷ code[1502]
            752 ┊      0.03% ┊                   ⤷ code[496]
            469 ┊      0.02% ┊                   ⤷ code[1364]
            187 ┊      0.01% ┊                       ⤷ code[1710]
            181 ┊      0.01% ┊                   ⤷ code[1780]
            111 ┊      0.00% ┊                   ⤷ code[2562]
            111 ┊      0.00% ┊                   ⤷ code[2563]
            110 ┊      0.00% ┊                   ⤷ code[2559]
            110 ┊      0.00% ┊                   ⤷ code[2560]
            110 ┊      0.00% ┊                   ⤷ code[2561]
             47 ┊      0.00% ┊                   ⤷ code[4016]
             39 ┊      0.00% ┊                   ⤷ code[4537]
             37 ┊      0.00% ┊                   ⤷ code[4518]
             37 ┊      0.00% ┊                   ⤷ code[4535]
             16 ┊      0.00% ┊                   ⤷ code[5464]
          22957 ┊      1.00% ┊               ⤷ code[21]
           3923 ┊      0.17% ┊                   ⤷ code[874]
           3544 ┊      0.15% ┊                       ⤷ code[92]
            210 ┊      0.01% ┊                           ⤷ code[1456]
