 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼────────────────────────────────────────────────────────────────────────────────────────
        1114405 ┊     39.20% ┊ export "canister_query query_one_sql"
        1114373 ┊     39.20% ┊   ⤷ code[6780]
        1112930 ┊     39.15% ┊       ⤷ code[6]
         195772 ┊      6.89% ┊           ⤷ code[4]
          45506 ┊      1.60% ┊               ⤷ code[2]
           3043 ┊      0.11% ┊                   ⤷ code[627]
           1742 ┊      0.06% ┊                       ⤷ code[314]
            234 ┊      0.01% ┊                       ⤷ code[1760]
            170 ┊      0.01% ┊                       ⤷ code[2338]
            154 ┊      0.01% ┊                       ⤷ code[2611]
           1871 ┊      0.07% ┊                   ⤷ code[331]
            287 ┊      0.01% ┊                       ⤷ code[1657]
           1803 ┊      0.06% ┊                   ⤷ code[283]
           1497 ┊      0.05% ┊                   ⤷ code[531]
            343 ┊      0.01% ┊                       ⤷ code[1403]
             18 ┊      0.00% ┊                           ⤷ code[6236]
             86 ┊      0.00% ┊                       ⤷ code[3493]
             86 ┊      0.00% ┊                       ⤷ code[3494]
            865 ┊      0.03% ┊                   ⤷ code[1583]
            571 ┊      0.02% ┊                       ⤷ code[868]
            846 ┊      0.03% ┊                   ⤷ code[1015]
            366 ┊      0.01% ┊                       ⤷ code[1228]
            608 ┊      0.02% ┊                   ⤷ code[820]
            510 ┊      0.02% ┊                   ⤷ code[960]
            402 ┊      0.01% ┊                   ⤷ code[1167]
            311 ┊      0.01% ┊                   ⤷ code[1561]
            267 ┊      0.01% ┊                   ⤷ code[1820]
            253 ┊      0.01% ┊                   ⤷ code[1747]
            241 ┊      0.01% ┊                   ⤷ code[2068]
            196 ┊      0.01% ┊                   ⤷ code[2224]
            194 ┊      0.01% ┊                   ⤷ code[2223]
            185 ┊      0.01% ┊                   ⤷ code[2186]
            143 ┊      0.01% ┊                   ⤷ code[2562]
            143 ┊      0.01% ┊                   ⤷ code[2608]
            132 ┊      0.00% ┊                   ⤷ code[2734]
            131 ┊      0.00% ┊                   ⤷ code[2733]
            118 ┊      0.00% ┊                   ⤷ code[2876]
            116 ┊      0.00% ┊                   ⤷ code[2909]
            106 ┊      0.00% ┊                   ⤷ code[3042]
             99 ┊      0.00% ┊                   ⤷ code[3451]
             85 ┊      0.00% ┊                   ⤷ code[3450]
             81 ┊      0.00% ┊                   ⤷ code[3685]
             80 ┊      0.00% ┊                   ⤷ code[3553]
             76 ┊      0.00% ┊                   ⤷ code[3504]
             74 ┊      0.00% ┊                   ⤷ code[3762]
             45 ┊      0.00% ┊                   ⤷ code[5004]
             45 ┊      0.00% ┊                   ⤷ code[5005]
             43 ┊      0.00% ┊                   ⤷ code[5061]
             39 ┊      0.00% ┊                   ⤷ code[5361]
             34 ┊      0.00% ┊                   ⤷ code[5359]
             32 ┊      0.00% ┊                   ⤷ code[5600]
             30 ┊      0.00% ┊                   ⤷ code[5601]
             27 ┊      0.00% ┊                   ⤷ code[5677]
             25 ┊      0.00% ┊                   ⤷ code[5680]
             24 ┊      0.00% ┊                   ⤷ code[5785]
             22 ┊      0.00% ┊                   ⤷ code[5995]
             18 ┊      0.00% ┊                   ⤷ code[6366]
          41018 ┊      1.44% ┊               ⤷ code[2167]
          40811 ┊      1.44% ┊                   ⤷ code[7]
          12043 ┊      0.42% ┊                       ⤷ code[45]
           4496 ┊      0.16% ┊                           ⤷ code[120]
            638 ┊      0.02% ┊                               ⤷ code[809]
            208 ┊      0.01% ┊                               ⤷ code[2052]
            141 ┊      0.00% ┊                               ⤷ code[2714]
            121 ┊      0.00% ┊                               ⤷ code[2877]
            305 ┊      0.01% ┊                           ⤷ code[1508]
            302 ┊      0.01% ┊                           ⤷ code[2981]
            185 ┊      0.01% ┊                               ⤷ code[2525]
             23 ┊      0.00% ┊                                   ⤷ code[6002]
            180 ┊      0.01% ┊                           ⤷ code[2403]
             80 ┊      0.00% ┊                           ⤷ code[3557]
             11 ┊      0.00% ┊                           ⤷ type[35]: (i32, i32, i32, i32, i32, i32, i64, i32) -> nil
           2320 ┊      0.08% ┊                       ⤷ code[391]
            283 ┊      0.01% ┊                           ⤷ code[1667]
