Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
"export ""canister_query __icydb_metrics""",34,0.011779093494822396,97994,33.94942611563606
code[972],9,0.0031179953368647515,97960,33.937647022141235
code[0],17024,5.897861401642837,97951,33.93452902680437
table[0],6,0.0020786635579098343,91288,31.626173145745497
elem[0],583,0.20197680904357226,91282,31.624094482187587
code[1],16079,5.570471891272038,38588,13.368578228770783
data[0],35538,12.31192425349995,35538,12.31192425349995
code[14],1851,0.6412677076151839,17267,5.982047275738185
code[2],8587,2.9749139952952914,12643,4.38009056044234
code[29],1432,0.49610770248781383,11927,4.132036709198433
code[125],424,0.14689222475896163,9628,3.335562122592648
code[4],4793,1.6605057388436393,9204,3.188669897833686
code[3],5390,1.867332762855668,7263,2.5162222368498544
code[18],1788,0.6194417402571307,6541,2.266089722048038
code[6],4446,1.5402896964111874,6233,2.1593849927419995
code[17],1771,0.6135521935097195,6018,2.084899548583564
code[28],1308,0.45314865562434387,5212,1.8056657439710095
code[626],52,0.0180150841685519,5205,1.8032406364867815
code[7],4044,1.4010192380312285,5153,1.7852255523182297
code[5],4583,1.5877525143167954,4583,1.5877525143167954
code[880],18,0.006235990673729503,4424,1.5326679300321846
code[13],2141,0.7417364462474927,3727,1.2911965133883256
code[9],3147,1.0902590361237081,3638,1.2603630039459963
code[271],168,0.05820257962147536,3587,1.2426943637037626
code[21],1299,0.4500306602874792,3419,1.1844917840822873
code[65],683,0.23662120167540282,3304,1.1446507325556823
code[8],3303,1.144304288629364,3303,1.144304288629364
code[11],2495,0.8643775961641729,3193,1.1061954567343502
code[49],866,0.30002044019165275,3085,1.0687795126919732
code[22],1583,0.548420735361878,2731,0.946138362775293
code[12],2243,0.7770737267319597,2674,0.9263910589751496
code[30],1241,0.4299369125610174,2621,0.9080295308802795
code[10],2533,0.8775424653642684,2533,0.8775424653642684
code[20],1543,0.5345629783091457,2226,0.7711841799845487
code[16],1602,0.5550031699619258,2028,0.702588282573524
code[47],948,0.3284288421497539,1936,0.6707154413522399
code[26],1299,0.4500306602874792,1848,0.640228375836229
code[34],1233,0.427165361150471,1846,0.6395354879835924
code[15],1773,0.6142450813623561,1773,0.6142450813623561
code[19],1526,0.5286734315617346,1730,0.599347992530669
