Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
"export ""canister_query query_ten_complex_fluent""",43,0.0019114781149091738,638777,28.39554083272877
code[5451],9,0.0004000768147484317,638734,28.393629354613864
code[8],15338,0.6818197982901606,637291,28.329483705315866
code[10],12918,0.574243588102249,368024,16.359763296775203
code[4],17301,0.7690809968847352,258853,11.50678708089731
code[382],1143,0.050809755473050826,213550,9.492933754391954
code[25],8944,0.39758744790110817,212407,9.442123998918904
code[24],8892,0.3952758929714505,192058,8.537550320772699
table[0],6,0.00026671787649895445,177865,7.906629183914422
elem[0],1245,0.05534395937353305,177859,7.9063624660379235
code[71],4971,0.2209757606793838,170733,7.589590534716
code[9],14187,0.6306544189817779,162375,7.218052532752956
data[0],124706,5.543553251113103,124706,5.543553251113103
code[38],7182,0.31926129816924853,124165,5.51950418924878
code[331],1455,0.06467908505099645,115658,5.14134269335268
code[16],10390,0.4618664561373561,115026,5.113248410361456
code[12],12206,0.5425930667577064,102561,4.559142021934878
code[423],1049,0.046631175407900544,89021,3.957248680635571
code[1132],378,0.01680322621943413,88924,3.952936741632171
code[27],8765,0.389630364585556,88546,3.936133515412737
code[1],30287,1.3463473875873055,87950,3.9096395396805073
code[0],32337,1.4374759953911151,70522,3.134913014409878
code[28],8765,0.389630364585556,69256,3.0786355424685987
code[159],2356,0.10473121950525613,60597,2.6937171937011906
code[388],1031,0.045831021778403674,58241,2.5889859741959347
code[3],18651,0.829092519097,56256,2.5007468100541974
code[2015],157,0.006979117768389308,51438,2.2865723552255366
code[5],16446,0.7310736994836342,51281,2.279593237457147
code[26],8981,0.3992322081395184,49933,2.2196706212037154
code[1206],311,0.01382487659852914,45118,2.0056295253133047
code[521],773,0.03436215308894863,44807,1.9918046487147754
code[2],27593,1.2265910610392752,44034,1.9574424956258267
code[40],6701,0.29787941506991567,43816,1.9477517461130314
code[11],12578,0.5591295751006415,43092,1.9155677890154912
code[109],3347,0.1487841221070001,42349,1.8825392253090372
code[400],1039,0.046186645613735616,38712,1.7208637391712542
code[67],5409,0.24044616566380744,37673,1.6746770935575184
code[112],3175,0.1411382096473634,36870,1.6389813510860753
code[30],8003,0.35575719427018876,35390,1.5731909415496663
code[6],15294,0.6798638671958349,34436,1.5307827991863328
