Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
"export ""canister_query query_one_entity_sql""",39,0.0014648002857487327,1056107,39.66630347131376
code[6704],9,0.00033803083517278446,1056068,39.664838671028015
code[2],25489,0.9573408841910115,1054530,39.60707295719516
code[11],12943,0.4861258999601499,368199,13.829179497753785
code[8],15282,0.573976358123388,255589,9.599662570108535
code[460],1143,0.04292991606694363,213550,8.020720539016459
code[30],8944,0.335927532198376,212407,7.977790622949514
code[28],8892,0.33397446515071105,192058,7.213502904623849
code[83],4974,0.18681837490549222,170823,6.415937928524507
data[0],170066,6.387505779388307,170066,6.387505779388307
table[0],6,0.00022535389011518964,160405,6.024648457321166
elem[0],1514,0.05686429827239952,160399,6.024423103431051
code[5],17711,0.665207124638354,150822,5.664720735825522
code[44],7182,0.26974860646788196,124165,4.663510961025421
code[472],1028,0.038610633173069155,123078,4.622684347932885
code[16],10390,0.39023781971613675,115026,4.320259427398301
code[1353],378,0.014197295077256948,88924,3.3398948874338537
code[32],8765,0.32920447447660617,88546,3.3256975923565966
code[1],27011,1.014505654316898,85297,3.2036684608592223
code[143],2952,0.1108741139366733,76317,2.8663888053201547
code[39],7279,0.2733918276914109,70618,2.6523401686924104
code[33],8765,0.32920447447660617,69256,2.6011848356362623
code[15],10294,0.3866321574742937,69154,2.597353819504304
code[13],11178,0.4198342972845983,62662,2.3535209103996686
code[519],999,0.037521422704179075,62159,2.3346287426116787
code[4],20445,0.7678933805675087,61138,2.296281022310411
code[6],15191,0.5705584907899743,50100,1.8817049824618335
code[31],8981,0.33731721452075303,49933,1.875432632520294
code[10],13097,0.4919099831397732,49110,1.8445215905928272
code[1437],311,0.011680843304303997,45200,1.6976659722010952
code[626],773,0.0290330928431736,44889,1.6859851288967915
code[0],27594,1.036402540639757,44116,1.6569520360536178
code[46],6701,0.25168273627698096,43816,1.6456843415478581
code[131],3347,0.12570991170258997,42426,1.593477357004506
code[479],1039,0.03902378197161367,38789,1.4568753406130153
code[75],5410,0.20319409092052934,37750,1.4178515586414016
code[133],3175,0.11924976685262119,36870,1.3847996547578405
code[25],8835,0.33183360319461674,36172,1.3585834855411068
code[35],8003,0.30058453043197714,35390,1.3292123618627603
code[3],23239,0.8728331753978154,35346,1.327559766668582
