kind,n,depth,text_bytes,repeats,m0,m1,m2,m3,m4,m5,m6,m7,m8
0,1,0,8,3,4177,1592,1592,215,5767,534,256,1,13726852830681420386
0,16,0,8,3,16464,6677,6677,215,23139,2514,916,1,5215184957281449099
0,64,0,8,3,55824,22949,22949,215,78771,8850,3028,1,6763711743375607807
0,1024,0,8,3,843024,348389,348389,215,1191411,135570,45268,1,333292503401429552
0,4096,0,8,3,3362064,1389797,1389797,215,4751859,541074,180436,1,2095619040730220646
0,1,32,8,3,11649,3256,3256,215,14903,3830,1024,1,16454508610521866206
0,1,58,8,3,17720,4608,4608,215,22326,6508,1648,1,6892337458810769767
0,1,59,8,3,18029,4660,4660,215,22687,6611,1672,1,12205388016965133162
0,1,60,8,3,18187,4712,4712,215,22897,6637,0,0,7794161361571906439
0,1,61,8,3,18496,4764,4764,215,23258,6639,0,0,2293736570155682968
0,1,62,8,3,18654,4816,4816,215,23468,6639,0,0,15255872080995318043
0,1,63,8,3,18963,4868,4868,215,23829,6639,0,0,17340303924939939779
0,1,64,8,3,19121,4920,4920,215,24039,6639,0,0,4389475918912606875
0,1,126,8,3,33598,8144,8144,215,41740,6639,0,0,15643873411882986531
0,32,120,8,3,893584,211781,211781,215,1105363,6639,0,0,1460781153315585653
0,1024,2,8,3,1303824,454885,454885,215,1758707,346514,94420,1,9334838000493747415
0,1024,0,1024,3,12027152,27398373,27398373,215,39425523,135570,1085652,1,12847135672313325299
0,1,0,1048576,3,11276283,27264360,27264360,215,38540641,534,1048824,1,16547774451291177849
0,2048,0,1024,3,24050960,54795493,54795493,215,78846451,270738,2171092,1,9739346935640043448
0,1,0,2097152,3,22548475,54527336,54527336,215,77075809,534,2097400,1,11906421900944464965
0,4096,0,1024,3,48098576,109589733,109589733,215,157688307,522007,0,0,2565236518591091382
1,0,0,0,3,372,372,261,64,1,64,64,0,0
2,0,0,0,3,372,372,261,64,1,64,64,0,0
1,1,0,0,3,420,420,348,128,1,64,64,0,0
2,1,0,0,3,462,462,348,128,1,64,64,0,0
1,1024,0,0,3,49524,49524,348,65600,1,64,64,0,0
2,1024,0,0,3,92532,92532,348,65600,1,64,64,0,0
1,4096,0,0,3,196980,196980,348,262208,1,64,64,0,0
2,4096,0,0,3,369012,369012,348,262208,1,64,64,0,0
1,65534,0,0,3,3146004,3146004,348,4194240,1,64,64,0,0
2,65534,0,0,3,5898432,5898432,348,4194240,1,64,64,0,0
1,65535,0,0,3,3146052,3146052,348,4194304,1,64,64,0,0
2,65535,0,0,3,5898522,5898522,348,4194304,1,64,64,0,0
1,65536,0,0,3,348,348,348,0,0,64,64,0,0
2,65536,0,0,3,348,348,348,0,0,64,64,0,0
2,1024,0,16,3,92532,92532,92530,81984,1,64,64,0,0
2,52428,0,16,3,4718892,4718892,4718890,4194304,1,64,64,0,0
2,52429,0,16,3,4718620,4718620,4718530,0,0,64,64,0,0
2,1024,0,1024,3,92532,92532,92530,1114176,1,64,64,0,0
2,3855,0,1024,3,347322,347322,347320,4194304,1,64,64,0,0
2,3856,0,1024,3,347320,347320,347320,0,0,64,64,0,0
3,0,0,8,3,350,350,350,72,1,64,64,0,0
3,0,1,8,3,462,462,460,136,1,64,64,0,0
3,0,32,8,3,3934,3934,3870,2120,1,64,64,0,0
3,0,39,8,3,4718,4718,4640,2568,1,64,64,0,0
3,0,40,8,3,4830,4830,4750,2632,1,64,64,0,0
3,0,41,8,3,4942,4942,4860,2696,1,64,64,0,0
3,0,42,8,3,5054,5054,4970,2760,1,64,64,0,0
3,0,43,8,3,4962,4962,4962,0,0,64,64,0,0
3,0,62,8,3,4962,4962,4962,0,0,64,64,0,0
3,0,63,8,3,4962,4962,4962,0,0,64,64,0,0
3,0,64,8,3,4962,4962,4962,0,0,64,64,0,0
3,0,65,8,3,4962,4962,4962,0,0,64,64,0,0
3,0,127,8,3,4962,4962,4962,0,0,64,64,0,0
3,0,128,8,3,4962,4962,4962,0,0,64,64,0,0
4,1024,1,0,3,255281,255281,255154,151564,1,12,64,0,0
4,1024,32,8,3,3112241,3112241,3112226,2445324,1,12,64,0,0
4,2048,32,8,3,5334524,5334524,5334524,0,0,12,64,0,0
4,64,1024,8,3,5170291,5170291,5170291,0,0,12,64,0,0
5,0,0,0,3,333,333,261,64,1,64,64,0,0
5,1024,0,0,3,333,333,337,1088,1,64,64,0,0
5,4194240,0,0,3,333,333,337,4194304,1,64,64,0,0
5,4194304,0,0,3,337,337,337,0,0,64,64,0,0
