n,shape,kind,standard_instructions,compact_instructions,fallible_instructions,admitted_instructions,length,checksum,admitted_comparisons,admitted_payload_units,admitted_scratch_bytes,repeats
0,0,0,227,227,227,224,0,0,0,0,0,2
0,0,1,229,229,224,224,0,0,0,0,0,2
0,0,2,229,229,224,224,0,0,0,0,0,2
0,0,3,229,229,226,229,0,0,0,0,0,2
0,1,0,227,227,227,224,0,0,0,0,0,2
0,1,1,229,229,224,224,0,0,0,0,0,2
0,1,2,229,229,224,224,0,0,0,0,0,2
0,1,3,229,229,226,229,0,0,0,0,0,2
0,2,0,227,227,227,224,0,0,0,0,0,2
0,2,1,229,229,224,224,0,0,0,0,0,2
0,2,2,229,229,224,224,0,0,0,0,0,2
0,2,3,229,229,226,229,0,0,0,0,0,2
0,3,0,227,227,227,224,0,0,0,0,0,2
0,3,1,229,229,224,224,0,0,0,0,0,2
0,3,2,229,229,224,224,0,0,0,0,0,2
0,3,3,229,229,226,229,0,0,0,0,0,2
0,4,0,227,227,227,224,0,0,0,0,0,2
0,4,1,229,229,224,224,0,0,0,0,0,2
0,4,2,229,229,224,224,0,0,0,0,0,2
0,4,3,229,229,226,229,0,0,0,0,0,2
1,0,0,227,227,227,224,1,0,0,0,0,2
1,0,1,229,229,224,224,1,16502530170330451968,0,0,0,2
1,0,2,229,229,224,224,1,10489202776593471488,0,0,0,2
1,0,3,229,229,226,229,1,1768556248656484352,0,0,0,2
1,1,0,227,227,227,224,1,1,0,0,0,2
1,1,1,229,229,224,224,1,16502530170330451969,0,0,0,2
1,1,2,229,229,224,224,1,10489202776593471489,0,0,0,2
1,1,3,229,229,226,229,1,1768556248656484353,0,0,0,2
1,2,0,227,227,227,224,1,0,0,0,0,2
1,2,1,229,229,224,224,1,16502530170330451968,0,0,0,2
1,2,2,229,229,224,224,1,10489202776593471488,0,0,0,2
1,2,3,229,229,226,229,1,1768556248656484352,0,0,0,2
1,3,0,227,227,227,224,1,0,0,0,0,2
1,3,1,229,229,224,224,1,16502530170330451968,0,0,0,2
1,3,2,229,229,224,224,1,10489202776593471488,0,0,0,2
1,3,3,229,229,226,229,1,1768556248656484352,0,0,0,2
1,4,0,227,227,227,224,1,1,0,0,0,2
1,4,1,229,229,224,224,1,16502530170330451969,0,0,0,2
1,4,2,229,229,224,224,1,10489202776593471489,0,0,0,2
1,4,3,229,229,226,229,1,1768556248656484353,0,0,0,2
16,0,0,557,557,557,809,16,15037917882917351432,15,30,0,2
16,0,1,10568,10568,10563,11418,16,6869581425295753192,15,390,0,2
16,0,2,403688,403688,403683,404538,16,15905137498970914792,15,15510,0,2
16,0,3,206138,206138,206135,207503,16,3452808969031516136,15,7890,0,2
16,1,0,3847,12224,14264,19778,16,5006852527699104008,88,176,128,2
16,1,1,93270,69723,72355,79033,16,15285260162424634685,88,2288,128,2
16,1,2,3657558,2376232,2378864,2385542,16,5874072162390244669,88,90992,128,2
16,1,3,1866405,1217268,1220002,1229675,16,11868487706160397629,88,46288,128,2
16,2,0,2748,14052,16230,22304,16,15037917882917351432,96,192,128,2
16,2,1,66558,76749,79519,86821,16,6869581425295753192,96,2496,128,2
16,2,2,2608734,2592922,2595692,2602994,16,15905137498970914792,96,99264,128,2
