n,shape,kind,length,checksum,standard_instructions,compact_instructions,merge_instructions,admitted_merge_instructions,admitted_comparisons,admitted_payload_units,admitted_scratch_bytes
0,0,0,0,0,227,227,227,228,0,0,0
0,0,1,0,0,229,229,227,224,0,0,0
0,0,2,0,0,229,229,227,224,0,0,0
0,0,3,0,0,229,229,229,229,0,0,0
0,1,0,0,0,227,227,227,228,0,0,0
0,1,1,0,0,229,229,227,224,0,0,0
0,1,2,0,0,229,229,227,224,0,0,0
0,1,3,0,0,229,229,229,229,0,0,0
0,2,0,0,0,227,227,227,228,0,0,0
0,2,1,0,0,229,229,227,224,0,0,0
0,2,2,0,0,229,229,227,224,0,0,0
0,2,3,0,0,229,229,229,229,0,0,0
0,3,0,0,0,227,227,227,228,0,0,0
0,3,1,0,0,229,229,227,224,0,0,0
0,3,2,0,0,229,229,227,224,0,0,0
0,3,3,0,0,229,229,229,229,0,0,0
0,4,0,0,0,227,227,227,228,0,0,0
0,4,1,0,0,229,229,227,224,0,0,0
0,4,2,0,0,229,229,227,224,0,0,0
0,4,3,0,0,229,229,229,229,0,0,0
1,0,0,1,0,227,227,227,228,0,0,0
1,0,1,1,16502530170330451968,229,229,227,224,0,0,0
1,0,2,1,10489202776593471488,229,229,227,224,0,0,0
1,0,3,1,1768556248656484352,229,229,229,229,0,0,0
1,1,0,1,1,227,227,227,228,0,0,0
1,1,1,1,16502530170330451969,229,229,227,224,0,0,0
1,1,2,1,10489202776593471489,229,229,227,224,0,0,0
1,1,3,1,1768556248656484353,229,229,229,229,0,0,0
1,2,0,1,0,227,227,227,228,0,0,0
1,2,1,1,16502530170330451968,229,229,227,224,0,0,0
1,2,2,1,10489202776593471488,229,229,227,224,0,0,0
1,2,3,1,1768556248656484352,229,229,229,229,0,0,0
1,3,0,1,0,227,227,227,228,0,0,0
1,3,1,1,16502530170330451968,229,229,227,224,0,0,0
1,3,2,1,10489202776593471488,229,229,227,224,0,0,0
1,3,3,1,1768556248656484352,229,229,229,229,0,0,0
1,4,0,1,1,227,227,227,228,0,0,0
1,4,1,1,16502530170330451969,229,229,227,224,0,0,0
1,4,2,1,10489202776593471489,229,229,227,224,0,0,0
1,4,3,1,1768556248656484353,229,229,229,229,0,0,0
16,0,0,16,15037917882917351432,557,557,557,723,15,30,0
16,0,1,16,6869581425295753192,10568,10568,10566,11418,15,390,0
16,0,2,16,15905137498970914792,403688,403688,403686,404538,15,15510,0
16,0,3,16,3452808969031516136,206138,206138,206138,207503,15,7890,0
16,1,0,16,5006852527699104008,3847,12224,12959,13864,48,96,128
16,1,1,16,15285260162424634685,93270,69723,45471,48591,48,1248,128
16,1,2,16,5874072162390244669,3657558,2376232,1303660,1306780,48,49632,128
16,1,3,16,11868487706160397629,1866405,1217268,671618,676373,48,25248,128
16,2,0,16,15037917882917351432,2748,14052,14910,16067,62,124,128
16,2,1,16,6869581425295753192,66558,76749,56642,60658,62,1612,128
16,2,2,16,15905137498970914792,2608734,2592922,1681743,1685759,62,64108,128
16,2,3,16,3452808969031516136,1331211,1328598,865321,871448,62,32612,128
16,3,0,4,1026,2104,13575,13119,14249,63,126,128
16,3,1,4,9003717565291430914,51693,80990,58494,62529,63,1638,128
16,3,2,4,7810008441434801154,1887123,2649730,1710629,1714664,63,65142,128
16,3,3,4,6893797124327474178,971077,1366743,887613,893877,63,33138,128
16,4,0,1,1,1021,9056,11322,12197,48,96,128
16,4,1,1,16502530170330451969,25617,51776,47895,50985,48,1248,128
16,4,2,1,10489202776593471489,838557,1572463,1306576,1309666,48,49632,128
16,4,3,1,1768556248656484353,438115,817780,683588,688457,48,25248,128
64,0,0,64,7996254201273892896,1613,1613,1613,2307,63,126,0
64,0,1,64,5923688313601307776,43606,43606,43604,47192,63,1638,0
64,0,2,64,17672015554018718848,1694710,1694710,1694708,1698296,63,65142,0
64,0,3,64,18353528283824829568,865000,865000,865000,870733,63,33138,0
64,1,0,64,8076207281266508832,4602,70477,57123,61870,256,512,512
64,1,1,64,8918411103801695294,91146,450151,228658,245186,256,6656,512
64,1,2,64,2219994270509554750,3419562,15887029,6938272,6954800,256,264704,512
64,1,3,64,2901507000315665470,1746783,8129560,3566895,3592130,256,134656,512
64,2,0,64,7996254201273892896,14410,80394,70314,77322,382,764,512
64,2,1,64,5923688313601307776,295620,496085,324037,348622,382,9932,512
64,2,2,64,17672015554018718848,11434020,17400611,10335859,10360444,382,394988,512
64,2,3,64,18353528283824829568,5836581,8905622,5305062,5342638,382,200932,512
64,3,0,4,1026,16855,68776,62553,68941,355,710,512
64,3,1,4,9003717565291430914,327343,455334,317465,340188,355,9230,512
64,3,2,4,7810008441434801154,11757807,15161890,9626293,9649016,355,367070,512
64,3,3,4,6893797124327474178,6050292,7809463,4985883,5021243,355,186730,512
64,4,0,1,1,3078,34408,50742,55363,256,512,512
64,4,1,1,16502530170330451969,106027,221187,243840,260242,256,6656,512
64,4,2,1,10489202776593471489,3434833,6774061,6953880,6970282,256,264704,512
64,4,3,1,1768556248656484353,1800145,3520772,3622171,3648048,256,134656,512
256,0,0,256,1062521656183816320,5837,5837,5837,8643,255,510,0
256,0,1,256,11861112264463100064,175732,175732,175730,190262,255,6630,0
256,0,2,256,14624984875352598688,6858772,6858772,6858770,6873302,255,263670,0
256,0,3,256,12780436464095340704,3500422,3500422,3500422,3523627,255,134130,0
256,1,0,256,14491427267988754560,17370,384028,263169,286734,1280,2560,2048
256,1,1,256,1642382817409823619,365286,2506698,1108322,1190770,1280,33280,2048
256,1,2,256,4406255428299322243,13757574,90617990,34654558,34737006,1280,1323520,2048
256,1,3,256,2561707017042064259,7026939,46339689,17798479,17924450,1280,673280,2048
256,2,0,256,1062521656183816320,87760,422425,329810,365645,1964,3928,2048
256,2,1,256,11861112264463100064,1607582,2673183,1613425,1739607,1964,51064,2048
256,2,2,256,14624984875352598688,62383934,96209531,53085933,53212115,1964,2030776,2048
256,2,3,256,12780436464095340704,31841939,49205040,27221574,27414535,1964,1033064,2048
256,3,0,4,1026,65635,354647,301577,335039,1859,3718,2048
256,3,1,4,9003717565291430914,1071640,2410616,1618993,1737972,1859,48334,2048
256,3,2,4,7810008441434801154,37697748,81310188,50356945,50475924,1859,1922206,2048
256,3,3,4,6893797124327474178,19452535,41830095,26037308,26222556,1859,977834,2048
256,4,0,1,1,11526,135688,238772,261827,1280,2560,2048
256,4,1,1,16502530170330451969,428217,896945,1186060,1267998,1280,33280,2048
256,4,2,1,10489202776593471489,13820285,27576547,34732112,34814050,1280,1323520,2048
256,4,3,1,1768556248656484353,7254765,14340277,18050853,18180154,1280,673280,2048
