variant,kind,fields,depth,width,repeat,handoff,four_handoffs,bundle_bytes,total_fields
baseline,0,1,0,8,0,3882,15059,429,2
baseline,0,1,0,8,1,3882,15059,429,2
baseline,0,1,0,8,2,3882,15059,429,2
baseline,0,16,0,8,0,16707,66363,1622,17
baseline,0,16,0,8,1,16707,66363,1622,17
baseline,0,16,0,8,2,16707,66363,1622,17
baseline,0,64,0,8,0,57891,231099,5462,65
baseline,0,64,0,8,1,57891,231099,5462,65
baseline,0,64,0,8,2,57891,231099,5462,65
baseline,0,254,0,8,0,220911,883179,20818,255
baseline,0,254,0,8,1,220911,883179,20818,255
baseline,0,254,0,8,2,220911,883179,20818,255
baseline,0,64,0,120,0,57915,231191,12630,65
baseline,0,64,0,120,1,57915,231191,12630,65
baseline,0,64,0,120,2,57915,231191,12630,65
baseline,0,254,0,120,0,221082,883863,49266,255
baseline,0,254,0,120,1,221082,883863,49266,255
baseline,0,254,0,120,2,221082,883863,49266,255
baseline,1,1,8,0,0,215434,861271,693,2
baseline,1,1,8,0,1,215434,861271,693,2
baseline,1,1,8,0,2,215434,861271,693,2
baseline,1,16,8,0,0,3559232,13592767,1811,17
baseline,1,16,8,0,1,3559232,13592767,1811,17
baseline,1,16,8,0,2,3559232,13592767,1811,17
baseline,1,64,8,0,0,14227268,54333862,5411,65
baseline,1,64,8,0,1,14227268,54333862,5411,65
baseline,1,64,8,0,2,14227268,54333862,5411,65
baseline,1,254,8,0,0,56475115,215600646,19817,255
baseline,1,254,8,0,1,56475115,215600646,19817,255
baseline,1,254,8,0,2,56475115,215600646,19817,255
baseline,1,1,10,0,0,852778,3410647,757,2
baseline,1,1,10,0,1,852778,3410647,757,2
baseline,1,1,10,0,2,852778,3410647,757,2
baseline,1,16,10,0,0,14239508,54382822,1875,17
baseline,1,16,10,0,1,14239508,54382822,1875,17
baseline,1,16,10,0,2,14239508,54382822,1875,17
baseline,1,64,10,0,0,56948461,217494030,5475,65
baseline,1,64,10,0,1,56948461,217494030,5475,65
baseline,1,64,10,0,2,56948461,217494030,5475,65
baseline,1,254,10,0,0,226004498,863142618,19881,255
baseline,1,254,10,0,1,226004498,863142618,19881,255
baseline,1,254,10,0,2,226004498,863142618,19881,255
baseline,2,1,8,16,0,25169,100335,1328,2
baseline,2,1,8,16,1,25169,100335,1328,2
baseline,2,1,8,16,2,25169,100335,1328,2
baseline,2,16,8,16,0,370636,1482079,7006,17
baseline,2,16,8,16,1,370636,1482079,7006,17
baseline,2,16,8,16,2,370636,1482079,7006,17
baseline,2,64,8,1,0,168488,673487,6673,65
baseline,2,64,8,1,1,168488,673487,6673,65
baseline,2,64,8,1,2,168488,673487,6673,65
baseline,2,1,10,16,0,25169,100335,1392,2
baseline,2,1,10,16,1,25169,100335,1392,2
baseline,2,1,10,16,2,25169,100335,1392,2
baseline,2,8,10,16,0,186892,747103,4038,9
baseline,2,8,10,16,1,186892,747103,4038,9
baseline,2,8,10,16,2,186892,747103,4038,9
candidate,0,1,0,8,0,278,647,429,2
