kind,fields,depth,width,repeat,cold_selection,warm_selection,four_warm_selections,total_fields,bundle_bytes
0,1,0,8,0,297250,184577,753347,2,429
0,1,0,8,1,297250,184577,753347,2,429
0,1,0,8,2,297250,184577,753347,2,429
0,16,0,8,0,1552915,880813,3583083,17,1622
0,16,0,8,1,1552915,880813,3583083,17,1622
0,16,0,8,2,1552915,880813,3583083,17,1622
0,64,0,8,0,11359720,6389990,25781491,65,5462
0,64,0,8,1,11359720,6389990,25781491,65,5462
0,64,0,8,2,11359720,6389990,25781491,65,5462
0,254,0,8,0,107673481,60095350,240851556,255,20818
0,254,0,8,1,107673481,60095350,240851556,255,20818
0,254,0,8,2,107673481,60095350,240851556,255,20818
0,64,0,120,0,13099975,7262448,29357719,65,12630
0,64,0,120,1,13099975,7262448,29357719,65,12630
0,64,0,120,2,13099975,7262448,29357719,65,12630
0,254,0,120,0,114641982,63453771,254773152,255,49266
0,254,0,120,1,114641982,63453771,254773152,255,49266
0,254,0,120,2,114641982,63453771,254773152,255,49266
1,1,8,0,0,296314,184647,753455,2,693
1,1,8,0,1,296314,184647,753455,2,693
1,1,8,0,2,296314,184647,753455,2,693
1,1,10,0,0,296673,184576,753455,2,757
1,1,10,0,1,296673,184576,753455,2,757
1,1,10,0,2,296673,184576,753455,2,757
2,1,8,1,0,324301,199325,814715,2,758
2,1,8,1,1,324301,199325,814715,2,758
2,1,8,1,2,324301,199325,814715,2,758
