artifact,query,state,repeat,instructions
baseline,primary_key,first_after_load,0,3048168
baseline,primary_key,first_after_load,1,3048168
baseline,primary_key,first_after_load,2,3048168
baseline,primary_key,warmed,0,2730497
baseline,primary_key,warmed,1,2730497
baseline,primary_key,warmed,2,2730497
baseline,indexed_equality,first_after_load,0,3860170
baseline,indexed_equality,first_after_load,1,3860170
baseline,indexed_equality,first_after_load,2,3860170
baseline,indexed_equality,warmed,0,3503203
baseline,indexed_equality,warmed,1,3503203
baseline,indexed_equality,warmed,2,3503203
baseline,indexed_range,first_after_load,0,4187030
baseline,indexed_range,first_after_load,1,4187030
baseline,indexed_range,first_after_load,2,4187030
baseline,indexed_range,warmed,0,3602351
baseline,indexed_range,warmed,1,3602351
baseline,indexed_range,warmed,2,3602351
baseline,primary_key_in,first_after_load,0,3275503
baseline,primary_key_in,first_after_load,1,3275503
baseline,primary_key_in,first_after_load,2,3275503
baseline,primary_key_in,warmed,0,2970127
baseline,primary_key_in,warmed,1,2970127
baseline,primary_key_in,warmed,2,2970127
baseline,count,first_after_load,0,2934301
baseline,count,first_after_load,1,2934301
baseline,count,first_after_load,2,2934301
baseline,count,warmed,0,3058461
baseline,count,warmed,1,3058461
baseline,count,warmed,2,3058461
baseline,grouped_count,first_after_load,0,3649628
baseline,grouped_count,first_after_load,1,3649628
baseline,grouped_count,first_after_load,2,3649628
baseline,grouped_count,warmed,0,3502605
baseline,grouped_count,warmed,1,3502605
baseline,grouped_count,warmed,2,3502605
candidate,primary_key,first_after_load,0,3047684
candidate,primary_key,first_after_load,1,3047684
candidate,primary_key,first_after_load,2,3047684
candidate,primary_key,warmed,0,2893890
candidate,primary_key,warmed,1,2893890
candidate,primary_key,warmed,2,2893890
candidate,indexed_equality,first_after_load,0,3860083
candidate,indexed_equality,first_after_load,1,3860083
candidate,indexed_equality,first_after_load,2,3860083
candidate,indexed_equality,warmed,0,3507653
candidate,indexed_equality,warmed,1,3507653
candidate,indexed_equality,warmed,2,3507653
candidate,indexed_range,first_after_load,0,4027050
candidate,indexed_range,first_after_load,1,4027050
candidate,indexed_range,first_after_load,2,4027050
candidate,indexed_range,warmed,0,3444763
candidate,indexed_range,warmed,1,3444763
candidate,indexed_range,warmed,2,3444763
candidate,primary_key_in,first_after_load,0,3356164
candidate,primary_key_in,first_after_load,1,3356164
candidate,primary_key_in,first_after_load,2,3356164
candidate,primary_key_in,warmed,0,3134639
candidate,primary_key_in,warmed,1,3134639
candidate,primary_key_in,warmed,2,3134639
candidate,count,first_after_load,0,2934752
candidate,count,first_after_load,1,2934752
candidate,count,first_after_load,2,2934752
candidate,count,warmed,0,3224031
candidate,count,warmed,1,3224031
candidate,count,warmed,2,3224031
candidate,grouped_count,first_after_load,0,3650175
candidate,grouped_count,first_after_load,1,3650175
candidate,grouped_count,first_after_load,2,3650175
candidate,grouped_count,warmed,0,3509288
candidate,grouped_count,warmed,1,3509288
candidate,grouped_count,warmed,2,3509288
