artifact,query,repeat,local_instructions
baseline,primary_key,0,2730497
baseline,primary_key,1,2730497
baseline,primary_key,2,2730497
baseline,indexed_equality,0,3503203
baseline,indexed_equality,1,3503203
baseline,indexed_equality,2,3503203
baseline,indexed_range,0,3602351
baseline,indexed_range,1,3602351
baseline,indexed_range,2,3602351
baseline,primary_key_in,0,2970127
baseline,primary_key_in,1,2970127
baseline,primary_key_in,2,2970127
baseline,count,0,3058461
baseline,count,1,3058461
baseline,count,2,3058461
baseline,grouped_count,0,3502605
baseline,grouped_count,1,3502605
baseline,grouped_count,2,3502605
candidate,primary_key,0,2893890
candidate,primary_key,1,2893890
candidate,primary_key,2,2893890
candidate,indexed_equality,0,3507653
candidate,indexed_equality,1,3507653
candidate,indexed_equality,2,3507653
candidate,indexed_range,0,3444763
candidate,indexed_range,1,3444763
candidate,indexed_range,2,3444763
candidate,primary_key_in,0,3134639
candidate,primary_key_in,1,3134639
candidate,primary_key_in,2,3134639
candidate,count,0,3224031
candidate,count,1,3224031
candidate,count,2,3224031
candidate,grouped_count,0,3509288
candidate,grouped_count,1,3509288
candidate,grouped_count,2,3509288
