artifact,query,repeat,entry,request_ready,session_ready,query_complete,request_complete,local_instructions,whole_update_cycles
baseline,primary_key,0,2013412,2335279,4098855,6029378,6030392,3694099,17438274
baseline,primary_key,1,2013408,2255231,3777923,5707871,5708858,3452640,17611554
baseline,primary_key,2,1853409,2175231,3779229,5709872,5710861,3534641,17617560
baseline,indexed_equality,0,2333426,2495293,3780474,6723155,6724169,4227862,18224571
baseline,indexed_equality,1,1933452,2095275,3618214,6560100,6561114,4464825,18402086
baseline,indexed_equality,2,1693537,1855304,3219070,6559021,6560008,4703717,18400004
baseline,indexed_range,0,2013665,2495532,4098923,6500504,6501518,4004972,18235167
baseline,indexed_range,1,2093636,2255452,3619065,6418730,6419922,4163278,18413020
baseline,indexed_range,2,1853632,1855455,3459140,6419086,6420073,4563631,18410760
baseline,primary_key_in,0,2093432,2335299,3779444,6190147,6191161,3854848,17627376
baseline,primary_key_in,1,1853476,2095298,3378899,5867796,5868810,3772498,17803681
baseline,primary_key_in,2,1693674,1855501,3458421,5787430,5788597,3931929,17802259
baseline,count,0,1773321,2095188,3861945,6039428,6040444,3944240,17660072
baseline,count,1,1693264,1935137,3379812,5635952,5636993,3700815,17753316
baseline,count,2,1853240,2175113,3618712,5796283,5797326,3621170,17753713
baseline,grouped_count,0,2173405,2335272,4020720,6644769,6645783,4309497,18076499
baseline,grouped_count,1,2173402,2335275,3618634,6401229,6402252,4065954,18250637
baseline,grouped_count,2,1933403,2255275,3459904,6484146,6485189,4228871,18252209
candidate,primary_key,0,1933412,2095313,3859259,5869184,5870198,3773871,17434898
candidate,primary_key,1,1853407,1935230,3458558,5306896,5307883,3371666,17612768
candidate,primary_key,2,1853559,2095426,3698115,5465424,5466447,3369998,17609081
candidate,indexed_equality,0,2413447,2415348,4020433,6483202,6484216,4067854,18224914
candidate,indexed_equality,1,1453454,1615224,3298554,6560688,6561677,4945464,18402044
candidate,indexed_equality,2,1533517,1855339,3458413,6558295,6559311,4702956,18398174
candidate,indexed_range,0,2013642,2175543,3859165,6418917,6419931,4243374,18233111
candidate,indexed_range,1,2093637,2255453,3779069,6499004,6500196,4243551,18412363
candidate,indexed_range,2,1773632,1855455,3459163,6419355,6420342,4563900,18408788
candidate,primary_key_in,0,1693432,1855333,3619853,6108862,6109876,4253529,17624982
candidate,primary_key_in,1,1613478,1935300,3217246,5704512,5705526,3769212,17797774
candidate,primary_key_in,2,1693456,1775279,3217372,5785486,5786500,4010207,17798487
candidate,count,0,2173321,2335222,3861505,6039076,6040092,3703854,17658768
candidate,count,1,1933264,2095131,3379711,5635815,5636856,3540684,17752271
candidate,count,2,1533240,1775107,3618611,5716003,5717046,3940896,17752683
candidate,grouped_count,0,2413423,2415324,4099556,6482176,6483190,4066852,18073397
candidate,grouped_count,1,2333423,2335296,3779573,6322963,6324004,3987667,18251337
candidate,grouped_count,2,1533356,1935229,3299870,6322632,6323673,4387403,18250250
