kind,fields,depth,width,repeat,cold_selection,warm_selection,four_warm_selections,total_fields,bundle_bytes
0,1,0,8,0,138882,50472,202871,2,429
0,1,0,8,1,138882,50472,202871,2,429
0,1,0,8,2,138882,50472,202871,2,429
0,16,0,8,0,574791,50682,203711,17,1622
0,16,0,8,1,574791,50682,203711,17,1622
0,16,0,8,2,574791,50682,203711,17,1622
0,64,0,8,0,4149537,51354,206399,65,5462
0,64,0,8,1,4149537,51354,206399,65,5462
0,64,0,8,2,4149537,51354,206399,65,5462
0,254,0,8,0,39600433,54014,217039,255,20818
0,254,0,8,1,39600433,54014,217039,255,20818
0,254,0,8,2,39600433,54014,217039,255,20818
0,64,0,120,0,4995563,51354,206399,65,12630
0,64,0,120,1,4995563,51354,206399,65,12630
0,64,0,120,2,4995563,51354,206399,65,12630
0,254,0,120,0,42853844,54014,217039,255,49266
0,254,0,120,1,42853844,54014,217039,255,49266
0,254,0,120,2,42853844,54014,217039,255,49266
1,1,8,0,0,138879,50472,202871,2,693
1,1,8,0,1,138879,50472,202871,2,693
1,1,8,0,2,138879,50472,202871,2,693
1,1,10,0,0,139326,50472,202871,2,757
1,1,10,0,1,139326,50472,202871,2,757
1,1,10,0,2,139326,50472,202871,2,757
2,1,8,1,0,149801,50487,202928,2,758
2,1,8,1,1,149801,50487,202928,2,758
2,1,8,1,2,149801,50487,202928,2,758
