artifact,stage,live_requested_bytes,peak_requested_bytes,total_requested_bytes,live_blocks,peak_blocks,wasm_bytes
baseline,installed,27024,27741,102012,238,302,1441792
baseline,startup,30333,461318,5948274,263,4868,1900544
baseline,reset,510890,529284,7855398,6422,7147,2031616
baseline,loaded,658488,2703663,85515509,8830,18099,4784128
baseline,warm_0,696080,2703663,85601600,9747,18099,4784128
baseline,warm_1,710597,2703663,85677126,10417,18099,4784128
baseline,warm_2,710597,2703663,85752652,10417,18099,4784128
baseline,warm_3,710597,2703663,85828178,10417,18099,4784128
baseline,warm_4,710597,2703663,85903704,10417,18099,4784128
candidate,installed,27024,27741,102012,238,302,1441792
candidate,startup,30333,453150,5266517,263,4426,1900544
candidate,reset,440998,459392,7043385,5301,6026,1900544
candidate,loaded,588596,2633771,84013953,7709,16718,4587520
candidate,warm_0,626188,2633771,84100044,8626,16718,4587520
candidate,warm_1,640705,2633771,84175570,9296,16718,4587520
candidate,warm_2,640705,2633771,84251096,9296,16718,4587520
candidate,warm_3,640705,2633771,84326622,9296,16718,4587520
candidate,warm_4,640705,2633771,84402148,9296,16718,4587520
