artifact,query,reported_calls,total_instructions,local_instructions
baseline,primary_key,39,332506902,2973662
baseline,indexed_equality,39,362638419,3507645
baseline,indexed_range,39,360450285,3523165
baseline,primary_key_in,39,341873922,3293320
baseline,count,39,342020523,3063645
baseline,grouped_count,39,356443308,3426643
candidate,primary_key,39,329151108,2494386
candidate,indexed_equality,39,362309493,3424094
candidate,indexed_range,39,357183645,3446455
candidate,primary_key_in,39,338677053,3053119
candidate,count,39,338745576,2820231
candidate,grouped_count,39,356526261,3350209
