artifact,query,repeat,entry,request_ready,session_ready,query_complete,request_complete,local_instructions,whole_update_cycles
baseline,primary_key,0,1853409,2255232,3858398,5229827,5230841,2974595,17192159
baseline,primary_key,1,1853411,2015206,3378300,5067372,5068421,3052166,17370250
baseline,primary_key,2,1853576,2175422,3377294,4907085,4908054,2731663,17368961
baseline,indexed_equality,0,2093454,2415283,3938501,6399586,6400600,3984303,18138167
baseline,indexed_equality,1,1533456,1695259,3217912,6235616,6236638,4540357,18313097
baseline,indexed_equality,2,1773456,1935173,3538524,6316034,6317079,4380861,18313778
baseline,indexed_range,0,1533642,2175496,3699300,6182160,6183147,4006664,17989859
baseline,indexed_range,1,1853636,2015401,3457309,5856229,5857251,3840828,18163900
baseline,indexed_range,2,1933640,2095482,3457989,6097779,6098748,4002297,18166803
baseline,primary_key_in,0,1853493,1935276,4019233,5868604,5869618,3933328,17461849
baseline,primary_key_in,1,1853456,2335394,3777714,5786101,5787150,3450707,17639122
baseline,primary_key_in,2,1773457,2095336,3456279,5784574,5785570,3689238,17639125
baseline,count,0,2013262,2335085,4018015,5635525,5636541,3300440,17411376
baseline,count,1,1693263,1695024,3216744,5069463,5070456,3374439,17581474
baseline,count,2,1693285,1855140,3296361,5075977,5077017,3220837,17590594
baseline,grouped_count,0,1693405,2175264,3859872,6165682,6166696,3990418,17914746
baseline,grouped_count,1,1613424,1775188,3377271,5997618,5998694,4222430,18005910
baseline,grouped_count,2,1453404,1535121,3296905,5998558,5999607,4463437,18005895
candidate,primary_key,0,2013409,2255232,3858398,5156081,5157095,2900849,17128601
candidate,primary_key,1,2013407,2095162,3456803,5070504,5071553,2975342,17299799
candidate,primary_key,2,2173404,2335288,3457446,4912472,4913443,2577184,17305325
candidate,indexed_equality,0,1853455,2175284,3778502,6207794,6208808,4032510,18036455
candidate,indexed_equality,1,1453453,1775256,3297139,6044942,6045991,4269686,18211124
candidate,indexed_equality,2,2013454,2335253,3538498,6208642,6209693,3873389,18217130
candidate,indexed_range,0,1373642,1935488,3699301,6110082,6111033,4174594,17927315
candidate,indexed_range,1,1613637,1855402,3617240,5862428,5863450,4007026,18101335
candidate,indexed_range,2,2253660,2255417,3457766,6022655,6023700,3767238,18101602
candidate,primary_key_in,0,1853516,1935299,4018721,5794078,5795092,3858779,17400111
candidate,primary_key_in,1,1853457,2095336,3536286,5790580,5791598,3695244,17575394
candidate,primary_key_in,2,2013435,2175314,3536100,5790906,5791912,3615592,17573435
candidate,count,0,2013263,2335086,4017941,5524796,5525810,3189710,17310689
candidate,count,1,1773263,1935109,3456720,5124596,5125614,3189487,17485631
candidate,count,2,1773285,2095090,3456399,5125007,5126043,3029917,17491409
candidate,grouped_count,0,1933403,2415262,3939213,6092472,6093486,3677210,17851939
candidate,grouped_count,1,1933403,2095197,3538443,6004963,6005981,3909766,17945656
candidate,grouped_count,2,1933424,2015140,3697471,6003738,6004785,3988598,17937721
