metric,baseline,candidate,cleanup,ic_memory_0_14_2
raw_wasm_bytes,2567614,2599304,2598260,2597747
gzip_bytes,839543,848915,848699,848608
ic_wasm_function_count,12010,12181,12179,12175
install_cycles,14983012147,15169035909,15163917874,15158793901
startup_watchdog_cycles,116450980,116634711,116615526,116615526
warm_open_instructions_0,698925,707352,703952,703952
warm_open_instructions_1,697281,705788,706035,706035
warm_open_instructions_2,697408,706578,705555,705555
warm_open_cycles_0,7778432,7787947,7784208,7784208
warm_open_cycles_1,7779626,7787413,7788759,7788759
warm_open_cycles_2,7782483,7791545,7790646,7790646
typed_write_cycles,11249254,11315120,11308591,11308591
upgrade_cycles,5933477931,5999076865,5996945916,5995878914
recovery_watchdog_cycles,56243989,56364881,56361746,56361746
stable_bytes_after_startup,23134208,23134208,23134208,23134208
wasm_sha256,73f5c5c6dc91895ae38a9af86537c1dce478894906b63be44d9f45efef1e7f92,1098c32717c44fc6c6da5db9b0b7daa1f0e4b9685d83a047829e14238ee57718,9613b869e96508a6fdddea1a2567dc96c36c03458d905198ae874205f11828b1,5b2fa7408fe0e2063681a6f11ec825d116728772754cdd015b074f804cf791bf
