 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼──────────────────────────────────────────────────────────────────────────────────────────────
         601958 ┊     30.97% ┊ export "canister_query query_one_entity_fluent_rows"
         601911 ┊     30.97% ┊   ⤷ code[4892]
         600373 ┊     30.89% ┊       ⤷ code[11]
         175823 ┊      9.05% ┊           ⤷ code[6]
          27145 ┊      1.40% ┊               ⤷ code[76]
           8952 ┊      0.46% ┊                   ⤷ code[3325]
           8894 ┊      0.46% ┊                       ⤷ code[228]
           4728 ┊      0.24% ┊                           ⤷ code[394]
           3301 ┊      0.17% ┊                               ⤷ code[1672]
           3136 ┊      0.16% ┊                                   ⤷ code[234]
           1829 ┊      0.09% ┊                                       ⤷ code[210]
            250 ┊      0.01% ┊                                           ⤷ code[1179]
            155 ┊      0.01% ┊                                           ⤷ code[1648]
             29 ┊      0.00% ┊                                       ⤷ code[3907]
            306 ┊      0.02% ┊                               ⤷ code[3390]
            249 ┊      0.01% ┊                                   ⤷ code[1364]
             17 ┊      0.00% ┊                                       ⤷ code[4541]
            179 ┊      0.01% ┊                               ⤷ code[1647]
            123 ┊      0.01% ┊                               ⤷ code[2030]
           1100 ┊      0.06% ┊                           ⤷ code[377]
            201 ┊      0.01% ┊                               ⤷ code[1464]
            951 ┊      0.05% ┊                           ⤷ code[381]
            114 ┊      0.01% ┊                               ⤷ code[2111]
            293 ┊      0.02% ┊                           ⤷ code[1028]
            237 ┊      0.01% ┊                           ⤷ code[1356]
             22 ┊      0.00% ┊                           ⤷ code[4207]
             15 ┊      0.00% ┊                           ⤷ code[4807]
           4688 ┊      0.24% ┊                   ⤷ code[126]
            750 ┊      0.04% ┊                       ⤷ code[2284]
            653 ┊      0.03% ┊                           ⤷ code[695]
            185 ┊      0.01% ┊                               ⤷ code[1501]
            610 ┊      0.03% ┊                       ⤷ code[615]
            530 ┊      0.03% ┊                       ⤷ code[538]
            163 ┊      0.01% ┊                       ⤷ code[1675]
             80 ┊      0.00% ┊                       ⤷ code[2601]
           3542 ┊      0.18% ┊                   ⤷ code[182]
           1583 ┊      0.08% ┊                       ⤷ code[291]
            301 ┊      0.02% ┊                           ⤷ code[1109]
             98 ┊      0.01% ┊                           ⤷ code[2358]
             44 ┊      0.00% ┊                       ⤷ code[3770]
           1298 ┊      0.07% ┊                   ⤷ code[598]
            369 ┊      0.02% ┊                       ⤷ code[1177]
             70 ┊      0.00% ┊                           ⤷ code[2872]
            351 ┊      0.02% ┊                       ⤷ code[1135]
             70 ┊      0.00% ┊                           ⤷ code[2873]
           1170 ┊      0.06% ┊                   ⤷ code[355]
            226 ┊      0.01% ┊                       ⤷ code[1302]
            864 ┊      0.04% ┊                   ⤷ code[574]
            226 ┊      0.01% ┊                       ⤷ code[1317]
            752 ┊      0.04% ┊                   ⤷ code[415]
            490 ┊      0.03% ┊                   ⤷ code[1116]
            187 ┊      0.01% ┊                       ⤷ code[1502]
            200 ┊      0.01% ┊                   ⤷ code[1447]
            111 ┊      0.01% ┊                   ⤷ code[2250]
            111 ┊      0.01% ┊                   ⤷ code[2251]
            110 ┊      0.01% ┊                   ⤷ code[2246]
            110 ┊      0.01% ┊                   ⤷ code[2247]
            110 ┊      0.01% ┊                   ⤷ code[2248]
            110 ┊      0.01% ┊                   ⤷ code[2249]
             47 ┊      0.00% ┊                   ⤷ code[3535]
             39 ┊      0.00% ┊                   ⤷ code[3977]
             37 ┊      0.00% ┊                   ⤷ code[3961]
             37 ┊      0.00% ┊                   ⤷ code[3976]
             16 ┊      0.00% ┊                   ⤷ code[4802]
          24547 ┊      1.26% ┊               ⤷ code[22]
           3923 ┊      0.20% ┊                   ⤷ code[748]
           3544 ┊      0.18% ┊                       ⤷ code[87]
            210 ┊      0.01% ┊                           ⤷ code[1270]
            133 ┊      0.01% ┊                           ⤷ code[1772]
             84 ┊      0.00% ┊                           ⤷ code[2513]
             84 ┊      0.00% ┊                           ⤷ code[2514]
           2325 ┊      0.12% ┊                   ⤷ code[207]
            357 ┊      0.02% ┊                       ⤷ code[869]
            224 ┊      0.01% ┊                       ⤷ code[1350]
           2262 ┊      0.12% ┊                   ⤷ code[141]
