 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼─────────────────────────────────────────────────
        1562091 ┊     80.27% ┊ table[0]
        1562085 ┊     80.27% ┊   ⤷ elem[0]
        1086321 ┊     55.82% ┊       ⤷ code[835]
        1085684 ┊     55.79% ┊           ⤷ code[840]
         255241 ┊     13.12% ┊               ⤷ code[983]
         114127 ┊      5.86% ┊                   ⤷ code[4274]
           3237 ┊      0.17% ┊                       ⤷ code[3775]
           2405 ┊      0.12% ┊                           ⤷ code[3778]
            398 ┊      0.02% ┊                               ⤷ code[3779]
            397 ┊      0.02% ┊                               ⤷ code[3781]
             68 ┊      0.00% ┊                           ⤷ code[3777]
           3226 ┊      0.17% ┊                       ⤷ code[4119]
           2873 ┊      0.15% ┊                           ⤷ code[4121]
            956 ┊      0.05% ┊                               ⤷ code[4124]
            271 ┊      0.01% ┊                                   ⤷ code[4127]
            269 ┊      0.01% ┊                               ⤷ code[4122]
            142 ┊      0.01% ┊                               ⤷ code[4126]
            139 ┊      0.01% ┊                               ⤷ code[4125]
            126 ┊      0.01% ┊                               ⤷ code[4123]
           3187 ┊      0.16% ┊                       ⤷ code[4095]
           2815 ┊      0.14% ┊                           ⤷ code[4097]
            269 ┊      0.01% ┊                               ⤷ code[4099]
            268 ┊      0.01% ┊                               ⤷ code[4100]
            142 ┊      0.01% ┊                               ⤷ code[4103]
            139 ┊      0.01% ┊                               ⤷ code[4104]
            126 ┊      0.01% ┊                               ⤷ code[4102]
             19 ┊      0.00% ┊                           ⤷ code[4098]
           3088 ┊      0.16% ┊                       ⤷ code[2360]
            622 ┊      0.03% ┊                           ⤷ code[2361]
            459 ┊      0.02% ┊                               ⤷ code[2364]
            520 ┊      0.03% ┊                           ⤷ code[2276]
            518 ┊      0.03% ┊                           ⤷ code[2279]
            452 ┊      0.02% ┊                           ⤷ code[2278]
            222 ┊      0.01% ┊                           ⤷ code[2275]
           3040 ┊      0.16% ┊                       ⤷ code[2308]
            633 ┊      0.03% ┊                           ⤷ code[2309]
            470 ┊      0.02% ┊                               ⤷ code[2310]
            529 ┊      0.03% ┊                           ⤷ code[2196]
            525 ┊      0.03% ┊                           ⤷ code[2199]
            463 ┊      0.02% ┊                           ⤷ code[2198]
            221 ┊      0.01% ┊                           ⤷ code[2195]
           3034 ┊      0.16% ┊                       ⤷ code[2351]
            617 ┊      0.03% ┊                           ⤷ code[2352]
            454 ┊      0.02% ┊                               ⤷ code[2353]
            526 ┊      0.03% ┊                           ⤷ code[2266]
            525 ┊      0.03% ┊                           ⤷ code[2262]
            447 ┊      0.02% ┊                           ⤷ code[2265]
            221 ┊      0.01% ┊                           ⤷ code[2261]
           3011 ┊      0.15% ┊                       ⤷ code[2311]
            623 ┊      0.03% ┊                           ⤷ code[2312]
            460 ┊      0.02% ┊                               ⤷ code[2313]
            518 ┊      0.03% ┊                           ⤷ code[2204]
            517 ┊      0.03% ┊                           ⤷ code[2201]
            453 ┊      0.02% ┊                           ⤷ code[2203]
            221 ┊      0.01% ┊                           ⤷ code[2200]
           3004 ┊      0.15% ┊                       ⤷ code[2314]
            623 ┊      0.03% ┊                           ⤷ code[2315]
            460 ┊      0.02% ┊                               ⤷ code[2316]
            518 ┊      0.03% ┊                           ⤷ code[2209]
            517 ┊      0.03% ┊                           ⤷ code[2206]
            453 ┊      0.02% ┊                           ⤷ code[2208]
            221 ┊      0.01% ┊                           ⤷ code[2205]
           2998 ┊      0.15% ┊                       ⤷ code[2330]
            615 ┊      0.03% ┊                           ⤷ code[2331]
            452 ┊      0.02% ┊                               ⤷ code[2332]
            520 ┊      0.03% ┊                           ⤷ code[2237]
            516 ┊      0.03% ┊                           ⤷ code[2241]
            445 ┊      0.02% ┊                           ⤷ code[2240]
            222 ┊      0.01% ┊                           ⤷ code[2236]
           2984 ┊      0.15% ┊                       ⤷ code[2324]
            615 ┊      0.03% ┊                           ⤷ code[2325]
            452 ┊      0.02% ┊                               ⤷ code[2326]
            523 ┊      0.03% ┊                           ⤷ code[2225]
            517 ┊      0.03% ┊                           ⤷ code[2229]
            445 ┊      0.02% ┊                           ⤷ code[2228]
            221 ┊      0.01% ┊                           ⤷ code[2224]
           2939 ┊      0.15% ┊                       ⤷ code[4034]
