Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
table[0],6,0.0003083185897096615,1562091,80.2702823530258
elem[0],465,0.023894690702498767,1562085,80.2699740344361
code[835],417,0.021428141984821476,1086321,55.8221597819982
code[840],42078,2.162238269633856,1085684,55.78942662505736
code[983],22952,1.179421378502692,255241,13.11592419268062
code[4274],52716,2.7088871291890864,114127,5.86457928129909
code[869],9646,0.4956735193898992,105895,5.441566176217434
code[491],28722,1.4759210889401497,49033,2.519630901538972
code[365],2303,0.11834295201689174,46285,2.378420987451947
code[276],12259,0.6299462652084568,46076,2.367681223243727
code[1032],12096,0.6215702768546777,39782,2.0442550226382923
code[927],8810,0.45271446255701964,38460,1.9763221600389305
code[965],17021,0.8746484525746915,35739,1.836499679605599
data[36],35186,1.8080829829206917,35186,1.8080829829206917
code[4272],25185,1.2941672803063042,33569,1.7249911229939379
code[380],15804,0.8121111652952484,29173,1.4990963695999926
code[65],6449,0.3313910975062679,27116,1.393394479761197
"export ""get_candid_pointer""",22,0.0011305014956020923,26825,1.3784410281602784
code[4760],9,0.0004624778845644923,26803,1.3773105266646763
code[1186],1942,0.09979245020269378,26794,1.3768480487801118
code[1649],19278,0.9906276287371426,25952,1.3335806733575226
code[428],10211,0.5247068532542256,22972,1.1804491071350574
code[957],12514,0.6430498052711173,22735,1.1682705228415258
code[1013],6510,0.3345256698349828,21490,1.1042944154767709
code[956],13005,0.6682805431956914,21402,1.0997724094943626
code[4447],4892,0.25138242347661066,20146,1.0352310513818068
code[483],14618,0.751166857395972,18369,0.9439173623961288
code[4233],2756,0.1416210055399712,17638,0.9063538808831684
code[387],12083,0.62090225324364,16514,0.8485955317442251
code[79],3273,0.16818779068662038,15959,0.8200760621960814
code[3879],3216,0.16525876408437856,15005,0.7710534064322452
code[78],3051,0.15678000286736288,14443,0.7421742318627735
code[929],2979,0.15308017979084693,13968,0.7177656768440921
code[2997],12853,0.6604698055897132,13772,0.7076939362469097
code[353],962,0.0494337472167824,12368,0.635547386254849
code[4009],9019,0.4634542267652395,11774,0.6050238458735925
code[3820],497,0.02553905651428363,11564,0.5942326952337543
data[0],11489,0.5903787128623835,11489,0.5903787128623835
code[3075],273,0.0140284958317896,11366,0.5840581817733355
code[3735],4934,0.25354065360457834,11067,0.5686936387194707
