 Shallow Bytes │ Shallow % │ Item
───────────────┼───────────┼─────────────────────
         52716 ┊     2.71% ┊ code[4274]
         42078 ┊     2.16% ┊ code[840]
         35186 ┊     1.81% ┊ data[36]
         28722 ┊     1.48% ┊ code[491]
         25185 ┊     1.29% ┊ code[4272]
         22952 ┊     1.18% ┊ code[983]
         19278 ┊     0.99% ┊ code[1649]
         17021 ┊     0.87% ┊ code[965]
         15804 ┊     0.81% ┊ code[380]
         14618 ┊     0.75% ┊ code[483]
         13005 ┊     0.67% ┊ code[956]
         12853 ┊     0.66% ┊ code[2997]
         12514 ┊     0.64% ┊ code[957]
         12259 ┊     0.63% ┊ code[276]
         12096 ┊     0.62% ┊ code[1032]
         12083 ┊     0.62% ┊ code[387]
         11489 ┊     0.59% ┊ data[0]
         10211 ┊     0.52% ┊ code[428]
          9646 ┊     0.50% ┊ code[869]
          9019 ┊     0.46% ┊ code[4009]
          8810 ┊     0.45% ┊ code[927]
          8360 ┊     0.43% ┊ code[1059]
          7906 ┊     0.41% ┊ code[2413]
          6626 ┊     0.34% ┊ code[556]
          6608 ┊     0.34% ┊ code[3007]
          6510 ┊     0.33% ┊ code[1013]
          6449 ┊     0.33% ┊ code[65]
          6374 ┊     0.33% ┊ code[339]
          6204 ┊     0.32% ┊ code[432]
          5920 ┊     0.30% ┊ code[2977]
          5852 ┊     0.30% ┊ code[16]
          5786 ┊     0.30% ┊ code[1018]
          5687 ┊     0.29% ┊ data[11]
          5672 ┊     0.29% ┊ code[4238]
          5573 ┊     0.29% ┊ code[744]
          5277 ┊     0.27% ┊ code[481]
          5250 ┊     0.27% ┊ code[3410]
          5133 ┊     0.26% ┊ code[949]
          5103 ┊     0.26% ┊ code[3404]
          5010 ┊     0.26% ┊ code[760]
       1433194 ┊    73.65% ┊ ... and 5071 more.
       1946039 ┊   100.00% ┊ Σ [5111 Total Rows]
